pk_text,firstLine,textTitle,refrainFirstLine,languages,authors_1,authors_2,authors_3,authors_4,meter,textAuthNumber,textSources
61,"And now the solemn deed is done","","",,"Samuel Francis Smith","",,,,and_now_the_solemn_deed_is_done,""
62,"Arise, my soul, with rapture rise","","",English,"Samuel Francis Smith","",,,8.8.8.8,arise_my_soul_with_rapture_rise,""
63,"Arzi bas d'ror noemo oschiro loch","","",,"Samuel Francis Smith","",,,,arzi_bas_dror_noemo_oschiro_loch,""
64,"As fades the light of closing day","","",,"Samuel Francis Smith","",,,,as_fades_the_light_of_closing_day,""
65,"As flows the rapid river","","",,"Samuel Francis Smith","",,,,as_flows_the_rapid_river,""
66,"Auspicious morning hail","","",,"Samuel Francis Smith","",,,,auspicious_morning_hail,""
67,"Behold, this is the day of grace","","",,"Samuel Francis Smith","",,,,behold_this_is_the_day_of_grace,""
68,"Beyond where Cedron's [Kedron's] waters flow","","",,"Samuel Francis Smith","",,,,beyond_where_cedrons_waters_flow,""
69,"Blest is the hour when cares depart","","",,"Samuel Francis Smith","",,,,blest_is_the_hour_when_cares_depart,""
70,"Breathe balmy airs ye fragrant flowers","","",,"Samuel Francis Smith","",,,,breathe_balmy_airs_ye_fragrant_flowers,""
71,"Come, blessed Spirit, come today","","",,"Samuel Francis Smith","",,,,come_blessed_spirit_come_today,""
72,"Constrained by love, we follow where","","",,"Samuel Francis Smith","",,,,constrained_by_love_we_follow_where,""
73,"Dark brood the heavens o'er thee","","",,"Samuel Francis Smith","",,,,dark_brood_the_heavens_oer_thee,""
74,"Dir sing' ich, Vaterland","","",,"Samuel Francis Smith","",,,,dir_sing_ich_vaterland,""
75,"Divisase la aurora, La noche da lugar","","",,"Samuel Francis Smith","",,,,divisase_la_aurora_la_noche_da_lugar,""
76,"Down to the sacred wave","","",,"Samuel Francis Smith","",,,,down_to_the_sacred_wave,""
77,"Drawn from a thousand distant homes","","One kingdom to our conquering Prince",,"Samuel Francis Smith","",,,,drawn_from_a_thousand_distant_homes,""
78,"Es bricht der frohe Morgen","","",,"Samuel Francis Smith","",,,,es_bricht_der_frohe_morgen,""
79,"Far o'er the land the precious grain","","",,"Samuel Francis Smith","",,,,far_oer_the_land_the_precious_grain,""
80,"Founded on Thee, our only Lord","Founded on Thee, our only Lord","",English,"Samuel Francis Smith","",,,,founded_on_thee_our_only_lord,""
81,"From God shall naught divide me for he is true for aye","","",,"Samuel Francis Smith","",,,,from_god_shall_naught_divide_me_for_he_i,""
82,"Gladly thy precepts we obey","","",,"Samuel Francis Smith","",,,,gladly_thy_precepts_we_obey,""
83,"Go, heralds of salvation, forth","","",,"Samuel Francis Smith","",,,,go_heralds_of_salvation_forth,""
84,"God ever glorious, Sovereign of nations","","",,"Samuel Francis Smith","",,,,god_ever_glorious_sovereign_of_nations,""
85,"Grafted in Christ, the living vine","","",,"Samuel Francis Smith","",,,,grafted_in_christ_the_living_vine,""
86,"Hail, hail, hail ye days of solemn meeting","","",,"Samuel Francis Smith","",,,,hail_hail_hail_ye_days_of_solemn_meeting,""
87,"Haste to thy conquest of the world","","",,"Samuel Francis Smith","",,,,haste_to_thy_conquest_of_the_world,""
88,"Have mercy, Lord, have mercy, Lord","","",,"Samuel Francis Smith","",,,,have_mercy_lord_have_mercy_lord,""
89,"Heimatland, gross und weit","","",,"Samuel Francis Smith","",,,,heimatland_gross_und_weit,""
90,"Heimatland, nur von dir, Heiliger Freiheit Zier","","",,"Samuel Francis Smith","",,,,heimatland_nur_von_dir_heiliger_freiheit,""
91,"Heut' ruft der Heiland noch, Kommt her zu mir","","",,"Samuel Francis Smith","",,,,heut_ruft_der_heiland_noch_kommt_her_zu_,""
92,"Hoer fadrens roest i dag","","",,"Samuel Francis Smith","",,,,hoer_fadrens_roest_i_dag,""
93,"Home, thy joys are passing lovely","","",,"Samuel Francis Smith","",,,,home_thy_joys_are_passing_lovely,""
94,"How calmly wakes the hallowed morn","","",,"Samuel Francis Smith","",,,,how_calmly_wakes_the_hallowed_morn,""
95,"How sweet the evening shadows fall","","",,"Samuel Francis Smith","",,,,how_sweet_the_evening_shadows_fall,""
96,"Idag hoar Jesu roest","","",,"Samuel Francis Smith","",,,,idag_hoar_jesu_roest,""
97,"Jesus thou hast freely saved us","","",,"Samuel Francis Smith","",,,,jesus_thou_hast_freely_saved_us,""
98,"Joined in one body may we be","","",,"Samuel Francis Smith","",,,,joined_in_one_body_may_we_be,""
99,"Joy for the gladdening news","","Still onward be thy march",,"Samuel Francis Smith","",,,,joy_for_the_gladdening_news,""
100,"Light o'er the darkened hills","","",,"Samuel Francis Smith","",,,,light_oer_the_darkened_hills,""
101,"Lord of our life, God whom we fear","","",,"Samuel Francis Smith","",,,,lord_of_our_life_god_whom_we_fear,""
102,"Lord of our life, save us","My peace thou art","",,"Samuel Francis Smith","",,,,lord_of_our_life_save_us,""
103,"Loved companion, thou hast left us","","",,"Samuel Francis Smith","",,,,loved_companion_thou_hast_left_us,""
104,"Made one in Christ by holiest ties","In his name we meet","One kingdom to our conquering Prince",,"Samuel Francis Smith","",,,,made_one_in_christ_by_holiest_ties,""
105,"Meekly in Jordan's holy stream","","",,"Samuel Francis Smith","",,,,meekly_in_jordans_holy_stream,""
106,"Mitt fosterland, foer dig","","",,"Samuel Francis Smith","",,,,mitt_fosterland_foer_dig,""
107,"Most gracious to fulfil thy word","","",,"Samuel Francis Smith","",,,,most_gracious_to_fulfil_thy_word,""
108,"Murmur, gentle lyre, through the lonely night","","",,"Samuel Francis Smith","",,,,murmur_gentle_lyre_through_the_lonely_ni,""
109,"My country, 'tis of thee","My Country, 'Tis of Thee","",English,"Samuel Francis Smith","",,,6.6.4.6.6.6.4,my_country_tis_of_thee_sweet_land,""
110,"My native country, thee, Land of the noble free","","",,"Samuel Francis Smith","",,,,my_native_country_thee_land_of_the_noble,""
111,"My Savior, 'tis of thee","","",,"Samuel Francis Smith","",,,,my_savior_tis_of_thee,""
112,"Now these solemn days are ending","Close of a protracted meeting","",,"Samuel Francis Smith","",,,,now_these_solemn_days_are_ending,""
113,"O blest are they whom God hath called","","",,"Samuel Francis Smith","",,,,o_blest_are_they_whom_god_hath_called,""
114,"O Lord, thy weary churches wait","","",,"Samuel Francis Smith","",,,,o_lord_thy_weary_churches_wait,""
115,"O not my own these verdant hills","","",,"Samuel Francis Smith","",,,,o_not_my_own_these_verdant_hills,""
116,"Oft the tidings of salvation","","",,"Samuel Francis Smith","",,,,oft_the_tidings_of_salvation,""
117,"Onward, O Christian warriors","","",,"Samuel Francis Smith","",,,,onward_o_christian_warriors,""
118,"Onward speed thy conquering flight","Angel, onward speed","",,"Samuel Francis Smith","",,,,onward_speed_thy_conquering_flight,""
119,"Planted in Christ, the living vine","","",,"Samuel Francis Smith","",,,,planted_in_christ_the_living_vine,""
120,"Ready now to spread my pinions","","",,"Samuel Francis Smith","",,,,ready_now_to_spread_my_pinions,""
121,"Redeemed from death, redeemed from sin","","",,"Samuel Francis Smith","",,,,redeemed_from_death_redeemed_from_sin,""
122,"Remember thy Creator now (Smith)","","",,"Samuel Francis Smith","",,,,remember_thy_creator_now_smith,""
123,"Remember thy Creator, While youth's fair spring is bright","","",,"Samuel Francis Smith","",,,,remember_thy_creator_while_youths_fair_s,""
124,"Re'n badar morgonstjernan","","",,"Samuel Francis Smith","",,,,ren_badar_morgonstjernan,""
125,"Roll on, roll on, in rapid flight","","",,"Samuel Francis Smith","",,,,roll_on_roll_on_in_rapid_flight,""
126,"Shine on, lone star, thy radiance bright","","",,"Samuel Francis Smith","",,,,shine_on_lone_star_thy_radiance_bright,""
127,"Sister, thou wast mild and lovely","","",,"Samuel Francis Smith","",,,,sister_thou_wast_mild_and_lovely,""
128,"Spirit of God, thy churches wait","","",,"Samuel Francis Smith","",,,,spirit_of_god_thy_churches_wait,""
129,"Spirit of holiness, descend","","",,"Samuel Francis Smith","",,,,spirit_of_holiness_descend,""
130,"Spirit of peace and holiness","","",,"Samuel Francis Smith","",,,,spirit_of_peace_and_holiness,""
131,"Strew the fair garlands","","",,"Samuel Francis Smith","",,,,strew_the_fair_garlands,""
132,"Sweep on, O oar of light","","",,"Samuel Francis Smith","",,,,sweep_on_o_oar_of_light,""
133,"Sweet is the fading light of eve","","",,"Samuel Francis Smith","",,,,sweet_is_the_fading_light_of_eve,""
134,"The blooming flowers of summer pass","","",,"Samuel Francis Smith","",,,,the_blooming_flowers_of_summer_pass,""
135,"The Savior is my shepherd","","",,"Samuel Francis Smith","",,,,the_savior_is_my_shepherd,""
136,"The solemn service now is done","","",,"Samuel Francis Smith","",,,,the_solemn_service_now_is_done,""
137,"They have parted from the fond embrace","","",,"Samuel Francis Smith","",,,,they_have_parted_from_the_fond_embrace,""
138,"Thy kingdom come, we watch and [we] wait","","",,"Samuel Francis Smith","",,,,thy_kingdom_come_we_watch_and_we_wait,""
139,"'Tis done, the important act is done","","",,"Samuel Francis Smith","",,,,tis_done_the_important_act_is_done,""
140,"Today the Spirit calls, O hear its voice","","",,"Samuel Francis Smith","",,,,today_the_spirit_calls_o_hear_its_voice,""
141,"Unto thy church, thy body, Lord","","",,"Samuel Francis Smith","",,,,unto_thy_church_thy_body_lord,""
142,"We are but little children","Buddha's child","",,"Samuel Francis Smith","",,,,we_are_but_little_children,""
143,"We are sailing","Sailing in the Ship of Zion","When we see the shorelight's",,"Samuel Francis Smith","",,,,we_are_sailing,""
144,"We who once were dead","","",,"Samuel Francis Smith","",,,,we_who_once_were_dead,""
145,"Welcome days of solemn meeting","","",,"Samuel Francis Smith","",,,,welcome_days_of_solemn_meeting,""
146,"What are all my earthly trials","Beyond the river","",,"Samuel Francis Smith","",,,,what_are_all_my_earthly_trials,""
147,"When o'er earth is breaking","God is there","",,"Samuel Francis Smith","",,,,when_oer_earth_is_breaking,""
148,"When spirits from their cumbering clay","","",,"Samuel Francis Smith","",,,,when_spirits_from_their_cumbering_clay,""
149,"When thy mortal life is fled","","",,"Samuel Francis Smith","",,,,when_thy_mortal_life_is_fled,""
150,"While in this sacred rite of thine","","",,"Samuel Francis Smith","",,,,while_in_this_sacred_rite_of_thine,""
151,"With willing hearts we tread","","",,"Samuel Francis Smith","",,,,with_willing_hearts_we_tread,""
152,"Your thousand voices raise","","",,"Samuel Francis Smith","",,,,your_thousand_voices_raise,""
153,"Our fathers' God to thee, Author of liberty","","",English,"Charles T. Brooks","John S. Dwight",Samuel Francis Smith,,6.6.4.6.6.4,our_fathers_god_to_thee_author_of_libert,""
154,"Cantad alegres al Senor Mortales todos por doquier","","",,"Robert A. West","",,,,cantad_alegres_al_senormortales_todos_po,""
155,"Now, Lord, fulfill thy faithful word","","",,"Robert A. West","",,,,now_lord_fulfill_thy_faithful_word,""
156,"Come, let us tune our loftiest song","Come, Let Us Tune Our Loftiest Song","",English,"Robert A. West","",,,8.8.8.8,come_let_us_tune_our_loftiest_song,""
157,"Alone with thee, alone with thee","","",,"Ray Palmer","",,,,alone_with_thee_alone_with_thee,""
158,"Amid the darkness, when the storm","","",,"Ray Palmer","",,,,amid_the_darkness_when_the_storm,""
159,"And is there, Lord, a rest","","",,"Ray Palmer","",,,,and_is_there_lord_a_rest,""
160,"Arosaf ddydd a nos, Byth bellach dan Dy groes","","",,"Ray Palmer","",,,,arosaf_ddydd_a_nos_byth_bellach_dan_dy_g,""
161,"Away from earth my spirit turns","","",,"Ray Palmer","",,,,away_from_earth_my_spirit_turns,""
162,"Before Thy throne with tearful eyes","","",,"Ray Palmer","",,,,before_thy_throne_with_tearful_eyes,""
163,"Blest of the weary","","",,"Ray Palmer","",,,,blest_of_the_weary,""
164,"Come, Father, with the coming night","","",,"Ray Palmer","",,,,come_father_with_the_coming_night,""
165,"Come, gladden my spirit that waiteth for Thee","","",,"Ray Palmer","",,,,come_gladden_my_spirit_that_waiteth_for_,""
166,"Come, Holy Ghost, in love","","",Latin; English,"Ray Palmer","",,,6.6.4.6.6.6.4,come_holy_ghost_in_love_shed_on_us,"Latin Sequence of XII Century"
167,"Come, Jesus, Redeemer, abide thou with me","","",,"Ray Palmer","",,,,come_jesus_redeemer_abide_thou_with_me,""
168,"Come, O thou mighty Savior","","",,"Ray Palmer","",,,,come_o_thou_mighty_savior,""
169,"Deign, Jesus, Lord, my soul to hide","","",,"Ray Palmer","",,,,deign_jesus_lord_my_soul_to_hide,""
170,"Deign, Jesus, Lord, my soul to hide Within thy pieced and bleeding side!","","",,"Ray Palmer","",,,,deign_jesus_lord_my_soul_to_hidewithin_t,""
171,"Divino Salvador, Condero de mi Dios","","",,"Ray Palmer","",,,,divino_salvador_condero_de_mi_dios,""
172,"Eternal Father, thou hast said","","",,"Ray Palmer","",,,,eternal_father_thou_hast_said,""
173,"Eternal Lord, whose power can calm","","",,"Ray Palmer","",,,,eternal_lord_whose_power_can_calm,""
174,"Fount of everlasting love","","",,"Ray Palmer","",,,,fount_of_everlasting_love,""
175,"Holy Ghost that, promised, came","","",,"Ray Palmer","",,,,holy_ghost_that_promised_came,""
176,"How sweetly breathe the lyres above","","",,"Ray Palmer","",,,,how_sweetly_breathe_the_lyres_above,""
177,"I give my heart to thee","","",,"Ray Palmer","",,,,i_give_my_heart_to_thee,""
178,"In the shadow of the rock Let me rest","","Let me rest",,"Ray Palmer","",,,,in_the_shadow_of_the_rock_let_me_rest,""
179,"In thee, O God, the hosts above","","",,"Ray Palmer","",,,,in_thee_o_god_the_hosts_above,""
180,"Jesus, Lamb of God, for me","","",,"Ray Palmer","",,,,jesus_lamb_of_god_for_me,""
181,"Jesus Lord, we hail thee King","","",,"Ray Palmer","",,,,jesus_lord_we_hail_thee_king,""
182,"Jesus, my heart within me burns","","",,"Ray Palmer","",,,,jesus_my_heart_within_me_burns,""
183,"Jesus, our Savior, thou joy of our hearts","","",,"Ray Palmer","",,,,jesus_our_savior_thou_joy_of_our_hearts,""
184,"Jesus, these eyes have never seen","Jesus, These Eyes Have Never Seen","",English,"Ray Palmer","",,,8.6.8.6,jesus_these_eyes_have_never_seen,""
185,"Jesus, this heart within me burns","","",,"Ray Palmer","",,,,jesus_this_heart_within_me_burns,""
186,"Jesus, thy name our souls adore","","",,"Ray Palmer","",,,,jesus_thy_name_our_souls_adore,""
187,"Let me fly to Jesus' arms","","",,"Ray Palmer","",,,,let_me_fly_to_jesus_arms,""
188,"Life of the world, I hail thee","","",,"Ray Palmer","",,,,life_of_the_world_i_hail_thee,""
189,"Long from thee my footsteps","","Take me O my father",,"Ray Palmer","",,,,long_from_thee_my_footsteps,""
190,"Lord, my weak thought in vain would climb","Lord, My Weak Thought in Vain Would Climb","",English,"Ray Palmer","",,,8.8.8.8,lord_my_weak_thought_in_vain_would_climb,""
191,"Lord, thou hast taught our hearts to glow","","All thy dear will would we fulfill",,"Ray Palmer","",,,,lord_thou_hast_taught_our_hearts_to_glow,""
192,"Lord, thou on earth didst love thine own","","",,"Ray Palmer","",,,,lord_thou_on_earth_didst_love_thine_own,""
193,"Lord, thou wilt bring the joyful day","","",,"Ray Palmer","",,,,lord_thou_wilt_bring_the_joyful_day,""
194,"Mein Glaube traut dir ja","","",,"Ray Palmer","",,,,mein_glaube_traut_dir_ja,""
195,"Mein Glaube tritt dir nah","","",,"Ray Palmer","",,,,mein_glaube_tritt_dir_nah,""
196,"Mi fe descana en ti","","",,"Ray Palmer","",,,,mi_fe_descana_en_ti,""
197,"Mid evening shadows, let us all be watching","","",,"Ray Palmer","",,,,mid_evening_shadows_let_us_all_be_watchi,""
198,"Min Tro ser op til dig","","",,"Ray Palmer","",,,,min_tro_ser_op_til_dig,""
199,"Min tro ser upp till dig","","",,"Ray Palmer","",,,,min_tro_ser_upp_till_dig,""
200,"My faith looks up to thee","My Faith Looks Up to Thee","",English,"Ray Palmer","",,,6.6.4.6.6.6.4,my_faith_looks_up_to_thee,""
201,"O blessed Spirit, let me feel","","",,"Ray Palmer","",,,,o_blessed_spirit_let_me_feel,""
202,"O Christ, I long to know thee","","",,"Ray Palmer","",,,,o_christ_i_long_to_know_thee,""
203,"O Christ, the Lord of heaven, to thee","","",,"Ray Palmer","",,,,o_christ_the_lord_of_heaven_to_thee,""
204,"O Christ, thou joy of loving hearts","","",,"Ray Palmer","",,,,o_christ_thou_joy_of_loving_hearts,""
205,"O fl'n y fainc rhaid sefyll","","",,"Ray Palmer","",,,,o_fln_y_fainc_rhaid_sefyll,""
206,"O God, thy grace impart","","",,"Ray Palmer","",,,,o_god_thy_grace_impart,""
207,"O holy comforter I hear","","",,"Ray Palmer","",,,,o_holy_comforter_i_hear,""
208,"O Jesu, kindly Lord, to thee","","",,"Ray Palmer","",,,,o_jesu_kindly_lord_to_thee,""
209,"O Jesus, joy of loving hearts","O Jesus, Joy of Loving Hearts","",English,"Ray Palmer","",,,8.8.8.8,jesus_thou_joy_of_loving_hearts,"Latin, 12th Cent."
210,"O Jesus, sweet the tears I shed","","",,"Ray Palmer","",,,,o_jesus_sweet_the_tears_i_shed,""
211,"O long and darksome was the night","","",,"Ray Palmer","",,,,o_long_and_darksome_was_the_night,""
212,"O Rock of ages, since on thee","","",,"Ray Palmer","",,,,o_rock_of_ages_since_on_thee,""
213,"O sweetly breathe the lyres above","","",,"Ray Palmer","",,,,o_sweetly_breathe_the_lyres_above,""
214,"O tyred, f'Anwylyd, fy Arglwtdd yn ddyn","","",,"Ray Palmer","",,,,o_tyred_fanwylyd_fy_arglwtdd_yn_ddyn,""
215,"Objeto de mi fe, Divino Salvador","","",,"Ray Palmer","",,,,objeto_de_mi_fe_divino_salvador,""
216,"Our hearts, by dying love subdued","","",,"Ray Palmer","",,,,our_hearts_by_dying_love_subdued,""
217,"Praise him, praise the conquering King","","",,"Ray Palmer","",,,,praise_him_praise_the_conquering_king,""
218,"Sing, and the mystery declare","","",,"Ray Palmer","",,,,sing_and_the_mystery_declare,""
219,"Smile, O my God, on me","","",,"Ray Palmer","",,,,smile_o_my_god_on_me,""
220,"Stand for Christ, bravely stand","","",,"Ray Palmer","",,,,stand_for_christ_bravely_stand,""
221,"Stealing from the world away","","",,"Ray Palmer","",,,,stealing_from_the_world_away,""
222,"Take me, O my Father, take me","Take Me, O My Father, Take Me","",English,"Ray Palmer","",,,8.7.8.7 D,take_me_o_my_father_take_me,""
223,"Thine holy day's returning","Thine Holy Day's Returning","",,"Ray Palmer","",,,,thine_holy_days_returning,""
224,"Thou hast not, dearest Lord","","",,"Ray Palmer","",,,,thou_hast_not_dearest_lord,""
225,"Thou, Savior, art the living bread","","",,"Ray Palmer","",,,,thou_savior_art_the_living_bread,""
226,"Thou, Savior, from thy throne on high","","",,"Ray Palmer","",,,,thou_savior_from_thy_throne_on_high,""
227,"Thou who rollest the year around","","",,"Ray Palmer","",,,,thou_who_rollest_the_year_around,""
228,"Thy Father's house, thine [thy] own bright home","","",,"Ray Palmer","",,,,thy_fathers_house_thine_thy_own_bright_h,""
229,"Thy holy day's returning","","",,"Ray Palmer","",,,,thy_holy_days_returning,""
230,"Thy holy will, my God, be mine","","",,"Ray Palmer","",,,,thy_holy_will_my_god_be_mine,""
231,"Wake thee, O Zion, thy mourning is ended","","",,"Ray Palmer","",,,,wake_thee_o_zion_thy_mourning_is_ended,""
232,"We are waiting, Jesus, waiting","","While we wait, O Jesus, lead us",,"Ray Palmer","",,,,we_are_waiting_jesus_waiting,""
233,"We praise thee, Savior, for the grace","","",,"Ray Palmer","",,,,we_praise_thee_savior_for_the_grace,""
234,"We stand in deep repentance","","",,"Ray Palmer","",,,,we_stand_in_deep_repentance,""
235,"We wait thy triumph, Savior all glorious","Conquering Christ","O, fill thy church with faith and power",,"Ray Palmer","",,,,we_wait_thy_triumph_savior_all_glorious,""
236,"We wait thy triumph, Savior King","","",,"Ray Palmer","",,,,we_wait_thy_triumph_savior_king,""
237,"We welcome thee in Jesus' name","","",,"Ray Palmer","",,,,we_welcome_thee_in_jesus_name,""
238,"When downward to the darksome tomb","","",,"Ray Palmer","",,,,when_downward_to_the_darksome_tomb,""
239,"When inward turns my searching gaze","","",,"Ray Palmer","",,,,when_inward_turns_my_searching_gaze,""
240,"While life's dark maze I tread","","",,"Ray Palmer","",,,,while_lifes_dark_maze_i_tread,""
241,"Why should these eyes be tearful","","",,"Ray Palmer","",,,,why_should_these_eyes_be_tearful-2,""
242,"With thine own pity, Savior, see","","",,"Ray Palmer","",,,,with_thine_own_pity_savior_see,""
243,"Wonder of wonders On the cross","","",,"Ray Palmer","",,,,wonder_of_wonderson_the_cross,""
244,"Wouldst thou eternal life obtain","","",,"Ray Palmer","",,,,wouldst_thou_eternal_life_obtain,""
245,"Yes, kind Savior, grieving o'er the sad past","","",,"Ray Palmer","",,,,yes_kind_savior_grieving_oer_the_sad_pas,""
