11,"Father, who the light this day","Father, Who the Light This Day","J. A. Elliot",,,,"father_who_the_light_this_day","ELH","Evangelical Lutheran Hymnary",1996,"Gender Neutral","1 Father, who the light this day


Out of darkness didst create,


Shine upon us now, we pray,


While within Thy courts we wait;


Wean us from the works of night,


Make us children of the light.



2 Savior, who this day didst break


From the bondage of the tomb,


Bid our slumb'ring souls awake,


And dispel their doubt and gloom;


Let us, from our bonds set free,


Rise from sin and live to Thee.



3 Blessed Spirit, Comforter,


Sent this day from Christ on high,


Lord, on us Thy gifts confer,


Cleanse, illumine, sanctify;


All Thine influence shed abroad;


Lead us to the truth of God."
12,"There is no sorrow, Lord, too light","There is no sorrow, Lord, too light","Jane Crewdson",,,,"there_is_no_sorrow_lord_too_light","TH1961","Trinity Hymnal",1961,,"There is no sorrow, Lord, too light

To bring in pray'r to thee;

There is no anxious care too slight

To wake thy sympathy.

Thou, who hast trod the thorny road,

Wilt share each small distress;

The love, which bore the greater load,

Will not refuse the less.

There is no secret sigh we breathe,

But meets thine ear divine;

And ev'ry cross grows light beneath

The shadow, Lord, of thine.

Life's ills without, sin's strife within,

The heart would overflow,

But for that love which died for sin,

That love which wept with woe."
13,"Christ the Lord is ris'n today","Christ the Lord Is Risen Today; Alleluia","Jane Elizabeth Leeson","Wipo of Burgundy",,,"christ_the_lord_is_risen_today_christian","ELH","Evangelical Lutheran Hymnary",1996,,"1 Christ the Lord is ris'n today; Alleluia!


Christians, haste your vows to pay; Alleluia!


Offer ye your praises meet Alleluia!


At the Paschal Victim's feet. Alleluia!



2 For the sheep the Lamb hath bled, Alleluia!


Sinless in the sinner's stead. Alleluia!


'Christ is ris'n,' today we cry; Alleluia!


Now He lives no more to die. Alleluia!



3 Christ, the Victim undefiled, Alleluia!


God and man hath reconciled, Alleluia!


While in strange and aweful strife Alleluia!


Met together death and life: Alleluia!



4 Christians, on this happy day Alleluia!


Haste with joy your vows to pay. Alleluia!


'Christ is ris'n,' today we cry; Alleluia!


Now He lives no more to die. Alleluia!



5 Christ, who once for sinners bled, Alleluia!


Now the First-born from the dead, Alleluia!


Throned in endless might and pow'r, Alleluia!


Lives and reigns forevermore. Alleluia!



6. Hail, eternal Hope on high! Alleluia!


Hail, Thou King of victory! Alleluia!


Hail, Thou Prince of Life adored! Alleluia!


Help and save us, gracious Lord. Alleluia!



"
14,"Gracious Savior, gentle Shepherd","Gracious Savior, Gentle Shepherd","Jane Elizabeth Leeson","John Keble",,,"gracious_savior_gentle_shepherd","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,,"1 Gracious Savior, gentle Shepherd,


Children all are dear to Thee;


Gathered with Thine arms and carried


In Thy bosom may we be


Sweetly, fondly, safely tended,


From all want and danger free.



2 Tender Shepherd, never leave us


From Thy fold to go astray;


By Thy look of love directed


May we walk the narrow way;


Thus direct us and protect us,


Lest they fall an easy prey.



3 Cleanse our hearts from sinful folly,


In the stream Thy love supplied,


Mingled stream of blood and water,


Flowing from Thy wounded side;


And to heavenly pastures lead us,


Where Thy own still waters glide.



4 Let Thy holy Word instruct us;


Guide us daily by its light;


Let Thy love and grace constrain us


To approve whate'er is right;


Take Thine easy yoke, and wear it,


Strengthened with Thy heavenly might.



5 Taught to lisp the holy praises


Which on earth Thy children sing,


Both with lips and hearts unfeigned


May we our thank-offerings bring;


Then with all the saints in glory,


Join to praise our Lord and King.



Amen."
15,"A little child may know",,"Jane Elizabeth Leeson",,,,"a_little_child_may_know","CH1962","The Children's Hymnbook",1962,"Gender Neutral","1. A little child may know


Our Father's name of love;


'Tis written o'er the earth below


And on the sky above.



2. Around me when I look,


His handiwork I see;


This world is like a picture book


To teach His love to me.



3. The birds that sweetly sing,


The moon that shines by night,


With every tiny living things


Rejoicing in the light,



4. And every star above,


Set in the deep blue sky,


Assure me that our God is love


And tell me He is nigh."
16,"Savior, teach me, day by day","Savior, Teach Me, Day by Day","Jane Elizabeth Leeson",,,,"savior_teach_me_day_by_day","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,,"1 Saviour! teach me, day by day,


Love's sweet lesson to obey;


Sweeter lesson cannot be,


Loving Him Who first loved me.



2 With a childlike heart of love,


At Thy bidding may I move;


Prompt to serve and follow Thee,


Loving Him Who first loved me.



3 Teach me all Thy steps to trace,


Strong to follow in Thy grace;


Learning how to love from Thee;


Loving Him Who first loved me.



4 Love in loving finds employ,


In obedience all her joy;


Ever new that joy will be,


Loving Him Who first loved me.



5 Thus may I rejoice to show


That I feel the love I owe;


Singing, till Thy face I see,


Of His love Who first loved me.



Amen."
17,"Take the name of Jesus with you","Precious Name","Lydia Baxter",,,,"take_the_name_of_jesus_with_you_child_of","NCH1929","The New Christian Hymnal",1929,"Gender Neutral,Non-Archaic","1. Take the name of Jesus with you,


Child of sorrow and of woe;


It will joy and comfort give you,


Take it then, where'er you go.


Precious name, O how sweet!


Hope of earth and joy of heav'n;


Precious name, O how sweet!


Hope of earth and joy of heav'n.



2. Take the name of Jesus ever


As a guard from ev'ry snare;


If temptations round you gather,


Breathe that holy name in prayer.


Precious name, O how sweet!


Hope of earth and joy of heav'n;


Precious name, O how sweet!


Hope of earth and joy of heav'n.



3. O the precious name of Jesus!


How it thrills our souls with joy,


When His loving arms receive us,


And His songs our tongues employ!


Precious name, O how sweet!


Hope of earth and joy of heav'n;


Precious name, O how sweet!


Hope of earth and joy of heav'n.



4. At the name of Jesus bowing,


Falling prostrate at His feet,


King of kings in heav'n we'll hail Him,


When our journey is complete.


Precious name, O how sweet!


Hope of earth and joy of heav'n;


Precious name, O how sweet!


Hope of earth and joy of heav'n.


"
18,"Asleep in Jesus! blessed sleep!","Asleep in Jesus! blessed sleep!","Margaret Mackay",,,,"asleep_in_jesus_blessed_sleep","HPEC1871","Hymnal: according to the use of the Protestant Episcopal Church in the United States of America",1871,"Gender Neutral","1 Asleep in Jesus! bless'd sleep!


From which none ever wakes to weep;


A calm and undisturb'd repose,


Unbroken by the last of foes.



2 Asleep in Jesus! Oh, how sweet


To be for such a slumber meet;


With holy confidence to sing


That death hath lost its painful sting!



3 Asleep in Jesus! peaceful rest!


Whose waking is supremely blest;


No fear, no woe, shall dim that hour


That manifests the Saviour's power.



4 Asleep in Jesus! Oh, for me


May such a blissful refuge be!


Securely shall my ashes lie,


Waiting the summons from on high.



5 Asleep in Jesus! far from thee


Thy kindred and their graves may be;


But there is still a bless'd sleep,


From which none ever wakes to weep."
19,"Through the love of God our Savior","Through the Love of God Our Savior","Mary Peters",,,,"through_the_love_of_god_our_savior","TWC","Worshiping Church, The",1990,"Non-Archaic","1 Through the love of God our Savior,


all will be well;


free and changeless is his favor,


all, all is well;


precious is the blood that healed us,


perfect is the grace that sealed us,


strong the hand stretched out to shield us,


all must be well.



2 Though we pass through tribulation,


all will be well;


ours is such a full salvation,


all, all is well;


happy, still in God confiding,


fruitful, if in Christ abiding,


holy through the Spirit's guiding,


all must be well.



3 We expect a bright tomorrow,


all will be well;


faith can sing through days of sorrow,


all, all is well;


on our Father's love relying,


Jesus every need supplying,


or in living or in dying,


all must be well.


"
20,"It was no path of flowers, Which through this world of ours",,"Sarah Elizabeth Miles",,,,"it_was_no_path_of_flowers_which_through_","BHPPD866","A Book of Hymns for Public and Private Devotion (15th ed.)",1866,"Gender Neutral","It was no path of flowers,

Which, through this world of ours,

Beloved of the Father, thou didst tread;

And shall we in dismay

Shrink from the narrow way,

When clouds and darkness are around it spread?

O thou, who art our life,

Be with us through the strife;

Thy holy head by earth's fierce storms was bowed;

Raise thou our eyes above,

To see a Father's love

Beam, like a bow of promise, through the cloud.

And, O, if thoughts of gloom

Should hover o'er the tomb,

That light of love our guiding star shall be;

Our spirits shall not dread

The shadowy way to tread,

Friend, Guardian, Saviour, which doth lead to thee.

"
21,"The earth, all light and loveliness",,"Sarah Elizabeth Miles",,,,"the_earth_all_light_and_loveliness","BHPPD866","A Book of Hymns for Public and Private Devotion (15th ed.)",1866,"Gender Neutral,Non-Archaic","The earth, all light and loveliness,

In summer's golden hours,

Shines, in her bridal vesture clad,

And crowned with festal flowers,

So radiantly beautiful,

So like to heaven above,

We scarce can deem more fair that world

Of perfect bliss and love.

Is this a shadow faint and dim

Of that which is to come!

What shall the unveiled splendor be

Of our celestial home,

Where waves the glorious tree of life,

Where streams of bliss gush free,

And all is glowing in the light

Of immortality!

"
22,"Thou, infinite in love",,"Sarah Elizabeth Miles",,,,"thou_infinite_in_love","BHPPD866","A Book of Hymns for Public and Private Devotion (15th ed.)",1866,,"Thou, infinite in love!

Guide this bewildered mind,

Which, like the trembling dove,

No resting-place can find

On the wild waters,&#8212;God of light,

Through the thick darkness lead me right!

Bid the fierce conflict cease,

And fear and anguish fly;

Let there again be peace,

As in the days gone by:

In Jesus' name I cry to Thee,

Remembering Gethsemane.

Fain would earth's true and dear

Save me in this dark hour;

And art not Thou more near?

Art Thou not love and power?

Vain is the help of man,&#8212;but Thou

Canst send deliverance even now.

Though through the future's shade

Pale phantoms I descry,

Let me not shrink dismayed,

But ever feel Thee nigh;

There may be grief, and pain, and care

But, O my Father! Thou art there.

"
23,"Gently fall the dews of eve",,"Sarah F. Adams",,,,"gently_fall_the_dews_of_eve","BHPPD866","A Book of Hymns for Public and Private Devotion (15th ed.)",1866,"Gender Neutral","Gently fall the dews of eve,

Raising still the languid flowers;

Sweetly flow the tears that grieve

O'er a mourner's stricken hours.

Blessed dews and tears that yet

Lift us nearer unto heaven!

Let us still His praise repeat,

Who in mercy all hath given.

"
24,"Nearer, my God, to Thee","Nearer, my God, to Thee","Sarah F. Adams",,,,"nearer_my_god_to_thee_nearer_to_thee_een","BHPPD866","A Book of Hymns for Public and Private Devotion (15th ed.)",1866,"Gender Neutral","Nearer, my God, to Thee,

Nearer to Thee!

'en though it be a cross

That raiseth me;

Still all my song shall be,

Nearer, my God, to Thee,

Nearer to Thee!

Though, like the wanderer,

The sun gone down,

Darkness be over me,

My rest a stone;

Yet in my dreams I'd be

Nearer, my God, to Thee,

Nearer to Thee!

There let the way appear,

Steps unto heaven;

All that Thou sendest me,

In mercy given;

Angels to beckon me

Nearer, my God, to Thee,

Nearer to Thee!

Then with my waking thoughts,

Bright with Thy praise,

Out of my stony griefs,

Bethel I'll raise;

So by my woes to be

Nearer, my God, to Thee,

Nearer to Thee!

Or if on joyful wing,

Cleaving the sky,

Sun, moon, and stars forgot,

Upward I fly;

Still all my song shall be,

Nearer, my God, to Thee,

Nearer to Thee!

"
25,"Part in peace; is day before us?",,"Sarah F. Adams",,,,"part_in_peace_is_day_before_us","BHPPD866","A Book of Hymns for Public and Private Devotion (15th ed.)",1866,"Gender Neutral,Non-Archaic","Part in peace! is day before us?

Praise His name for life and light;

Are the shadows lengthening o'er us?

Bless His care who guards the night.

Part in peace! with deep thanksgiving,

Rendering, as we homeward tread,

Gracious service to the living,

Tranquil memory to the dead.

Part in peace! such are the praises

God, our Maker, loveth best;

Such the worship that upraises

Human hearts to heavenly rest.

"
26,"The mourners came at break of day",,"Sarah F. Adams",,,,"the_mourners_came_at_break_of_day","BHPPD866","A Book of Hymns for Public and Private Devotion (15th ed.)",1866,,"The mourners came, at break of day,

Unto the garden sepulchre,

With saddened hearts to weep and pray

For him, the loved one, buried there.

What radiant light dispels the gloom?

An angel sits beside the tomb.

The earth doth mourn her treasures lost,

All sepulchred beneath the snow,

When wintry winds and chilling frost

Have laid her summer glories low;

The spring returns, the flow'rets bloom,&#8212;

An angel sits beside the tomb.

Then mourn we not beloved dead,

E'en while we come to weep and pray;

The happy spirit hath but fled

To brighter realms of heavenly day;

Immortal hope dispels the gloom;&#8212;

An angel sits beside the tomb.

"
27,"The world may change from old to new",,"Sarah F. Adams",,,,"the_world_may_change_from_old_to_new","BHPPD866","A Book of Hymns for Public and Private Devotion (15th ed.)",1866,,"The world may change from old to new,

From new to old again;

Yet hope and heaven, forever true,

Within man's heart remain.

The dreams that bless the weary soul,

The struggles of the strong,

Are steps towards some happy goal,

The story of hope's song.

Hope leads the child to plant the flower,

The man to sow the seed;

Nor leaves fulfilment to her hour,&#8212;

But prompts again to deed.

And ere upon the old man's dust

The grass is seen to wave,

We look through falling tears, to trust

Hope's sunshine on the grave.

O, no! it is no flattering lure,

No fancy weak or fond,

When hope would bid us rest secure

In better life beyond.

Nor love, nor shame, nor grief, nor sin,

Her promise may gainsay;

The voice divine hath spoke within,

And God did ne'er betray.

"
28,"The only Son from heaven","The Only Son from Heaven","Arthur T. Russell","Elizabeth Cruciger",,,"the_only_son_from_heaven","ELH","Evangelical Lutheran Hymnary",1996,,"1 The only Son from heaven,


Foretold by ancient seers,


By God the Father given,


In human shape appears;


No sphere His light confining,


No star so brightly shining


As He, our Morning Star.



2 O time of God appointed,


O bright and holy morn!


He comes, the King anointed,


The Christ, the Virgin-born,


His home on earth He maketh,


And man of heav'n partaketh,


Of life again an heir.



3 O Lord, our hearts awaken


To know and love Thee more,


In faith to stand unshaken,


In Spirit to adore,


That we, still heav'nward hasting,


Yet here Thy joy foretasting,


May reap its fullness there."
29,"O happy home, where thou art loved the dearest","O Happy Home, Where Thou Art Loved","Karl Johann Philipp Spitta","Sarah B. Findlater",,,"o_happy_home_where_thou_art_loved_the_de","WASH1957","Worship and Service Hymnal: For Church, School, and Home",1957,,"1 O happy home, where Thou art loved the dearest,


Thou loving Friend, and Saviour of our race,


And where among the guests there never cometh


One who can hold such high and honored place!



2 O happy home, where each one serves Thee, lowly,


Whatever his appointed work may be,


Till every common task seems great and holy,


When it is done, O Lord, as unto thee!



3 O happy home, where Thou art not forgotten


When joy is overflowing, full and free;


O happy home, where every wounded spirit


Is brought, Physician, Comforter, to Thee--



4 Until at last, when earth's day's work is ended,


All meet Thee in the blessed home above,


From whence Thou camest, where Thou hast ascended,


Thy everlasting home of peace and love!



Amen."
30,"How blessed, from the bonds of sin",,"Karl Johann Philipp Spitta","Jane L. Borthwick",,,"how_blessed_from_the_bonds_of_sin","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 How blessed, from the bonds of sin,


And earthly fetters free,


In singleness of heart and aim,


Thy servant, Lord, to be;


The hardest toil to undertake


With joy at Thy command,


The meanest office to receive


With meekness at Thy hand;



2 With willing heart and longing eyes


To watch before Thy gate,


Ready to run the weary race,


To bear the heavy weight;


No voice of thunder to expect,


But follow calm and still;


For love can easily divine


The One Belov'd's will.



3 Thus may I serve Thee, gracious Lord;


Thus ever Thine alone,


My soul and body given to Thee,


The purchase Thou hast won;


Through evil or through good report


Still keeping at Thy side;


And by my life or by my death


Let Christ be magnified.



4 How happily the working days


In this dear service fly,


How rapidly the closing hour,


The time of rest, draws night,


When all the faithful gather home,


A joyful company;


And ever where the Master is


Shall His blest servants be.



Amen.



"
31,"Oh what will be the day when won at last","Things to Come","Karl Johann Philipp Spitta","Emma Frances Bevan",,,"o_what_will_be_the_day_when_won_at_last","HTS2","Hymns of Ter Steegen and Others (Second Series)",1899,,"Oh what will be the day when won at last


The last long weary battle, we shall come


To those eternal gates the King hath passed,


Returning from our exile to our Home;


When earth's last dust is washed from off our feet;


The last sweat from our brows is wiped away;


The hopes that made our pilgrim journey sweet


All met around us, realised that day!



Oh what will be the day, when we shall stand


Irradiate with God's eternal light;


First tread as sinless saints the sinless land,


No shade nor stain upon our garments white;


No fear, no shame upon our faces then,


No mark of sinoh joy beyond all thought!


A son of God, a free-born citizen


Of that bright city where the curse is not!



Oh what will be the day when with our prayer


Eternal singing shall be woven in


Deep sound of golden harps far echoing there


To praise the Lamb who took away our sin;


When far and wide the radiant streets resound


With Hallelujah songs the ransomed sing,


And clouds of sweetest incense rise around


The Throne where sits in light the Saviour King!



Oh what will be the day when we shall see


The Love that opened Heaven to ransomed men!


Love draws us and we followwe are free


Nought severs us from our Belov'd then:


That veil of faith through which we looked of old


Has passed away as mist before the sun;


Christ throned in glory do our eyes behold,


O'er worlds, through ages, reigning ever on.



Oh what will be the day when we shall hear


Come, oh ye blessed! when we take our place


Before His throne in radiance sweet and clear,


Behold His glorious, His belov'd Face


Behold the Eyes whence bitter tears have flowed


For all our grief, our hardness, and our sin


Behold the wounds whence streamed the precious Blood,


Which ransomed us, and washed us pure and clean!



Oh what will be the day when hand in hand,


Saints wander through the pastures green and fair,


The trees of life upon the golden strand


As fresh as on the third day morn are there;


There all is new, and never shall be old,


For time is not, nor age, nor slow decay;


No dying eyes, no hearts grown strange and cold,


All pain, all death, all sighing fled away!



Oh what will be the day when every thought


Of that dark valley we have left below,


And all remembrance of the fight we fought,


Our pilgrim journey, long and sad, and slow,


Shall only make the Glory brighter far,


Shall make the peace but deeper, sweeter yet?


O'er that dark sea was Christ our Guiding Star,


Our love were fainter love could we forget.



Oh what will be that day? no eye can see,


No ear can hear, no heart has yet conceived,


What God shall give us, and what we shall be


When we inherit what we have believed.


O Land of Promise! rough may be the road,


And long the race may bebut sweet the end;


The dead with Christ, the risen sons of God,


With Him we journey, and with Him ascend.


"
