23,"O Thou, the One Supreme","O Thou, the One Supreme","Allen W. Chatfield","Gregory of Nazianzus",,,"o_thou_the_one_supreme_o_thou_the","SHEG","Songs and Hymns of the Earliest Greek Christian Poets",1876,,"1.


O Thou, the One Supreme,


O thou, the deathless King,


Be Thou my only theme:


Grant me Thyself to sing.


To Thee the hymn, to Thee the praise,


Celestial choirs for ever raise.



2.


For Thee the ages run


In order as was given;


For Thee shines forth the sun,


The day-born eye of heaven:


For Thee the moon, and grand array


Of stars, hold on their nightly way.



3.



With reasonable soul


For Thee learns favoured man


His passions to control,


And the Divine to scan;


For Thou of all Creator art,


Thou madst the whole and every part.



4.


All march in ordered band:


O'er all Thou hold'st the reins:


All creatures of Thy hand


Thy Providence sustains.


For Thou the word didst speak--'twas done--


That Word of Thine is God the Son.



5.


For of same honour He,


Thine own begotten Son,


In form and quality


With Thee the Father one:


Who placed all things in harmony,


That over all He King might be.



6.



And all Thy works infolding


In bonds of love and truth,


The Spirit all-upholding,


Renews creation's youth


Foreseeing, He for all provides,


And Guardian over all presides.



7.


Thee, Thee, the Triune King,


The One Eternal Lord,


Thee evermore I'll sing,


By earth and heaven adored,


The Three in One, the One in Three,


The ever-living Trinity.



8.


Immovable of mind,


Of ways past mortal ken,


The boundless, undefined,


Wisdom's deep origin,


Upholder of the heavenly towers,


Ruler of all created powers.



9.



Beginning none, nor end:


The self-sprung Light art Thou:


We cannot comprehend,


But to Thy Brightness bow,


Whose eye, repelling mortal gaze,


All things above, below, surveys.



10.


Unseen, yet ever near,


Father, propitious be:


This my petition hear,


This boon accord to me:


That Light to serve through endless day,


And have my sins all washed away;



11.


That I, with conscience clear


From every evil thought,


May love with filial fear,


And worship as I ought,


Pure holy hands and heart upraising,


And Christ the Lord for ever praising.



12.



To Thee I bend the knee;


When He shall come, grant me,


That I His glory see,


That I His servant be:


When He shall come--shall come again;


When He shall come--shall come to reign.



13.


Father, propitious be!


On me Thy mercy show!


Bow down Thine ear to me,


On me Thy grace bestow;


For Thine the glory, Thine the grace,


While countless ages run their race.



"
24,"O Thou, the Word of truth divine!","O Thou, the Word of truth divine!","Allen W. Chatfield","Gregory of Nazianzus",,,"o_thou_the_word_of_truth_divine","SHEG","Songs and Hymns of the Earliest Greek Christian Poets",1876,"Gender Neutral","O Thou, the Word of truth divine!

All light I have not been,

Nor kept the day as wholly Thine;

For Thou dark spots hast seen.

The day is down: night hath prevailed:

My Lord I have belied;

I vowed, and thought to do, but failed;

My steps did somewhere slide.

There came a darkness from below

Obscuring safety's way.

Thy light, O Christ, again bestow;

Turn darkness into day.

"
25,"'Tis dawn: to God I lift my hand","'Tis dawn: to God I lift my hand","Allen W. Chatfield","Gregory of Nazianzus",,,"tis_dawn_to_god_i_lift_my_hand","SHEG","Songs and Hymns of the Earliest Greek Christian Poets",1876,"Gender Neutral","'Tis dawn: to God I lift my hand,

To regulate my way;

My passions rule, and unmoved stand,

And give to Thee the day:

Not one dark word or deed of sin,

Nor one base thought allow;

But watch all avenues within,

And wholly keep my vow.

Shamed were my age, should I decline;

Shamed were Thy table too,

At which I stand:--the will is mine:

Give grace, my Christ, to do.

"
26,"O Thou, the King of saints, all-conquering Word","O Thou, the King of saints, all-conquering Word","Allen W. Chatfield","Clement of Alexandria",,,"o_thou_the_king_of_saints_allconquering_","SHEG","Songs and Hymns of the Earliest Greek Christian Poets",1876,,"O Thou, the King of saints, all-conquering Word,


Son of the Highest, wisdom's Fount and Lord,


The prop that doth uphold through toil and pain;


The joy of ages through immortal reign;


Yet born of mortal flesh for life's brief span,


O Saviour Jesus, Shepherd, Husbandman;


Helm Thou to guide, and bridle to restrain,


Wing of the holy flock that heaven would gain;


Catcher of men from evil's whelming sea,


The holy fishes, saved that are to be,


Drawn from the billowy deep with sweetest lure


Of life that shall for evermore endure:


O holiest Shepherd of enlightened sheep,


Lead Thou Thy flock the upward heavenly steep:


O King of holy children, lead the way,


And pure may they both follow and obey!


Thou art, O Christ, the living heavenly Way,


The ever-flowing Word, unchanging Day,


Eternal Light, and mercy's healthful Spring;


The Perfecter of every virtuous thing;


Pure Life of all the happy ransomed throng


Who hymn their God through all the ages long:


The heavenly milk, from holy breasts that flows,


By which the infant Church in wisdom grows,


And graces rare, as it befits the Bride,


Adorned, O Jesu Christ, for Thine own side.


Thy feeble children gather with sweet smile,


To sing with holy mouth, and free from guile,


Thyself, in songs and praises without end,


The children's leader, and the children's friend.



O little children, thus so gently led,


So tenderly with truth and reason fed,


And filled with the Holy Spirit's dew,


Our hymns and praises feeble, yet all true,



In grateful homage unto Christ the King,


Who taught us life, let us together sing:


A peaceful choir, Christ-born, and undefiled,


A people wise, sing we the strong-born child;


Sing we with heart and voice, and never cease


To praise with one accord the God of Peace!



"
27,"Glory to God in the highest, and upon earth peace","Glory to God in the highest, and upon earth peace","Allen W. Chatfield",,,,"glory_to_god_in_the_highest_and_upon_ear","SHEG","Songs and Hymns of the Earliest Greek Christian Poets",1876,,"Glory to God in the highest, and upon earth peace,


Good-will among men:


We praise Thee, we bless Thee, we give thanks to Thee,


We worship Thee, we glorify Thee,


For Thy great glory.


O Lord the King in heaven, God the Father Almighty,


O Lord the only-begotten Son, Jesus Christ,


And Holy Spirit:


O Lord God, Lamb of God, Son of the Father,


Who takest away the sins of the world, have mercy upon us:


O Thou who takest away the sins of the world, receive our prayer:


O Thou who sittest at the right hand of the Father, have mercy upon us:


For Thou only art holy, Thou only art the Lord,


Jesus Christ, to the glory of God the Father.


Amen.



Every day will I bless Thee,


And praise Thy Name for ever,


And for ever and ever.


Vouchsafe, O Lord, through this day also


That we may be kept without sin,


Blessed art Thou, O Lord God of our fathers,


And praised and glorified be Thy Name


For ever and ever. Amen.



Blessed art Thou, O Lord: teach me Thy judgments.


Blessed art Thou, O Lord: teach me Thy judgments.


Blessed art Thou, O Lord: teach me Thy judgments.


O Lord, Thou hast been our refuge from generation to generation:


I have said: O Lord, have mercy upon me,


Heal my soul, for I have sinned against Thee.



O Lord, to Thee have I fled for refuge: teach me to do Thy will,


For Thou art my God,


For with Thee is the fountain of life.


In Thy light shall we see light:


Extend Thy mercy to them that know Thee.



"
28,"'Tis for conquering kings to gain",,"Anonymous","John Chandler",,,"tis_for_conquering_kings_to_gain","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 'Tis for conquering kings to gain


Glory o'er their myriads slain;


Jesus, Thy more glorious strife


Hath restored a world to life.



2 So no other Name is given


Unto mortals under heaven


Which can make the dead to rise,


And exalt them to the skies.



3 That which Christ so hardly wrought,


That which He so dearly bought,


That salvation, mortals, say,


Will you madly cast away?



4 Rather gladly for that Name


Bear the cross, endure the shame;


Joyfully for Him to die


Is not death, but victory.



5 Dost Thou, Jesus, condescend


To be called the sinner's Friend?


Ours, then, it shall always be


Thus to make our boast of Thee.



Amen."
29,"O God of life, Whose power benign","O God of life, Whose power benign","Arthur T. Russell",,,,"o_god_of_life_whose_power_benign","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,"Gender Neutral","1 O God of life, whose power benign


Doth o'er the world in mercy shine,


Accept our praise, for we are Thine.



2 O Father, uncreated Lord,


Be Thou in every land adored,


Be Thou by all with faith implored.



3 O Son of God, for sinners slain,


We bless Thee, Lord, Whose dying pain


For us did endless life regain.



4 O Holy Ghost, Whose guardian care


Doth us for heavenly joys prepare,


May we in Thy communion share.



5 O Holy, Bless'd Trinity,


With faith we sinners bow to Thee;


In us, O God, exalted be.



Amen.


"
30,"O Jesus, we adore you","O Jesus, We Adore You","Arthur T. Russell",,,,"o_jesus_we_adore_thee_upon_the_cross_our","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,"Gender Neutral","1 O Jesu, we adore Thee,


Upon the cross, our King:


We bow our hearts before Thee;


Thy gracious Name we sing;


That Name hath brought salvation,


That Name in life our stay,


Our peace, our consolation


When life shall fade away.



2 Yet doth the world disdain Thee,


Still passing by the cross:


Lord, may our hearts retain Thee,


Counting all else but loss.


The grief Thy soul endur'd,


Who can that grief declare?


Thy pains have thus assur'd


That Thou Thy foes wilt spare.



3 Ah, Lord, our sins arraigned Thee,


And nailed Thee to the tree:


Our pride, O Lord, disdained Thee;


Yet deign our hope to be.


O glorious King, we bless Thee,


No longer pass Thee by;


O Jesu, we confess Thee


Our Lord enthroned on high.



Amen."
31,"The Lord ascendeth up on high","The Lord Ascendeth Up on High","Arthur T. Russell",,,,"the_lord_ascendeth_up_on_high","RL","Rejoice in the Lord",1985,,"1 The Lord ascendeth up on high,


the Lord hath triumphed gloriously,


in power and might excelling;


the grave and hell are captive led,


lo! he returns, our glorious Head,


to his eternal dwelling.



2 The heavens with joy receive their Lord,


by saints, by angel hosts adored;


O day of exultation!


O earth, adore thy glorious King!


His rising, his ascension sing


with grateful adoration!



3 Our great High Priest hath gone before,


now on his church his grace to pour;


and still his love he giveth;


O may our hearts to him ascend;


may all within us upward tend


to him who ever liveth! 


"
32,"Ask ye what great thing I know","Ask Ye What Great Thing I Know","Benjamin H. Kennedy","Johann C. Schwedler",,,"ask_ye_what_great_thing_i_know","HFLC1974","Hymns for the Living Church",1974,"Gender Neutral","1 Ask ye what great thing I know


That delight and stirs me so?


What the high reward I win?


Whose the name I glory in?


Jesus Christ, the Crucified.



2 Who defeats my fiercest foes?


Who consoles my saddest woes?


Who revives my fainting heart,


Healing all its hidden smart?


Jesus Christ, the Crucified.



3 Who is life in life to me?


Who the death of death will be?


Who will place me on His right


With the countless hosts of light?


Jesus Christ, the Crucified.



4 This is that great thing I know;


This delights and stirs me so:


Faith in Him who died to save,


Him who triumphed o'er the grave,


Jesus Christ, the Crucified.



Amen."
33,"We bless Thee, Jesus Christ our Lord","We Bless Thee, Jesus Christ Our Lord","C. Vischer","Benjamin H. Kennedy",,,"we_bless_thee_jesus_christ_our_lord","ELH","Evangelical Lutheran Hymnary",1996,,"1 We bless Thee, Jesus Christ our Lord;


Forever be Thy name adored:


For Thou, the sinless One, hast died,


That sinners might be justified.



2 O very Man, and very God,


Who hast redeemed us with Thy blood;


From death eternal set us free,


And make us one with God in Thee.



3 From sin and shame defend us still,


And work in us Thy steadfast will,


The cross with patience to sustain,


And bravely bear its utmost pain.



4 In Thee we trust, in Thee alone;


For Thou forsakest not Thine own;


To all the meek Thy strength is giv'n,


Who by Thy cross ascend to heav'n."
34,"To thee, O Lord, the God of all",,"Carl Doving","Magnus Brostrup Landstad",,,"to_thee_omniscient_lord_of_all","LSB2006","Lutheran Service Book",2006,"Gender Neutral","1 To Thee, omniscient Lord of all,


In grief and shame I humbly call;


I see my sins against Thee, Lord,


The sins of thought and deed and word.


They press me sore; I cry to Thee:


O God, be merciful to me!



2 My Lord, my God, to Thee I pray;


O cast me not in wrath away!


Let Thy good Spirit ne'er depart,


But let Him draw to Thee my heart


That truly penitent I be:


O God, be merciful to me!



3 O Jesus, let Thy precious blood


Be to my soul a cleansing flood.


Turn not, O Lord, Thy guest away, 


But grant that justified I may 


Go to my house, at peace with Thee:


O God, be merciful to me!



"
35,"As now the sun's declining rays","As now the sun's declining rays","Charles Coffin","John Chandler",,,"my_sabbath_suns_may_all_have_set","HPEC1871","Hymnal: according to the use of the Protestant Episcopal Church in the United States of America",1871,"Gender Neutral","1 As now the sun's declining rays


Towards the eve descend,


E'en so our years are sinking down


To their appointed end.



2 Lord, on the Cross Thine arms were stretch'd,


To draw Thy people nigh;


O grant us then that Cross to love,


And in those arms to die.



3 To God the Father, God the Son,


And God the Holy Ghost,


All glory be from saints on earth,


And from the angel host."
36,"O Saviour, Who for man hast trod","O Saviour, Who for man hast trod","Charles Coffin","John Chandler",,,"o_savior_who_for_man_hast_trod","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,,"1 O Saviour, Who for man hast trod


The winepress of the wrath of God,


Ascend, and claim again on high


Thy glory, left for us to die.



2 A radiant cloud is now Thy seat,


And earth lies stretched beneath Thy feet;


Ten thousand thousands round Thee sing,


And share the triumph of their King.



3 The angel-host enraptured waits:


'Lift up your heads, eternal gates!'


O God and Man! the Father's throne


Is now for evermore Thine own.



4 Our great High-Priest and Shepherd, Thou


Within the veil art entered now,


To offer there Thy precious blood


Once poured on earth, a cleansing flood.



5 And thence the Church, Thy chosen bride,


With countless gifts of grace supplied,


Through all her members draws from Thee


Her hidden life of sanctity.



6 O Christ our Lord, of Thy dear care


Thy lowly members heaven-ward bear;


Be ours with Thee to suffer pain,


With Thee for evermore to reign.



Amen.



"
37,"Once more the solemn season calls",,"Charles Coffin","John Chandler",,,"once_more_the_solemn_season_calls","HPEC1871","Hymnal: according to the use of the Protestant Episcopal Church in the United States of America",1871,"Gender Neutral","1 Once more the solemn season calls


A holy fast to keep;


And now within the temple walls


Both priest and people weep.



2 But vain all outward sign of grief,


And vain the form of prayer,


Unless the heart implore relief,


And penitence be there.



3 We smite the breast, we weep in vain,


In vain in ashes mourn,


Unless with penitential pain


The smitten soul be torn.



4 In sorrow true then let us pray


To our offended God,


From us to turn His wrath away,


And stay the uplifted rod.



5 O God, our Judge and Father, deign


To spare the bruis'd reed;


We pray for time to turn again,


For grace to turn indeed.



6 Blest Three in One, to Thee we bow;


Vouchsafe us in Thy love


To gather from these fasts below


Immortal fruit above."
38,"The Advent of our God, Our prayers must now employ","The Advent of Our God","Charles Coffin","John Chandler",,,"the_advent_of_our_god_our_prayers_must_n","H4Y1966","Hymns for Youth",1966,,"1. The advent of our God


With eager hearts we greet,


And singing, haste upon the road


His coming reign to meet.



2. For, lo, God's Word and Son


Came down to make us free,


And he a servant's form put on,


To bring us liberty.



3. Daughter of Zion, rise


To meet thy lowly king;


Let not thy heart in hast despise


The peace He comes to bring.



4. For judgment doth befall


The stubborn who refuse,


But God doth give His light to all


Who cherish His good news.



5. Then evil flee away


Before the rising dawn!


Let this old Adam day by day


God's image still put on.



6. Thou Liberator true,


All glory be to thee,


To whom in God our praise is due


For all eternity."
39,"What star is this, with beams so bright","What Star Is This, with Beams So Bright","Charles Coffin","John Chandler",,,"what_star_is_this_with_beams_so_bright","RL","Rejoice in the Lord",1985,"Gender Neutral","1 What star is this, with beams so bright,


more lovely than the noonday light?


'Tis sent to announce a newborn King,


glad tidings of our God to bring.



2 'Tis now fulfilled what God decreed:


From Jacob shall a star proceed;


And lo! the eastern sages stand,


to read in heav'n the Lord's command.



3 While outward signs the star displays,


an inward light the Lord conveys,


and urges them, with force benign,


to seek the Giver of the sign.



4 O while the star of heav'nly grace


invites us, Lord, to seek thy face,


may we no more that grace repel,


or quench that light which shines so well.



5 To God the Father, God the Son,


and Holy Spirit, Thee in one,


may ev'ry tongue and nation raise


an endless song of thankful praise.



"
40,"Our fathers' God to thee, Author of liberty",,"Charles T. Brooks","John S. Dwight","Samuel Francis Smith",,"our_fathers_god_to_thee_author_of_libert","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,"Gender Neutral","1 Our father's God! to Thee,


Author of liberty,


To Thee we sing:


Long may our land be bright


With freedom's holy light;


Protect us by Thy might,


Great God, our King!



2 Bless Thou our native land!


Firm may she ever stand,


Through storm and night;


When the wild tempests rave,


Ruler of wind and wave,


Do Thou our country save


By Thy great might.



3 For her our prayer shall rise


To God, above the skies;


On Him we wait;


Thou Who art ever nigh,


Guarding with watchful eye,


To Thee aloud we cry,


God save the state!



Amen.



"
41,"We are the Lord's, His all sufficient merit",,"Charles Tamberlane Astley","Karl Johann Philipp Spitta",,,"we_are_the_lords_his_all_sufficient_meri","NCH1929","The New Christian Hymnal",1929,"Gender Neutral,Non-Archaic","1. We are the Lord's: His all-sufficient merit,


Sealed on the cross to us this grace accords;


We are the Lord's, and all things shall inherit;


Whether we live or die, we are the Lord's.



2. We are the Lord's; then let us gladly tender


Our souls to Him, in deeds, not empty words;


Let heart and tongue and life combine to render


No doubtful witness that we are the Lord's.



3. We are the Lord's: no darkness brooding o'er us


Can make us tremble, whilst this star affords


A steady light along the path before us--


Faith's full assurance that we are the Lord's.



4. We are the Lord's: no evil can befall us


In the dread hour of life's fast loos'ning cords;


No pangs of death shall even then appall us;


Death we shall vanquish, for we are the Lord's."
42,"Come, Thou bright and Morning Star","Come, Thou Bright and Morning Star","Christian Knorr von Rosenroth","Richard Massie",,,"come_thou_bright_and_morning_star","ELH","Evangelical Lutheran Hymnary",1996,"Gender Neutral","1 Come, Thou Bright and Morning Star,


Light of light, without beginning!


Shine upon us from afar


That we may be kept from sinning.


Drive away by Thy clear light


Our dark night.



2 Let Thy grace, like morning dew


Falling soft on barren places,


Comfort, quicken, and renew


Our dry souls and dying graces;


Bless Thy flock from Thy rich store


Evermore.



3 May Thy fervent love destroy


Our cold works, in us awaking


Ardent zeal and holy joy


At the purple morn's first breaking.


Let us truly rise ere yet


Life has set.



4 Thou who hast gone up on high,


Grant that, when Thy trumpet soundeth,  


When with glory, in the sky,


Thee Thy cloud of saints surroundeth,


We may stand among Thine own,


Round Thy throne.



5 Light us to the golden shore


O Thou rising Sun of morning!


Lead where tears shall flow no more,


Where all sighs to songs are turning,


Where Thy glory sheds alway


Perfect day.



"
43,"O day of radiant gladness","O Day of Radiant Gladness","Christopher Wordsworth","Charles P. Price",,,"o_day_of_rest_and_gladness","HPEC1871","Hymnal: according to the use of the Protestant Episcopal Church in the United States of America",1871,"Gender Neutral","1 O day of rest and gladness,


O day of joy and light,


O balm of care and sadness,


Most beautiful, most bright;


On thee, the high and lowly,


Through ages join'd in tune,


Sing, Holy, Holy, Holy,


To the great God Triune.



2 On thee, at the Creation,


The light first had its birth;


On thee, for our salvation,


Christ rose from depths of earth;


On thee our Lord victorious


The Spirit sent from heaven;


And thus on thee most glorious


A triple light was given.



3 Thou art a port protected


From storms which round us rise;


A garden intersected


With streams of Paradise;


Thou art a cooling fountain


In life's dry, dreary sand;


From thee, like Pisgah's mountain,


We view our promised land.



4 To-day on weary nations


The heavenly manna falls;


To holy convocations


The silver trumpet calls,


Where gospel light is glowing


With pure and radiant beams,


And living water flowing


With soul-refreshing streams.



5 May we, new graces gaining


From this our day of rest,


We reach the rest remaining


To spirits of the blest.


And there our voice upraising,


To Father, and to Son


And Holy Ghost, be praising


Ever the Three in One."
44,"Alleluia! Alleluia! Hearts to heaven and voices raise","Alleluia! Alleluia!","Christopher Wordsworth",,,,"alleluia_alleluia_hearts_to_heaven_and_v","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,"Gender Neutral","1 Alleluia! Alleluia!


Hearts and voice heavenward raise:


Sing to God a hymn of gladness,


Sing to God a hymn of praise:


He, Who on the cross a victim,


For the world's salvation bled,


Jesus Christ, the King of glory,


Now is risen from the dead.



 Now the iron bars are broken,


Christ from death to life is born,


Glorious life, and life immortal,


On this holy Easter morn:


Christ has triumphed, and we conquer


By His mighty enterprise,


We with Him to life eternal


By His resurrection rise.



 Christ is risen, Christ the first-fruits


Of the holy harvest-field,


Which will all its full abundance


At His second coming yield:


Then the golden ears of harvest


Will their heads before Him wave,


Ripened by His glorious sunshine


From the furrows of the grave.



4 Christ is risen, we are risen!


Shed upon us heavenly grace,


Rain and dew and gleams of glory


From the brightness of Thy face:


That, with hearts in heaven dwelling,


We on earth may fruitful be,


And by angel-hands be gathered,


And be ever, Lord, with Thee.



5 Alleluia! Alleluia!


Glory be to God on high;


Alleluia to the Saviour


Who has won the victory;


Alleluia to the Spirit,


Fount of love and sanctity;


Alleluia! Alleluia!


To the Triune Majesty.



Amen.



"
45,"Arm these Thy servants, mighty Lord",,"Christopher Wordsworth",,,,"arm_these_thy_soldiers_mighty_lord","HPEC1871","Hymnal: according to the use of the Protestant Episcopal Church in the United States of America",1871,"Gender Neutral","1 Arm these Thy soldiers, mighty Lord,


With shield of faith and Spirit's sword;


Forth to the battle may they go,


And boldly fight against the foe,


With banner of the Cross unfurl'd,


And by it overcome the world;


And so at last receive from Thee


The palm and crown of victory.



2 Come, ever-bless'd Spirit, come,


And make Thy servant's hearts Thy home;


May each a living temple be,


Hallow'd for ever, Lord, to Thee,


Enrich that temple's holy shrine


With seven-fold gifts of grace divine;


With wisdom, light, and knowledge bless,


Strength, counsel, fear, and godliness.



"
46,"Come ever blessed Spirit, come",,"Christopher Wordsworth",,,,"come_ever_blessed_spirit_come","CPACC","Common Praise",1998,,"1 Come, ever blessed Spirit, come,


and make thy servants' hearts thy home;


may each a living temple be,


hallowed for ever, Lord, to thee.



2 Enrich that temple's holy shrine


with sevenfold gifts of grace divine:


with wisdom, light and knowledge bless,


strength, counsel, fear, and godliness.



3 O Trinity in Unity,


one only God and persons three,


in whom, through whom, by whom we live,


to Thee we praise and glory give:



4 So grant us to receive thy grace,


that we may see thy glorious face,


and ever with the heavenly host


praise Father, Son, and Holy Ghost."
47,"Hark! the sound of holy voices","Hark! the sound of holy voices","Christopher Wordsworth",,,,"hark_the_sound_of_holy_voices","HPEC1871","Hymnal: according to the use of the Protestant Episcopal Church in the United States of America",1871,"Gender Neutral","1 Hark! the sound of holy voices,


Chanting o'er the crystal sea,


Alleluia, Alleluia,


Alleluia, Lord, to Thee;


Multitude, which none can number,


Like the stars in glory stands,


Clothed in white apparel, holding


Palms of victory in their hands.



2 Patriarch, and holy Prophet.


Who prepared the way for Christ,


King, Apostle, Saint, Confessor,


Martyr and Evangelist;


Saintly Maiden, Golden Matron,


Widows who have watched to prayer,


Joined in holy concert, singing,


To the Lord of all, are there.



3 They have come from tribulation,


And have wash'd their robes in blood,


Wash'd them in the blood of Jesus;


Tried they were, and firm they stood;


Mock'd, imprison'd, stoned, tormented,


Sawn asunder, slain with sword,


They have conquer'd death and Satan


By the might of Christ the Lord.



4 Marching with Thy cross their banner,


They have triumph'd, following


Thee, the Captain of salvation,


Thee, their Saviour and their King;


Gladly, Lord, with Thee they suffer'd;


Gladly, Lord, with Thee they died;


And by death to life immortal


They were born and glorified.



5 Now they reign in heavenly glory,


Now they walk in golden light,


Now they drink, as from a river,


Holy bliss and infinite:


Love and peace they taste for ever,


And all truth and knowledge see


In the beatific vision


Of the bless'd Trinity."
48,"Lord, be thy word my rule",,"Christopher Wordsworth",,,,"lord_be_thy_word_my_rule","EH1982","Hymnal 1982: according to the use of the Episcopal Church",1985,"Gender Neutral","1 Lord, be thy word my rule;


in it may I rejoice;


thy glory be my aim,


thy holy will my choice;


2 thy promises my hope;


thy providence my guard;


thine arm my strong support;


thyself my great reward.


"
49,"O God, in whose all-searching eye","O God, in Whose all-searching eye","Christopher Wordsworth",,,,"o_god_in_whose_all_searching_eye","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,"Gender Neutral","1 O God, in Whose all-searching eye


Thy servants stand, to ratify


The vow baptismal, by them made,


When first Thy hand was on them laid;


Bless them, O Holy Father, bless,


Who Thee, with heart and voice confess;


May they, acknowledged as Thine own,


Stand evermore before Thy throne.



2 O Christ, Who didst at Pentecost


Send down from heaven the Holy Ghost;


And at Samaria baptize


Those whom Thou didst evangelize;


And then on Thy baptized confer


The best of gifts, the Comforter,


By apostolic hands, and prayer;


Be with us now, as Thou wert there.



3 Arm these Thy soldiers, mighty Lord,


With shield of faith, and Spirit's sword;


Forth to the battle may they go,


And boldly fight against the foe,


With banner of the cross unfurled,


And by it overcome the world;


And so at last receive from Thee


The palm and crown of victory.



4 Come, ever bless'd Spirit, come,


And make Thy servant's hearts Thy home;


Thus consecrated, Lord, to Thee,


May each a living temple be.


Enrich that temple's holy shrine


With sevenfold gifts of grace divine;


With wisdom, light, and knowledge, bless,


Strength, counsel, fear, and godliness.



Amen.



"
50,"Lord of heaven and earth and sea","Lord of heaven and earth and sea","Christopher Wordsworth",,,,"o_lord_of_heaven_and_earth_and_sea","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,,"1 O Lord of heaven, and earth, and sea,


To Thee all praise and glory be;


How shall we show our love to Thee


Who givest all?



2 The golden sunshine, vernal air,


Sweet flowers and fruit Thy love declare,


Where harvests ripen, Thou art there


Who givest all!



3 For peaceful homes, and healthful days,


For all the blessings earth displays,


We owe Thee thankfulness and praise,


Who givest all!



4 Thou didst not spare Thine only Son,


But gav'st Him for a world undone,


And freely with that Bless'd One


Thou givest all.



5 Thou giv'st the Spirit's holy dower,


Spirit of life, and love, and power,


And dost His sevenfold graces shower


Upon us all.



6 For souls redeemed, for sins forgiven,


For means of grace and hopes of heaven,


O Lord, what can to Thee be given


Who givest all?



7 We lose what on ourselves we spend;


We have as treasure without end


Whatever, Lord, to Thee we lend,


Who givest all.



8 Whatever, Lord, we lend to Thee,


Repaid a thousandfold will be;


Then gladly will we give to Thee


Who givest all;



9 To Thee, from Whom we all derive


Our life, our gifts, our power to give;


Oh, may we ever with Thee live


Who givest all!



Amen."
51,"See, the conqueror mounts in triumph","See, the Conqueror Mounts in Triumph","Christopher Wordsworth",,,,"see_the_conqueror_mounts_in_triumph","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,,"1 See the Conqueror mounts in triumph;


See the King in royal state,


Riding on the clouds, His chariot,


To His heav'nly palace gate!


Hark! the choir of angel voices


Joyful alleluias sing,


And the portals high are lifted


To receive their heavenly King.



2 Who is this that comes in glory,


With the trump of jubilee?


Lord of battles, God of armies,


He hath gained the victory!


He Who on the cross did suffer,


He Who from the grave arose,


He has vanquished sin and Satan;


He by death has spoiled His foes.



3 While He raised His hands in blessing,


He was parted from His friends;


While their eager eyes behold Him,


He upon the clouds ascends;


He Who walked with God and pleased Him,


Preaching truth and doom to come,


He, our Enoch, is translated,


To His everlasting home.



4 Now our heavenly Aaron enters,


With His blood, within the veil;


Joshua now is come to Canaan,


And the kings before Him quail;


Now He plants the tribes of Israel


In their promised resting-place;


Now our great Elijah offers


Double portion of His grace.



5 Thou hast raised our human nature


On the clouds to God's right hand:


There we sit in heavenly places,


There with Thee in glory stand.


Jesus reigns, adored by angels;


Man with God is on the throne;


Mighty Lord, in Thine Ascension,


We by faith behold our own.



Amen.



"
52,"Sing, O sing, this blessed morn","Sing, O sing, this blessed morn","Christopher Wordsworth",,,,"sing_o_sing_this_blessed_morn","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,,"1 Sing, oh, sing, this bless'd morn;


Unto us a Child is born,


Unto us a Son is given,


God Himself comes down from heaven;


Sing, oh, sing, this bless'd morn,


Jesus Christ today is born.



2 God of God, and Light of Light,


Comes with mercies infinite,


Joining in a wondrous plan


Heaven to earth, and God to man.


Sing, oh, sing, this bless'd morn,


Jesus Christ today is born.



3 God with us, Emmanuel,


Deigns forever now to dwell;


He on Adam's fallen race


Sheds the fullness of His grace.


Sing, oh, sing, this bless'd morn,


Jesus Christ today is born.



4 God comes down that man may rise,


Lifted by Him to the skies;


Christ is Son of Man that we


Sons of God in Him may be.


Sing, oh, sing, this bless'd morn,


Jesus Christ today is born.



5 Oh, renew us, Lord, we pray,


With Thy Spirit day by day,


That we ever one may be


With the Father and with Thee.


Sing, oh, sing, this bless'd morn,


Jesus Christ today is born.



Amen.



"
