personID,personName,gender,personYear,deathYear
"Lemons_AC1","A. C. Lemons",,0,0
"ACMcClurgandCo1","A. C. McClurg and Co.",U,0,0
"McCoy_AC1","A. C. McCoy",,0,0
"Mueller_AC1","A. C. Mueller",,0,0
"Neece_AC1","A. C. Neece",,0,0
"ACNeeceCo1","A. C. Neece Co.",U,0,0
"Norton_AC1","A. C. Norton",,0,0
"Crozier_ACP1","A. C. P. Crozier",,0,0
"Palmer_AC1","A. C. Palmer, 1845-1882",M,1845,1882
"Pierson_AC1","A. C. Pierson",,0,0
"Pratt_AC1","A. C. Pratt",,0,0
"Price_AC1","A. C. Price",,0,0
"Prindle_AC1","A. C. Prindle",F,0,0
"Rogers_AC1","A. C. Rogers",,0,0
"Rose_AC1","A. C. Rose",,0,0
"Russelle_AC1","A. C. Russelle",,0,0
"Rutstrom_AC1","A. C. Rutstrom",,0,0
"Rutstroem_AC1","A. C. Rutström",,0,0
"Sly_AC1","A. C. Sly",,0,0
"Smither_AC1","A. C. Smither",,0,0
"Snead_AC","A. C. Snead",M,1884,0
"Stickle_AC1","A. C. Stickle",,0,0
"Stockmann_AC1","A. C. Stockmann",M,1751,1821
"Tarbolton_AC1","A. C. Tarbolton",,0,0
"Thomas_AC1","A. C. Thomas",M,1807,1880
"Woolston_AC1","A. C. W.",F,0,0
"Webb_AC1","A. C. Webb",,0,0
"Westphal_AC1","A. C. Westphal",,0,0
"Wolfenburger_AC1","A. C. Wolfenburger",,0,0
"Woodruff_AC1","A. C. Woodruff",,0,0
"Wuchter_AC1","A. C. Wuchter",,0,0
"ACampbell1","A. Campbell",U,0,0
"Carey_A3","A. Carey",,0,0
"Hankey_AC","A. Catherine Hankey",F,1834,1911
"Chase_A1","A. Chase",,0,0
"Christian_A1","A. Christian",,0,0
"Clark_A12","A. Clark",U,0,0
"Clark_A","A. Clark",,0,0
"Cleaves_A1","A. Cleaves",,0,0
"Condo_A1","A. Condo",,0,0
"Cook_A2","A. Cook",,0,0
"Cookill_A1","A. Cookill",,0,0
"Cotton_A1","A. Cotton",,0,0
"Craley_A1","A. Craley",,0,0
"ACrawfordGreene1","A. Crawford Greene",U,0,0
"Creuzberg_A","A. Creuzberg",U,0,0
"Crihfield_A","A. Crihfield",U,0,0
"Crithfield_A1","A. Crithfield",,0,0
"Falconer_AC","A. Croil Falconer",M,1850,0
"Cambridge_A1","A. Cross",F,1844,1926
"Cruden_A1","A. Cruden",,0,0
"Cruikshank_A1","A. Cruikshank",,0,0
"Cunningham_A1","A. Cunningham",,0,0
"Curtis_A1","A. Curtis",,0,0
"Fillmore_AD1","A. D. ",,0,0
"Burkett_AD1","A. D. Burkett",,0,0
"A. D. C.","A. D. C.",,0,0
"Darling_AD1","A. D. Darling",,0,0
"Ellington_AD1","A. D. Ellington",,0,0
"Fillmore_ADAD","A. D. F.",,0,0
"Field_AD1","A. D. Field",,0,0
"Gillette_AD1","A. D. Gillette",,0,0
"Honeycut_AD1","A. D. Honeycut",,0,0
"Kennedy_AD3","A. D. Kennedy",,0,0
"Liefeld_AD1","A. D. Liefeld",,0,0
"Lincoln_AD1","A. D. Lincoln",,0,0
"Maxwell_AD1","A. D. Maxwell",F,0,0
"Merrill_AD1","A. D. Merrill",M,1796,1878
"ADMerrillWCBrown1","A. D. Merrill & W. C. Brown",,0,0
"Munson_AD1","A. D. Munson",,0,0
"Neel_AD1","A. D. Neel",,0,0
"Nyal_AD1","A. D. Nyal",,0,0
"Sartwell_AD1","A. D. Sartwell",,0,0
"Vance_AD1","A. D. Vance",,0,0
"Wackerbarth_AD1","A. D. Wackerbarth",M,0,0
"Wall_AD1","A. D. Wall",,0,0
"Williams_AD1","A. D. Williams",,0,0
"Dalrymple_A1","A. Dalrymple",,0,0
"Dan_A1","A. Dan",,0,0
"Danks_A1","A. Danks",,0,0
"DeLamartine_A1","A. DeLamartine",,0,0
"Deming_A1","A. Deming",,0,0
"Dickinson_A1","A. Dickinson",,0,0
"Dobson_A1","A. Dobson",,0,0
"Doepp_A1","A. Doepp",,0,0
"Donigan_A1","A. Donigan",,0,0
"Dunning_A1","A. Dunning",,0,0
"Dyer_A1","A. Dyer",,0,0
"A_EA","A. E. A.",,0,0
"A. E. A. S.","A. E. A. S.",,0,0
"Abel_AE1","A. E. Abel",,0,0
"Ackley_AE1","A. E. Ackley",,0,0
"Allen_AE2","A. E. Allen",,0,0
"Baker_AE1","A. E. Baker",F,0,0
"Bartlett_AE1","A. E. Bartlett",,0,0
"Barton_AE1","A. E. Barton",,0,0
"Baten_AE1","A. E. Baten",,0,0
"Beardsley_AE1","A. E. Beardsley",,0,0
"Bloom_AE1","A. E. Bloom",,0,0
"Bradow_AE1","A. E. Bradow",,0,0
"Brumley_AE4","A. E. Brumley",,0,0
"Childs_AE1","A. E. Childs",,0,0
"Cook_AE1","A. E. Cook",,0,0
"Cooper_AE1","A. E. Cooper",,0,0
"Curtiss_AE1","A. E. Curtiss",,0,0
"Dickey_AE1","A. E. Dickey",,0,0
"Dodge_AE1","A. E. Dodge",,0,0
"Fabeus_AE1","A. E. Fabeus",,0,0
"Federhen_AE1","A. E. Federhen",,0,0
"Finley_AE1","A. E. Finley",,0,0
"Floyd_A","A. E. Floyd",M,1877,1977
"Froehlich_AE1","A. E. Froehlich",,0,0
"Harris_AE1","A. E. Harris",,0,0
"Hatch_AE1","A. E. Hatch",,0,0
"Hoffman_AE","A. E. Hoffman",U,0,0
"Howe_AE1","A. E. Howe",,0,0
"Humbard_AE1","A. E. Humbard",,0,0
"John_AE1","A. E. John",,0,0
"Jones_AE1","A. E. Jones",,0,0
"Kennedy_AE1","A. E. Kennedy",,0,0
"Koglin_AE1","A. E. Koglin",,0,0
"Lane_AE1","A. E. Lane",,0,0
"Lind_AE","A. E. Lind",U,0,0
"Marchand_AE1","A. E. Marchand",,0,0
"Moerke_AE1","A. E. Moerke",,0,0
"Naish_AE1","A. E. Naish",,0,0
"Patterson_AE1","A. E. Patterson",,0,0
"Peterson_AE1","A. E. Peterson",,0,0
"Poole_AE1","A. E. Poole",,0,0
"Brauer_AER","A. E. R. Brauer, 1866-1949",M,1866,1949
"Sheldon_AE1","A. E. Sheldon",,0,0
"Smith_AE2","A. E. Smith",,0,0
"Taylor_AE1","A. E. Taylor",,0,0
"Thomson_AE","A. E. Thompson",F,0,0
"Thurston_AE1","A. E. Thurston",,0,0
"Tozer_AE1","A. E. Tozer, Mus. Bac.",M,1857,1919
"Winslow_AE1","A. E. Winslow",,0,0
"Meyers_AE1","A. Edith Meyers",,0,0
"Keigwin_AE1","A. Edwin Keigwin",,0,0
"Palmqvist_AE1","A. Eldon Palmqvist",,0,0
"Ellwood_A1","A. Ellwood",,0,0
"Elrod_A1","A. Elrod",,0,0
"Ely_A1","A. Ely",,0,0
"Adams_AE","A. Emmett Adams",M,0,0
"Epstein_A","A. Epstein",U,0,0
"Ellsworth_AE","A. Eugene Ellsworth",M,0,0
"Francis_A1","A. F.",,0,0
"Abbott_AF1","A. F. Abbott",,0,0
"Brandenburg_AF1","A. F. Brandenburg",,0,0
"Chaffee_AF1","A. F. Chaffee",,0,0
"Close_AF1","A. F. Close",,0,0
"Dixon_AF1","A. F. Dixon",,0,0
"Ferris_AF","A. F. Ferris",,0,0
"Fisher_AF1","A. F. Fisher",,0,0
"Jamieson_AF1","A. F. Jamieson",,0,0
"Knight_AF1","A. F. Knight",,0,0
"Law_AF1","A. F. Law",F,0,0
"Custance_AFM1","A. F. M. Custance",,0,0
"Meyers_AF1","A. F. Meyers",,0,0
"Miller_AF1","A. F. Miller",,0,0
"Munroe_AF1","A. F. Munroe",,0,0
"Myers_AF","A. F. Myers",U,0,0
"Oberndorfer_AF1","A. F. Oberndorfer",,0,0
"Page_AF1","A. F. Page",,0,0
"Peckham_AF1","A. F. Peckham",,0,0
"Pierson_AF1","A. F. Pierson",,0,0
"Rohr_AF1","A. F. Rohr",,0,0
"Schall_AF1","A. F. Schall",,0,0
"Shoals_AF1","A. F. Shoals",,0,0
"Sisco_AF1","A. F. Sisco",F,0,0
"Tomlin_AF1","A. F. Tomlin",,0,0
"Zich_AF","A. F. Zich, 1868-1939",,1868,1939
"Falck_A1","A. Falck",,0,0
"Falk_A1","A. Falk",,0,0
"Falmmann_A1","A. Falmmann",,0,0
"Feldhoff_A1","A. Feldhoff, geb. 1800",,0,0
"Fernandez_A1","A. Fernandez",,0,0
"Flamman_A1","A. Flamman",,0,0
"Flammann_A1","A. Flammann",,0,0
"Flammin_A1","A. Flammin",,0,0
"Fleming_A2","A. Fleming",,0,0
"Floyd_A1","A. Floyd",,0,0
"Ford_A1","A. Ford",,0,0
"Boos_AG1","A. G. Boos",,0,0
"Chapman_AG1","A. G. Chapman",,0,0
"Comings_AG1","A. G. Comings",,0,0
"Connatser_AG1","A. G. Connatser",,0,0
"AGCummings1","A. G. Cummings",U,0,0
"Denning_AG1","A. G. Denning",,0,0
"Duncan_AG1","A. G. Duncan",,0,0
"Gellenbeck_AG","A. G. G.",F,0,0
"Godley_AG1","A. G. Godley",,0,0
"Gulick_AG1","A. G. Gulick",,0,0
"Haygood_AG2","A. G. Haygood",,0,0
"Hembree_AG1","A. G. Hembree",,0,0
"Hering_AGL1","A. G. L. Hering",,0,0
"Laurie_AG1","A. G. Laurie",,0,0
"Lindquist_AG1","A. G. Lindquist",,0,0
"Lingqvist_AG1","A. G. Lingqvist",,0,0
"Campbell_AGM1","A. G. M. Campbell",,0,0
"Mashburn_AG1","A. G. Mashburn",,0,0
"McAllister_AG1","A. G. McAllister",,0,0
"McDougall_AG5","A. G. McDougall",,0,0
"Miller_AG1","A. G. Miller",,0,0
"A. G. P.","A. G. P.",U,0,0
"R_AG","A. G. R.",,0,0
"Rolfe_AG1","A. G. Rolfe",,0,0
"Russell_AG1","A. G. Russell",,0,0
"Sporrong_AG1","A. G. Sporrong",,0,0
"AGToennies1","A. G. Toennies",U,0,0
"Blunt_AGW1","A. G. W. Blunt",M,1827,1902
"AGeibelMusicCo1","A. Geibel Music Co.",U,0,0
"Godshall_A1","A. Godshall",,0,0
"Goldberg_A1","A. Goldberg",,0,0
"Goldwin_A1","A. Goldwin",U,0,0
"Goncalves_A1","A. Goncalves",,0,0
"Goodman_A1","A. Goodman",,0,0
"Gord_A1","A. Gord",,0,0
"Grantley_A1","A. Grantley",,0,0
"Grasmann_A1","A. Grasmann",,0,0
"Gray_A2","A. Gray",,0,0
"Green_A2","A. Green",,0,0
"Gregg_A1","A. Gregg",,0,0
"Murray_AG5","A. Gregory Murray",U,0,0
"Grey_A1","A. Grey",,0,0
"Gunner_A","A. Gunner",U,0,0
"A. H.","A. H.",,0,0
"AH","A. H.",U,0,0
"Adams_AH3","A. H. Adams",,0,0
"Adams_AH2","A. H. Adams",F,0,0
"Bassett_AH1","A. H. Bassett",,0,0
"Bradon_AH1","A. H. Bradon",,0,0
"Buchholz_AH1","A. H. Buchholz, 1607-1671",,0,0
"Butler_AH1","A. H. Butler",,0,0
"Clapp_AH1","A. H. Clapp",,0,0
"Clough_AH1","A. H. Clough",,0,0
"Coates_AH1","A. H. Coates",,0,0
"Cook_AH1","A. H. Cook",,0,0
"Troyte_AHD","A. H. D. Troyte",M,1811,1857
"Elliott_AH1","A. H. Elliott",,0,0
"Ericsson_AH1","A. H. Ericsson",,0,0
"Flynn_AH1","A. H. Flynn",,0,0
"FoxStrangways_AH1","A. H. Fox-Strangways",,0,0
"Glasscock_AH1","A. H. Glasscock",,0,0
"Gorham_AH1","A. H. Gorham",,0,0
"Gregory_AH1","A. H. Gregory",,0,0
"Haliday_AH1","A. H. Haliday",,0,0
"Hostettler_AH1","A. H. Hostettler",,0,0
"Hussey_AH1","A. H. Hussey",,0,0
"Jahsmann_AH2","A. H. Jahsmann",,0,0
"Knight_AH1","A. H. Knight",,0,0
"Lester_AH1","A. H. Lester",,0,0
"Lidsay_AH1","A. H. Lidsay",,0,0
"HMann1","A. H. Mann",,0,0
"Mevs_AH1","A. H. Mevs",,0,0
"Niemeyer_AH1","A. H. Niemeyer",,0,0
"Pirtle_AH1","A. H. Pirtle",,0,0
"Puckett_AH1","A. H. Puckett",,0,0
"Purcell_AH1","A. H. Purcell",,0,0
"Redford_AH","A. H. Redford",U,0,0
"Ross_AH1","A. H. Ross",,0,0
"Sembower_AH1","A. H. Sembower",,0,0
"Sherwood_AH1","A. H. Sherwood",,0,0
"Thomson_AH","A. H. Thomson",F,1833,1877
"Turner_AH1","A. H. Turner",,0,0
"Meador_WA1","A. H. Walter",M,0,0
"Wilson_AH1","A. H. Wilson",,0,0
"Wimmer_AH1","A. H. Wimmer",,0,0
"Worrell_AH1","A. H. Worrell",,0,0
"Haines_A1","A. Haines",,0,0
"Hale_A1","A. Hale",,0,0
"Hanlon_A1","A. Hanlon",,0,0
"Hansoen_A1","A. Hansoen",,0,0
"Harker_A1","A. Harker",,0,0
"Harrison_A2","A. Harrison",,0,0
"Harvey_A","A. Harvey",U,0,0
"Haskell_A1","A. Haskell",,0,0
"Hauge_A1","A. Hauge",,0,0
"Hayner_A1","A. Hayner",,0,0
"Hazalwood_A1","A. Hazalwood",,0,0
"Henry_A1","A. Henry",,0,0
"Hevin_A1","A. Hevin",,0,0
"Hinkelmann_A1","A. Hinkelmann",,0,0
"Hofer_A1","A. Hofer",,0,0
"Hoffman_A1","A. Hoffman",,0,0
"Holland_A1","A. Holland",,0,0
"Holmes_A1","A. Holmes",,0,0
"Horwitz_A1","A. Horwitz",,0,0
"Hovden_A1","A. Hovden",,0,0
"Huebner_A1","A. Huebner",,0,0
"Huguley_A1","A. Huguley",,0,0
"Hult_A3","A. Hult",,0,0
"Hume_A1","A. Hume",,0,0
"Hutberg_A1","A. Hutberg",,0,0
"AHutchinsonandCo1","A. Hutchinson and Co.",U,0,0
"Huxley_A1","A. Huxley",,0,0
"Cummings_AI1","A. I. Cummings",,0,0
"Pratt_AI1","A. I. Pratt",,0,0
"Zelley_A","A. I. Zelley",U,0,0
"Abbey_AJ1","A. J. Abbey",M,1825,1887
"Ashe_AJ1","A. J. Ashe",,0,0
"Buchanan_AJ1","A. J. B.",,0,0
"Hope_AJB1","A. J. B. Hope",,0,0
"Bailey_AJ1","A. J. Bailey",,0,0
"Baird_AJ1","A. J. Baird",,0,0
"Barnes_AJ1","A. J. Barnes",,0,0
"Begbie_AJ1","A. J. Begbie",,0,0
"Bradbury_AJ1","A. J. Bradbury",F,0,0
"Bucher_AJ1","A. J. Bucher",,0,0
"Christie_AJ1","A. J. Christie",,0,0
"Cleaveland_AJ1","A. J. Cleaveland",,0,0
"Clentor_AJ1","A. J. Clentor",,0,0
"Crider_AJ1","A. J. Crider",,0,0
"Crocheron_AJ1","A. J. Crocheron",,0,0
"A. J. D.","A. J. D.",,0,0
"Dale_AJ1","A. J. Dale",F,0,0
"Darling_AJ1","A. J. Darling",,0,0
"Davis_AJ1","A. J. Davis",,0,0
"Duncan_AJ1","A. J. Duncan",,0,0
"Ellis_AJ1","A. J. Ellis",,0,0
"Behrends_AJF1","A. J. F. Behrends",,0,0
"Foxwell_AJ1","A. J. Foxwell",,0,0
"Glassburn_AJ1","A. J. Glassburn",,0,0
"Grannis_AJ1","A. J. Grannis",,0,0
"Duganne_AJH1","A. J. H. Duganne",,0,0
"Pounds_AJH1","A. J. H. Pounds",,0,0
"Hancock_AJ1","A. J. Hancock",F,0,0
"Hawkins_AJ1","A. J. Hawkins",,0,0
"Hearn_AJ1","A. J. Hearn",,0,0
"Hodge_AJ1","A. J. Hodge",U,0,0
"Hodge_J1","A. J. Hodge",,0,0
"Holt_AJ1","A. J. Holt",,0,0
"Hubbard_AJ1","A. J. Hubbard",,0,0
"Jackson_AJ1","A. J. Jackson",,0,0
"Kehrein_AJ1","A. J. K.",,0,0
"Keck_AJ1","A. J. Keck",,0,0
"Kilpatrick_AJ","A. J. Kilpatrick",,0,0
"Krider_AJ1","A. J. Krider",,0,0
"Lockhart_AJ1","A. J. Lockhart",,0,0
"Maxham_AJ1","A. J. M.",,0,0
"Mason_AJ","A. J. Mason, 1851-1928",M,1851,1923
"McKinnon_AJ1","A. J. McKinnon",,0,0
"Meek_AJ1","A. J. Meek",,0,0
"Morris_AJ1","A. J. Morris",,0,0
"Mowat_AJ1","A. J. Mowat",,0,0
"A. J. P.","A. J. P.",U,0,0
"Park_AJ1","A. J. Park",F,0,0
"Patterson_AJ1","A. J. Patterson",,0,0
"Ramaker_AJ1","A. J. Ramaker",,0,0
"Rambach_AJ1","A. J. Rambach",,0,0
"Robertson_AJ1","A. J. Robertson",,0,0
"AJRowland1","A. J. Rowland",,0,0
"Rowland_AJ1","A. J. Rowland",,0,0
"Showalter_AJ","A. J. S.",M,1858,1924
"Sage_AJ1","A. J. Sage",,0,0
"Scarborough_AJ1","A. J. Scarborough",,0,0
"Seal_AJ1","A. J. Seal",,0,0
"Shartle_AJ1","A. J. Shartle",,0,0
"AJShowalterCo3","A. J. Showalter Co.",U,0,0
"Sims_AJ1","A. J. Sims",,0,0
"Stuart_AJ1","A. J. Stuart",,0,0
"Summers_AJ1","A. J. Summers",,0,0
"Thompson_AJ1","A. J. Thompson",,0,0
"Veteto_AJ1","A. J. Veteto",,0,0
"Waldrop_AJ1","A. J. Waldrop",,0,0
"Wheeler_AJ1","A. J. Wheeler",,0,0
"White_AJ1","A. J. White",,0,0
"Wilcox_AJ1","A. J. Wilcox",,0,0
"Wright_AJ1","A. J. Wright",,0,0
"Zuercher_AJ1","A. J. Zuercher",,0,0
"Jackson_A3","A. Jackson",,0,0
"Jaeschke_A1","A. Jaeschke",,0,0
"Jamieson_A1","A. Jamieson",,0,0
"Jenkins_A1","A. Jenkins",,0,0
"Bond_AJ1","A. Joel Bond",,0,0
"Jones_A3","A. Jones",,0,0
"Jordan_A1","A. Jordan",,0,0
"Judson_A6","A. Judson",,0,0
"Julius_A1","A. Julius",F,0,0
"Krapf_A1","A. K.",,0,0
"Benedict_AK1","A. K. Benedict",,0,0
"Bond_AK1","A. K. Bond",,0,0
"King_AK1","A. K. King",,0,0
"McMullen_AK1","A. K. McMullen",,0,0
"Miller_AK1","A. K. Miller",,0,0
"Spivey_AK1","A. K. Spivey",,0,0
"King_A","A. King",M,1837,1926
"Knapp_A","A. Knapp",M,1798,1864
"Kneeland_A2","A. Kneeland",,0,0
"Koerner_A1","A. Koerner",,0,0
"Kohler_A1","A. Kohler",,0,0
"Kohn_A1","A. Kohn",,0,0
"Kreymborg_A1","A. Kreymborg",,0,0
"Krummacher_A1","A. Krummacher",,0,0
"Acker_AL1","A. L. Acker",,0,0
"Ashcroft_A","A. L. Ashcroft",U,0,0
"Byers_AL","A. L. B.",M,1869,1952
"Bobbitt_AL1","A. L. Bobbitt",,0,0
"Brand_AL1","A. L. Brand",,0,0
"Buchanan_AL1","A. L. Buchanan",,0,0
"Burbank_AL1","A. L. Burbank",,0,0
"Burnett_AL1","A. L. Burnett",,0,0
"Byers_AL4","A. L. Byers",,0,0
"Clanton_AL1","A. L. Clanton",,0,0
"Curry_AL","A. L. Curry",M,1870,1949
"Dixon_AL1","A. L. Dixon",,0,0
"Elliott_AL1","A. L. Elliott",,0,0
"Empaytaz_AL1","A. L. Empaytaz",,0,0
"Eyler_AL1","A. L. Eyler",,0,0
"Faust_AL1","A. L. Faust",,0,0
"Fraser_AL1","A. L. Fraser",,0,0
"French_AL1","A. L. French",,0,0
"Grant_AL1","A. L. Grant",,0,0
"Greenwood_AL1","A. L. Greenwood",,0,0
