hymnalID,"hymnalTitle","editors","publisher",publicationState 1,"publicationState 2",publicationDate,"denominations",tags
CH1804,"The Christian Harmonist: containing a set of tunes adapted to all the metres in Mr. Rippon's Selection of Hymns, in the collection of hymns by Mr. Joshua Smith, and in Dr. Watt's Psalms and Hymns...","Samuel Holyoke, A. M.; Joshua Cushing","Joshua Cushing (Printer)",Salem,"Mass.",1804,"Baptist Church",
MoH1804,"The Melody of the Heart","Abner Jones; Manning & Loring","Manning & Loring",Boston,"Mass.",1804,"Christian Connection",
CPHP1805,"A Collection of Psalms and Hymns for Publick Worship","","Dabney and Cushing",Salem,"MA",1805,"",
DHSC1805,"Divine Hymns on the Sufferings of Christ","Solomon Howe","",Greenwich,"Mass.",1805,"",
HOSC1805,"Hymns, Original and Selected, for the use of Christians","Elias Smith; Abner Jones; Manning & Loring","Manning & Loring",Boston,"Mass.",1805,"New England Christians",
CH1805,"The Christian Harmony","Henry Ranlet","Henry Ranlet",Exeter,"N.H.",1805,"Congregational Christian Churches, 1931-",
DHNC1805,"The Delights of Harmony; or, Norfolk Compiler: being a new collection of psalm tunes, hymns and anthems with a variety of set pieces, from the most approved American and European authors...","Stephen Jenks; H. Mann","H. Mann (Printer)",Dedham,"Mass.",1805,"",Has Music
LSCC1805,"The Lord's Songs: a collection of composures in metre, such as have been most used in the late glorious revivals; Dr. Watts' psalms and hymns excepted","Joshua Spalding; Joshua Cushing","Joshua Cushing",Salem,"",1805,"",
MO1805,"The Musical Olio: containing I. a concise introduction to the art of singing by note. II. a variety of psalms, tunes, hymns, and set pieces, selected principally from European authors...","T. Olmsted; Andrew Wright","Andrew Wright",Northampton,"Mass.",1805,"",Has Music
CSEH1806,"A Choice Selection of Evangelical Hymns, from various authors: for the use of the English Evangelical Lutheran Church in New York","Ralph Williston; J. C. Totten","J. C. Totten",New York,"",1806,"Evangelical Lutheran Ministerium of the State of New York and Adjacent States an",
PHBD1806,"A Pocket Hymn Book, Designed as a Constant Companion for the Pious,  Collected from Various Authors. 28th ed.","Mathew R. Lockerman","Mathew R. Lockerman",Wilmington,"Del.",1806,"Methodist hymnals (general)",
HSSU1806,"Hymns and Spiritual Songs for the Use of Christians. 8th ed.","Warner & Hanna","Warner & Hanna",Baltimore,"Md.",1806,"Christian Church, General Convention",
PHW,"Psalms and Hymns of Isaac Watts, The","","Grand Rapids, MI: Christian Classics Ethereal Library",,"",1806,"",
YCCB1806,"The Young Convert's Companion: Being a Collection of Hymns for the Use of  Conference Meetings","Oliver Holden; E. Lincoln","E. Lincoln",Boston,"Mass.",1806,"",
CHPU1807,"A Collection of Hymns and Psalms for the Use of Singing School and         Musical Societies","J. J. Husband","",Lancaster,"Penn.",1807,"",
GSNM1807,"A General Selection of the Newest and Most Admired Hymns and Spiritual Songs Now in Use","Stith Mead; Seaton Grantland","Seaton Grantland",Richmond,"Va.",1807,"Methodist hymnals (general)",
HUCC1807,"Hymns, for the Use of the Catholic Church in the United States of America (New ed.)","John West Butler","John West Butler",Baltimore,"",1807,"Roman Catholic Church",
VC1807,"The Vocal Companion: containing a concise introduction to the practice of music, and a set of tunes of various metres, arranged progressively for the use of learners","Samuel Holyoke, A. M.; Norris & Sawyer","Norris & Sawyer",Exeter,"N.H.",1807,"",Has Music
DSU1807,"Watt's Divine Songs For the use of Children","Isaac Watts","J. Johnson",Philadelphia,"",1807,"",No Hymns
SHPF1808,"A Selection of hymns & Psalms from the most approved authors: principally from Watts & Rippon, together with originals","Dodge, Daniel","Mathew R. Lockerman",Wilmington,"",1808,"",
SHSM1808,"A Selection of Hymns ... Supplement to the Methodist Pocket Hymn Book. 1st ed","John Wilson & Daniel Hitt","John Wilson & Daniel Hitt",New York,"N.Y.",1808,"Methodist hymnals (general)",
SPHE1808,"A Selection of Psalms and Hymns, Embracing all the Varieties of Subjects","William Emerson, A. M. ; Munroe, Francis & Parker","Munroe, Francis & Parker",Boston,"",1808,"Unitarian Churches",
DCBC1808,"David's Companion: being a choice selection of hymn and psalm tunes adapted to the words and measures in the Methodist Pocket Hymn-Book...","J. Evans; J. Evans","J. Evans",New York,"",1808,"Methodist hymnals (general)",Has Music
UGB1808,"Ein Unpartheyisches Gesang-Buch: enthaltend geistreiche Lieder und Psalmen, zum allgemeinen Gebrauch des wahren Gottesdienstes auf begehren der Brüderschaft der Menoniten Gemeinen...(2nd verb. aufl.)","Georg und Peter Albrecht","Georg und Peter Albrecht",Lancaster,"Penn.",1808,"Old Order Amish Mennonite Church",Has Music
HCDA1808,"Hymns: composed by different authors, by order of the General Convention of Universalists of the New-England States and Others. Adapted to public and private devotion","George W. Nichols","George W. Nichols (Printer)",Walpole,"N.H.",1808,"General Convention of Universalists of the New England States and Others",
HPWP1808,"Hymns for Public Worship Part II, for the Use of the Church in Brattle Street","Andrews & Cummings","Andrews & Cummings",Boston,"Mass.",1808,"Unitarian Churches",
HS1808,"Hymns Selected","T. Dwight; Hudson & Goodwin","Hudson & Goodwin",New Haven,"Conn.",1808,"Congregational Christian Churches, 1931-",
HSMA1808,"Hymns, Selected from the Most Approved Authors, for the use of Trinity Church, Boston","Munroe, Francis & Parker","Munroe, Francis & Parker",Boston,"",1808,"Episcopal Church",Has Music
PH1808,"Pigion o Hymnau","Argraphwyd gan Ira Merrell","Argraphwyd gan Ira Merrell",Utica,"N.Y.",1808,"",
PHSS1808,"Psalms, Hymns and Spiritual Songs: selected and designed for the use of  the church universal, in public and private devotion; with an appendix, containing the original hymns omitted in the last ed.","First Universal Church, Boston; Munroe, Francis & Parker","Munroe, Francis & Parker",Boston,"",1808,"General Convention of Universalists in the United States of America",
