personID,personName,gender,personYear,deathYear
"Greene_RS","Roger Sherman Greene",M,1881,1947
"Weaving_TH","Thomas Henry Weaving, 1881 - 1966",M,1881,1966
"Waghorne_WR","W. R. Waghorne",M,1881,1981
"Wathall_AG","Alfred G. Wathall",M,1880,1938
"Velasco_E1","Epigmenio Velasco",M,1880,1940
"DeLamarter_E","Eric DeLamarter, 1880-1953",M,1880,1953
"Pescott_FD1","Frank Denty Pescott, 1880-",M,1880,
"Haywood_GT1","G. T. Haywood",M,1880,1931
"Ward_GO1","Gilbert Oakley Ward",M,1880,1944
"Farrington_HW","Harry Webb Farrington, 1880-1931",M,1880,1930
"Wilan_Healey","Healey Wilan",U,1880,1968
"Willan_Healey","Healy Willan",M,1880,1968
"Clausen_HC","Henry C. Clausen",M,1880,1960
"Rodeheaver_HA","Homer A. Rodeheaver",M,1880,1955
"Wilson_IB","Ira B. Wilson",M,1880,1950
"Gaines_JW","J. W. G.",M,1880,1937
"Lloyd_JM1","John Morgan Lloyd, 1880-",M,1880,1960
"Moreland_JR","John Richard Moreland",M,1880,1947
"Parr_L","Leonard A. Parr, 1880-",M,1880,1980
"Esch_Lvon","Louis von Esch",M,1880,1980
"Rosemon_MJ1","Mabel J. Rosemon",F,1880,
"LewisButts_M","Magnolia Lewis-Butts",F,1880,1949
"Ussery_MD1","Mark D. Ussery",M,1880,1980
"Byrne_ME","Mary Byrne",F,1880,1931
"Turner_NB1","Nancy Byrd Turner",F,1880,1971
"Stump_RC1","Robert Cox Stump",M,1880,1951
"Harkness_R","Robert Harkness",M,1880,1961
"Stott_R1","Roscoe Stott",M,1880,1980
"Sawyer_R","Ruth Sawyer",F,1880,1970
"Ferraz_S","Salomão Ferraz",M,1880,1969
"Townsend_WA3","Willa A. Townsend",F,1880,1947
"Vories_WM","William M. Vories",M,1880,1964
"Reitz_AS","Albert S Reitz",M,1879,1979
"Smith_AM","Alfred Morton Smith",M,1879,1971
"Mathews_BJ2","Basil Joseph Mathews, 1879-",M,1879,1951
"Pilcher_CV","Charles Venn Pilcher",M,1879,1961
"McGregor_E","Ernest F. McGregor, 1879-1946",M,1879,1946
"Shaw_GT","Geoffrey Shaw",M,1879,1943
"Buffum_H","H. B.",M,1879,1939
"Buffam_H1","Herbert Buffam",M,1879,1939
"Reynolds_IE","I. E. R.",M,1879,1949
"Park_JE","J. Edgar Park",M,1879,1956
"Vaughan_JW","J. W. Vaughan",M,1879,1945
"Holmes_JH","John Haynes Holmes",M,1879,1964
"Ireland_J","John Ireland",M,1879,1962
"Ward_JB1","Justine B. Ward",F,1879,1975
"Taylor_LQC1","L. Q. C. Taylor",M,1879,
"Carlson_N","Nathaniel Carlson",M,1879,1957
"Talbot_NS1","Neville S. Talbot",M,1879,1943
"Olsson_OE","Otto Emanuel Olsson, b. 1879",M,1879,1964
"Rader_P","Paul Rader",M,1879,1938
"Roberts_RE3","Richard Ellis Roberts, 1879-1953",M,1879,1953
"Reed_SE","S. E. R.",M,1879,1959
"Clark_A1","Alden H. Clark, 1878-",M,1878,
"George_AR1","Alfred Robert George, 1878-1961",M,1878,1961
"Roberts_C","Caradog Roberts, 1878-1935",M,1878,1935
"Roper_ES","E. Stanley Roper, 1878-1953",M,1878,1953
"Thomas_EL","Edith Lowell Thomas",F,1878,1970
"Schroll_EA","Eleanor A. Schroll",F,1878,1966
"Trout_EW1","Ethel W. Trout",F,1878,1935
"Wile_FrancesW","Frances Whitmarsh Wile",F,1878,1939
"Heins_FD","Francis Donaldson Heins, 1878-",M,1878,
"Fosdick_HE","Harry E. Fosdick",M,1878,1969
"Simpson_MM1","Margaret M. Simpson",F,1878,1958
"Motta_OdC","Otheoniel de Campos Motta, 1878-1951",M,1878,1951
"Schroeder_R1","Rudolph Alexander Schröder, b. 1878",U,1878,
"Ingham_TH1","T. H. Ingham",M,1878,1948
"Golden_WM","W. M. G.",M,1878,1934
"Floyd_A","A. E. Floyd",M,1877,1977
"Murphy_AS","A. S. M.",F,1877,1942
"Patterson_DT","D. Tait Patterson, 1877-1956",M,1877,1956
"Daisley_GW1","G. W. Daisley",M,1877,1939
"stocks_gg","George Gilbert Stocks (1877-1960)",M,1877,1960
"Crowell_GN","Grace Noll Crowell",F,1877,1969
"McFadyen_HR","Henry Richard McFadyen",M,1877,1964
"Coffin_HS","Henry Sloane Coffin",M,1877,1954
"Aaberg_JC","Jens C. Aaberg",M,1877,1970
"Bergquist_JV","John Victor Bergquist, 1877 - 1935",M,1877,1935
"Roberts_KE1","Katharine Emily Roberts, 1877-1962",F,1877,1962
"McCutchan_RG","Robert G. McCutchan",M,1877,1958
"Clark_TC","Thomas Curtis Clark, 1877-1954",M,1877,1953
"Greatorex_W","Walter Greatorex",M,1877,1949
"Foulkes_WH","William H. Foulkes",M,1877,1961
"Allen_AR2","Alfred Reginald Allen",M,1876,1918
"Teasley_DO","D. Otis Teasley, 1876-1942",M,1876,1942
"Tillotson_ES","Edith Sanford Tillotson",F,1876,1968
"Chute_EE","Ernest E. Chute",M,1876,1922
"Blanchard_FQ","Ferdinand Q. Blanchard",M,1876,1968
"Robbins_HC","Howard Chandler Robbins",M,1876,1952
"Milligan_JL","James Lewis Milligan, 1876-1961",M,1876,1961
"Mattes_JC","John C. Mattes, 1876-1948",M,1876,1948
"Thacker_MD","May Dixon Thacker",F,1876,1976
"Allphin_NW3","Newton W. Allphin",M,1876,1972
"Strodach_PZ3","Paul Zeller Strodach",M,1876,1947
"Winsett_RE","Robert E. Winsett",M,1876,1952
"MilnerBarry_AM1","A.M. Milner-Barry",F,1875,1940
"Schweitzer_A","Albert Schweitzer, 20th-century ",M,1875,1965
"Talbot_GS","George S. Talbot, 1875-1918",M,1875,1918
"Briggs_GW","George W. Briggs",M,1875,1959
"Dickinson_HA","Helen A. Dickinson",F,1875,1957
"Carter_HC","Henry Child Carter",M,1875,1954
"Moment_JJ","John J. Moment",M,1875,1959
"Shaw_MF","Martin Shaw",M,1875,1958
"Hoyle_RB1","R. Birch Hoyle",M,1875,1939
"Nicholson_SH","Sydney H. Nicholson, 1875-1947",M,1875,1947
"Mendoza_V","Vincente Mendoza",M,1875,1955
"Poole_WC","W.C. Poole",M,1875,1949
"Vale_WS","Walter S. Vale",M,1875,1939
"Duarte_BR","Benjamin Rufino Duarte",M,1874,1942
"Laufer_CW","Calvin W. Laufer ",M,1874,1938
"Ives_CE","Charles E. Ives",M,1874,1954
"Kitson_CH","Charles Herbert Kitson",M,1874,1944
"Naylor_CW","Charles W. Naylor, 1874-1950",M,1874,1950
"Evans_D","David Evans",M,1874,1948
"Arthur_E1","Edward Arthur, 1874-",M,1874,1993
"bairstow_ec","Edward C. Bairstow",M,1874,1946
"Stoney_FEA1","F. E. A. Stoney",M,1874,1918
"Chesterton_G","Gilbert Keith Chesterton",M,1874,1936
"Holst_GT","Gustav Holst, 1874-1934",M,1874,1934
"Sewell_H","Hamp Sewell",M,1874,1937
"Mayer_H","Harry Mayer",M,1874,
"Grace_H","Harvey Grace (1874-1944)",,1874,1944
"robertson_hs","Hugh S. Robertson (1874-1952)",M,1874,1952
"Sankey_IA","Ira A. Sankey",M,1874,1915
"Ulmer_K","Kate Ulmer",F,1874,1950
"Newbolt_MR","Michael R. Newbolt",M,1874,1956
"Gatty_N","Nicholas Gatty",M,1874,1946
"Chambers_OJ","Oswald Chambers",M,1874,1917
"Wiate_RA","R. A. Waite",M,1874,1974
"Roberts_R1","Richard Roberts",M,1874,1945
"Harris_T","Thoro Harris",M,1874,1955
"Rees_T","Timothy Rees",M,1874,1939
"Ferguson_WH","W. H. Ferguson",M,1874,1950
"Bialik_HN","Chaim Nachman Bialik",M,1873,1934
"Dickinson_C","Clarence Dickinson",M,1873,1969
"Thornton_DM1","Douglas M. Thornton",M,1873,1907
"Yale_ED","Elsie D. Yale",F,1873,1956
"Gillett_G","Gabriel Gillett",M,1873,1948
"Bennard_G","George Bennard",M,1873,1958
"Smyth_HG","Harper G. Smyth",M,1873,1945
"Johnson_JR","J. Rosamond Johnson",M,1873,1954
"Page_KS","Kate Stearns Page",F,1873,1963
"Leech_L","Lida Shivers Leech",F,1873,1962
"Smith_MS","M. Saumarez Smith, 1873 - 1931",U,1873,1931
"Hughes_J","Parch. John Hughes",M,1873,1932
"Humphrey_R1","R. Humphrey, 1873-",U,1873,1973
"Knapp_S","Shepherd Knapp",M,1873,1946
"Czamanske_WM","W. M. Czamanske , 1873-1964",M,1873,1964
"Ruebush_WH3","Will H. Ruebush",M,1873,1956
"Ackley_BD","B. D. Ackley",M,1872,1958
"Solberg_CK","C. K. Solberg",M,1872,1954
"Alington_CA","Cyril A. Alington",M,1872,1955
"Fluiter_Hd","H. D.",M,1872,1970
"Ogdon_ID","Ina D. Ogdon",F,1872,1964
"Meredith_IH","Isaac H. Meredith, 1872-",M,1872,1962
"Brunk_JD","J. D. Brunk",M,1872,1926
"Crum_JMC","J. M. C. Crum",M,1872,1958
"Middleton_JE","Jesse Edgar Middleton",M,1872,1960
"Widtsoe_JA1","John A. Widtsoe",M,1872,1952
"Arkwright_JS2","John S. Arkwright",M,1872,1972
"Perosi_L","Lorenzo Perosi",M,1872,1956
"Oglevee_Louise","Louise M. Oglevee",F,1872,1972
"Trevelyan_RC1","R. C. Trevelyan",M,1872,1951
"Williams_RV","Ralph Vaughan Williams",M,1872,1958
"Coffman_SF","Samuel F. Coffman",M,1872,1954
"Thayer_W1","Wildie Thayer",U,1872,1912
"Piggott_WC","William Charter Piggott",M,1872,1943
"Wieand_AC1","Albert Cassel Wieand",M,1871,1954
"Cleator_AJ1","Alice Jean Cleator",F,1871,1926
"Nyberg_BM","Berndt Mikael Nyberg, 1871 - 1940",M,1871,1940
"Cayce_CH","C. H. Cayce, 19th-20th cent.",M,1871,1945
"Weigle_CF","Charles F. Weigle",M,1871,1966
"Updegraff_EG","E. Grace Updegraff",F,1871,1964
"Huston_FC","F. C. H. ",M,1871,1959
"Christiansen_FM","F. Melius Christiansen, 1871-1955 ",M,1871,1955
"Nitzschke_FR","F. R. Nitzschke, 1871-1944",U,1871,1944
"Miwa_G3","Genzo Miwa",,1871,1946
"Kerr_HT","Hugh Thomson Kerr",M,1871,1950
"Vennard_ID1","Iva Durham Vennard",F,1871,1971
"Wideen_I","Ivar Widéen",M,1871,1951
"Rimbach_JA","J. A. Rimbach, 1871-1941",M,1871,1941
"Sturgis_JE1","J. E. Sturgis",M,1871,1948
"Torbett_JW1","J. Walter Torbett",M,1871,1971
"Johnson_JW","James Weldon Johnson",M,1871,1938
"Taylor_JP","John P. Taylor, 1871-1936",M,1871,1936
"Work_JW","John W. Work II, 1872-1925",M,1871,1925
"Nagasaka_K","Kanjirō Nagasaka",U,1871,1952
"Camp_MJ","Mabel Johnston Camp",F,1871,1937
"Buck_PC","Percy C. Buck",M,1871,1947
"Lloyd_RF1","Richard Francis Lloyd",M,1871,1971
"Nishimura_S","Sugao Nishimura",U,1871,
"Teixeira_TR","Theodoro Rodrigues Teixeira, 1871-1950",M,1871,1950
"Ross_WB","W. Baird Ross, 1871-1950",M,1871,1950
"Berriman_WTG1","W. T. G. Berriman",M,1871,1958
"Curry_AL","A. L. Curry",M,1870,1949
"Vernon_AW1","Ambrose W. Vernon",M,1870,1951
"Brooks_A1","Arnold Brooks",M,1870,1933
"Jutson_C","C.B. Jutson, 1870 - 1930",U,1870,1930
"Fellowes_EH","Edmund Horace Fellowes (1870-1951)",M,1870,1951
"Lindsey_EW","Emiline Willis Lindsey",F,1870,1954
"Olson_EW","Ernest W. Olson",M,1870,1958
"Fletcher_F1","Frank Fletcher, 1870-",M,1870,
"Byrum_IC","Isabel C. Byrum",F,1870,1938
"Stevenson_L1","Isabella Stevenson",F,1870,1960
"Stocking_JT","Jay T. Stocking",M,1870,1936
"Gueiros_J","Jerônimo Gueiros, 1870-1953",M,1870,1953
"Moody_MW","May Whittle Moody",F,1870,1963
"Trotter_M1","Melvin Trotter",U,1870,1940
"Macnicol_N","Nicol MacNicol, 1870-",M,1870,1952
"Tracy_R1","Ruth Tracy",F,1870,1960
"Talley_TW1","Thomas W. Talley",M,1870,1952
"Ovens_WG1","W. G. Ovens, 1870-1945",M,1870,1945
"Runyan_WM","William M. Runyan",M,1870,1957
"Danforth_WH","Wm. H. Danforth",M,1870,1955
"Byers_AL","A. L. B.",M,1869,1952
"Dunstan_AL","Albert Lafayette Dunstan, 1869-1937",M,1869,1937
"Depew_A","Arthur Depew, 1869-1940",U,1869,1940
"Watson_CE","Charles E. Watson",M,1869,1942
"Goodrich_CG","Charles G. Goodrich",M,1869,
"Humphrey_HC","Chas. Humphrey",M,1869,1901
"Shanks_DM","Doc M. Shanks",M,1869,1973
"Sellers_EO","E. O. Sellars",M,1869,1952
"Dunkley_F","Ferdinand Dunkley",M,1869,1956
"Tullar_GC","Grant Colfax Tullar",M,1869,1950
"Hardy_HE","H. E. Hardy",M,1869,1946
"Hardy_HE1","Henry Ernest Hardy, 1869-1946",M,1869,1946
"Allen_HP","Hugh Percy Allen, 1869-1946",M,1869,1946
"Morgan_ij","Irvin J. Morgan",M,1869,1969
"Williams_TJ","Thomas John Williams",M,1869,1944
"Davies_HW","Walford Davies, 1869-1941",,1869,1941
"Payn_AA1","A. A. Payn",M,1868,1946
"Zich_AF","A. F. Zich, 1868-1939",,1868,1939
"Deter_AB","Arthur Beriah Deter, 1868-1945",M,1868,1945
"Miles_CA","C. Austin Miles",M,1868,1946
"Washburn_CC1","Charles C. Washburn",M,1868,1968
"Grimes_EM","E. May Grimes",F,1868,1927
"Thompson_EL","Ernest Lee Thompson",M,1868,1920
"Tweedy_HH","Henry Hallam Tweedy",M,1868,1953
"Sundquist_H1","Hjalmar Sundquist",M,1868,1949
"Torbett_JS1","J. S. Torbett",M,1868,1940
"Williamson_J","J. Williamson, 1868-1947",U,1868,1947
"Robb_JK","John K. Robb",M,1868,1968
"Clements_JR","John R. Clements, 1868-1946",M,1868,1946
"Ashton_JN","Joseph N. Ashton",M,1868,1946
"Grieve_N","Nichol Grieve",M,1868,1954
"Nawahine_Robert","Robert Nawahine, 1868-1951",M,1868,1951
"Hackleman_WEM","W. E. M. Hackleman",M,1868,1927
"Ellis_W","William Ellis, 1868-1947",M,1868,1947
"Jenkins_WV","William Vaughan Jenkins, 1868-1920",M,1868,1920
"Meyer_AM","A. M. Meyer, 1867-1941",F,1867,1941
"Tozer_AW","A. W. Tozer",M,1867,1963
"Riley_ACD","Alice C. D. Riley",F,1867,1955
"Carmichael_AW","Amy W. Carmichael",F,1867,1951
"Warren_BE","Barney E. Warren, 1867-1951",M,1867,1951
"Douglas_CW1","C. Winfred Douglas, 1867-1944",M,1867,1944
"Doving_C1","Carl Döving",M,1867,1937
"Douglas_CW","Charles Winfred Douglas, 1867-1944",M,1867,1944
"Aycock_D","Dell Aycock",F,1867,1967
"Naylor_EW","Edward Woodall Naylor, 1867-1934",M,1867,1934
"Blom_FA","Frederick A. Blom",M,1867,1926
"Russell_FG","Frederick George Russell",U,1867,1929
"Fearis_J","J. S. Fearis",M,1867,1932
"Walsh_JA1","James Anthony Walsh",M,1867,1936
"lomax_ja","John A. Lomax",M,1867,1948
"Masterman_JHB2","John H. B. Masterman",M,1867,1933
"Thierstein_JR1","John R. Thierstein",M,1867,1941
"Watt_LM","Lauchlan McLean Watt, 1853-1931",U,1867,1957
"Dearmer_P","Percy Dearmer,  1867-1936",M,1867,1936
"Thomas_R","Rhys Thomas",M,1867,1932
"Wightman_Richard","Richard Wightman",M,1867,1967
"Quaile_RN","Robert N. Quaile, 1867-",M,1867,1967
"Ginsburg_SL","Salomão Luiz Ginsburg, 1867-1927",M,1867,1927
"Noble_TT","T. Tertius Noble",M,1867,1953
"Merrill_WP","William Pierson Merrill",M,1867,1954
"Veatch_AA1","A. A. Veatch",M,1866,1951
"Brauer_AER","A. E. R. Brauer, 1866-1949",M,1866,1949
"Flint_AJ","Annie Johnson Flint",F,1866,1932
"Campos_AFd","Antônio Ferreira de Campos, 1866-1950",M,1866,1950
"Mason_CH","Charles H. Mason",M,1866,1961
"Wood_C","Charles Wood, 1866-1926",M,1866,1926
"Martin_CD","Civilla D. Martin",F,1866,1948
"Wendell_CA1","Claus A. Wendell",M,1866,1950
"McAfee_CB","Cleland Boyd McAfee",M,1866,1944
"Vandersloot_FW1","F. W. Vandersloot",M,1866,1931
"Challinor_FA","Frederick A. Challinor",M,1866,
"Gillman_FJ","Frederick J. Gillman, 1866-1949",M,1866,1949
"Jackson_G1","George Jackson",M,1866,1893
"Burleigh_HT","Harry T. Burleigh",M,1866,1949
"Leyda_IF2","Ida F. Leyda",F,1866,1943
"Hall_JL","J. H.",M,1866,1930
"Jones_JE1","James Edmund Jones",M,1866,1939
"Aycock_JE1","Jarrette E. Aycock",M,1866,1966
"Kvamme_K","Kristen Kvamme, 1866-1938",F,1866,1938
"Urseth_HA1","M. A. Urseth",M,1866,1909
"Davis_O","Ozora Stearns Davis",M,1866,1931
"Webster_GO","Rev. Geo. O. Webster",M,1866,1942
"Chisholm_TO","Thomas O. Chisholm",M,1866,1960
"Stoddart_B1","Barbara Stoddart",F,1865,1915
"Jones_CP","C. P. J.",M,1865,1949
"Nielsen_C","Carl Nielsen, 1865-1931",M,1865,1931
"Ritchie_DL1","David Lakie Ritchie",M,1865,1951
"Lemare_EH","E. H. Lemare, Sen.",M,1865,1934
"Booth_EC","Evangeline C. Booth",F,1865,1950
"Martin_GC5","George Currie Martin, 1865-1937",M,1865,1937
"Reed_IL","Ida L. Reed",F,1865,1951
"Rowe_J","James Rowe",M,1865,1933
"Perry_J3","Jean Perry, 1865-1935",F,1865,1935
"Sibelius_J","Jean Sibelius",M,1865,1957
"Benson_JTM","John T. Benson",F,1865,1932
"Lerman_JW","Joseph W. Lerman, 1865-1935",U,1865,1935
"Housman_L","Laurence Housman",M,1865,1959
"Jones_LE","Lewis E. Jones",M,1865,1936
"Smith_ILR","Mrs. Ida Reed Smith",F,1865,1951
"Harris_MJ","Mrs. M. J. H.",F,1865,1919
"Bilhorn_PP","P. Bilhorn",M,1865,1936
"Pope_RM","R. Martin Pope",M,1865,1944
"Terry_RR","Richard R. Terry",M,1865,1938
"Roberts_RR","Robert R. Roberts",M,1865,1945
"Kipling_R","Rudyard Kipling",M,1865,1936
"Palmer_WSC1","W. St. Clair Palmer",U,1865,
"Whinfield_WG","Walter G. Whinfield, 1865-1919",M,1865,1919
"Gibbs_AR","Ada R. Gibbs",F,1864,1905
"Terry_CS","Charles Sanford Terry, 1864-1936",M,1864,1936
"Di_Capua_e","E. di Capua",M,1864,1917
"Swarthout_E1","Elvin Swarthout",M,1864,1935
"Bullard_FF","Frederic F. Bullard, 1864-1904",M,1864,1904
"Willett_Herbert","H. L. Willett",M,1864,1944
"Lemmel_HH","Helen H. Lemmel",F,1864,1961
"Mason_HL","Henry L. Mason",M,1864,1957
"Stevens_JS1","J. S. Stevens",M,1864,1940
"Buckham_J","John W. Buckham, 1864-1945",M,1864,1945
"Ludgate_JC","Joseph C. Ludgate",M,1864,1947
"Whiting_MB","Mary B. Whiting",F,1864,
"Yuya_S","Saichirō Yuya",U,1864,1941
"Peterson_VO","V. O. Peterson, 1864-1929",M,1864,1929
"Petersen_VO","Victor O. Petersen, 1864-1929",M,1864,1929
"Martin_WC","William C. Martin",M,1864,1914
"Stone_W3","William Stone",M,1864,1964
"Somervell_A","Arthur Somervell",M,1863,1937
"Halter_A","Aug. Halter",M,1863,
"Nelson_A","Augustus Nelson, 1863-1949",M,1863,1949
"Boutflower_CH","Cecil Henry Boutflower",M,1863,1942
"Ristad_DG","D. G. Ristad, 1863-1938",M,1863,1938
"Sweeting_ET","Edward Thomas Sweeting, 1863-1930",M,1863,1930
"Reuter_FO","F. O. Reuter, 1863-1924",M,1863,1924
"Silva_FCBd","Francisco Caetano Borges da Silva, 1863-?",U,1863,1963
"Bradby_Godfrey","Godfrey Fox Bradby",M,1863,1947
"Smith_HE","H. E. S.",M,1863,1918
"Parker_HW","Horatio Parker",M,1863,1919
"Marks_JC","J. Christopher Marks",M,1863,1963
"Adams_J4","Jessie Adams",U,1863,1954
"MacMillan_M","Margaret MacMillan, 1863 - 1903",F,1863,1903
"Bridges_MM","Mary Monica Waterhouse Bridges, 1863-1949",F,1863,1949
"Whitaker_R1","Robert Whitaker",M,1863,1944
"Neidlinger_WH","William Harold Neidlinger",M,1863,1924
"Pollard_AA","Adelaide A. Pollard",F,1862,1934
"Alston_AE","Alfred E. Alston",M,1862,1927
"White_A","Alma White",F,1862,1962
"Wells_AR3","Amos R. Wells",M,1862,1933
"Russell_AB","Anna B. Russell",F,1862,1954
"Benson_AC1","Arthur Christopher Benson, 1862 - 1925",M,1862,1925
"Storm_AL","August L. Storm",M,1862,1914
"Kroeger_ER","Ernest R. Kroeger, 1862-1934",M,1862,1934
"Shurtleff_EW","Ernest W. Shurtleff",M,1862,1917
"Herbert_G1","George Herbert",U,1862,1962
"Polack_HA","H. A. Polack, 1862-1930",M,1862,1930
"Nichol_HE","H. Ernest Nichol",M,1862,1928
"Martin_IG","Isaiah G Martin",M,1862,1957
"Vaughan_JB","J. B. Vaughan",M,1862,1918
"VanPelt_JR1","John R. Van Pelt, PhD",M,1862,1962
"Taylor_KSC","Katherine Stevens Crawford Taylor, 1862-1894",F,1862,1894
"Morris_LN4","L. N. M.",F,1862,1929
"Morris_LN","Lelia N. Morris",F,1862,1929
"Bell_MF","Maurice F. Bell, 1862-1947",M,1862,1947
"Tilak_N","Narayan Vaman Tilak, 1862-1919",M,1862,1919
"Henry_HT2","Rev. H. T. Henry, Litt. D.",M,1862,1946
"Swift_S1","Susie Swift",F,1862,1916
"Martin_WS","W. S. M.",M,1862,1935
"Hall_WH","Walter Henry Hall",M,1862,1935
"Olmstead_WB","William B. Olmstead",M,1862,1941
"Vogt_AS1","A.S. Vogt, 1861-1926",M,1861,1926
"Greenaway_A","Ada R. Greenaway, 1861-1937",F,1861,1937
"Habershon_AR","Ada R. Habershon",F,1861,1918
"Barton_WE","Barton, William Eleazar, 1861-1930.",M,1861,1930
"Blackwell_GL","Bishop G. L. Blackwell, D.D.",M,1861,1961
"Tillman_CD","C. D. T.",M,1861,1943
"Rounsefell_C","Carrie E. Rousenfell, 1861-1930",F,1861,1930
"Orr_CE","Charles E. Orr",M,1861,
"Nusbaum_CS","Cyrus S. Nusbaum, 1861-1937",M,1861,1937
"Byrum_EE","E. E. B.",M,1861,
"Detterer_FW","F. W. Detterer, 1861-93",M,1861,1893
"Scott_FG1","Frederick G. Scott",M,1861,1944
"Button_HE1","Henry Elliot Button, 1861 - 1925",M,1861,1961
"Dann_HE1","Hollis Dann",U,1861,
"Adderley_JG","J. G. Adderley",M,1861,1942
"Wallis_JH1","James H. Wallis",M,1861,1940
"Pounds_JB","Jessie B. Pounds",F,1861,1921
"Rocha_JGd","João Gomes da Rocha",M,1861,1947
"Hultman_JA","John A. Hultman",M,1861,1942
"Hopkins_JohnHenry","John Henry Hopkins",M,1861,1945
"Benson_JT","John T. Benson",M,1861,1930
"Groos_K","Karl Groos",M,1861,1946
"Harrington_KP","Karl P. Harrington",M,1861,1953
"Belsheim_OG","O. G. Belsheim, 1861-1925",M,1861,1925
"Woodman_RH2","R. Huntington Woodman",M,1861,1943
"Stults_RM1","R. M. Stults",M,1861,1923
"Tagore_R1","R. Tagore",M,1861,1941
"Briant_Rowland","Rowland Briant, b.1861",M,1861,1961
"Alcock_WG","Walter G. Alcock",M,1861,1947
"Cringan_AT","Alexander Thom Cringan, b. 1860",M,1860,
"Ramsey_A","Alfred Ramsey",M,1860,1926
"Fillmore_CM","C. M. F.",M,1860,1952
