"A mansion is waiting in glory","A Mansion in Glory","Oh, home above",,"Daniel S. Warner",9.8.9.8.4.7.4.8,a_mansion_is_waiting_in_glory,"Timeless Truths (http://library.timelesstruths.org/music/A_Mansion_in_Glory); Faith Publishing House, <i>Evening Light Songs</i>, 1949, edited 1987 (371); The Gospel Trumpet Company, <i>Select Hymns</i>, 1911 (539)"
"A many a night, with sleepless hours  I laid upon",,,,,,a_many_a_night_with_sleepless_hours_i_la,
"A marvelous gospel, and one you need","Jesus is watching you","O Jesus is watching you",,"Rev. W. G. Cooper",,a_marvelous_gospel_and_one_you_need,
"A marvelous salvation is provided","A marvelous Savior","Marvelous, marvelous is His matchless love",,"A. Byron Condo",,a_marvelous_salvation_is_provided,
"A media noche resono",,,,"Edmund H. Sears",,a_media_noche_resono,
"A meek and patient Lamb goes forth",,,,"Paul Gerhardt",,a_meek_and_patient_lamb_goes_forth,
"A meek and quiet spirit, Lord",,,,,,a_meek_and_quiet_spirit_lord,
"A meek, humble spirit's",,,,,,a_meek_humble_spirits,
"A meek inquiring mind",,,,,,a_meek_inquiring_mind,
"A melody is now within my heart",,"His love makes glad my heart",,"A. Byron Condo",,a_melody_is_now_within_my_heart,
"A melody is ringing",,,,"R. E. Lesser",,a_melody_is_ringing,
"A melody sweet hope's echoes",,"The song of victory",,"B. B. Edmiaston",,a_melody_sweet_hopes_echoes,
"A melysegbol kialt szivem",,,,,,a_melysegbol_kialt_szivem,
"A memory of vanished dreams",,,,"John Weiss",,a_memory_of_vanished_dreams,
"A mensagem do Senhor - Aleluia!","Oh, Olhai, Pois, e Vivei!","Oh, olhai, pois, e vivei!","English; Portuguese","William Augustine Ogden; Salomão Luiz Ginsburg","11.8.11.9 with refrain",a_mensagem_do_senhor_aleluia,
"A merciful Savior is Jesus my Lord","A wonderful, lovable Savior",,,"Harriet E. Jones",,a_merciful_savior_is_jesus_my_lord,
"A mercy seat unto us is given",,"O, blessed place near the heart of Jesus",,,,a_mercy_seat_unto_us_is_given,
"A merry little robin in a greenwood","Sing away","O happy as the birds are we",,"Fanny J. Crosby",,a_merry_little_robin_in_a_greenwood,
"A merry, merry welcome",,,,"Franklin E. Belden",,a_merry_merry_welcome,
"A message came to a maiden young",,,,"Percy Dearmer",,a_message_came_to_a_maiden_young,
"A message came to a maiden young; The angel","A message came to a maiden young",,,"Percy Dearmer",,a_message_came_to_a_maiden_young_the_ang,
"A message divine across the universe","Moving up the road","I'm moving up the road",,"John M. Henson",,a_message_divine_across_the_universe,
"A message down the ages rings","Be still, and know that I am God","Be still, it is God's voice",,"Johnson Oatman",,a_message_down_the_ages_rings,
"A message from the Sacred Heart",,,,"Matthew Russell",,a_message_from_the_sacred_heart,
"A message full of love has come","A message from home","O heart of mine, they think of thee at home",,"Thomas Sullivan",,a_message_full_of_love_has_come,
"A message God has given that tells",,"Be strong",,"A. A. Payn",,a_message_god_has_given_that_tells,
"A message has come, Glad tidings from home",,"My Father is King of kings",,"James Rowe",,a_message_has_come_glad_tidings_from_hom,
"A message is ringing so sweet",,"Whispers of love",,"Martha Burleson",,a_message_is_ringing_so_sweet,
"A message of love from heaven","Came into my heart to stay",,,"B. B. Edmiaston",,a_message_of_love_from_heaven,
"A message of love from heaven above","Came into my heart to stay",,,"B. B. Edmiaston",,a_message_of_love_from_heaven_above,
"A message of mercy, a message of love",,,,"Fanny J. Crosby",,a_message_of_mercy_a_message_of_love,
"A message of mercy is",,"Room, room for the King",,"J. Wallace",,a_message_of_mercy_is,
"A message of pardon for you",,,,"Kittie Deason",,a_message_of_pardon_for_you,
"A message of peace from Christ on His throne",,"Peace, peace, the message of peace",,"Donald S. Lundin",,a_message_of_peace_from_christ_on_his_th,
"A message of the breezes","Summer winds, blow","Blow, blow, blow, summer",,"Eliza E. Hewitt",,a_message_of_the_breezes,
"A message so true I am bringing to you","A message of love","O, sinner, believe the news",,"J. G. Haynes",,a_message_so_true_i_am_bringing_to_you,
"A message sweet is borne to me","By grace alone","O glorious song, that all day long",,"Ida Scott Taylor",,a_message_sweet_is_borne_to_me,
"A message sweet the breezes bring",,,,"Florence Switton",,a_message_sweet_the_breezes_bring,
"A message swet to you I bring","Give heed, O soul","He offers you",,"Henry A. Moon",,a_message_swet_to_you_i_bring,
"A message true we all may hear",,,,"Cornelia Shipman",,a_message_true_we_all_may_hear,
"A messenger is calling",,,,"Rudolf Otto Wiemer",,a_messenger_is_calling,
"A messenger named Gabriel",,,,,,a_messenger_named_gabriel,
"A messenger of gladness",,,,,,a_messenger_of_gladness,
"A messenger of peace",,,,"Nicolaus Ludwig, Graf von Zinzendorf",,a_messenger_of_peace,
"A messenger within the grace",,,,"Thomas A. Lacey",,a_messenger_within_the_grace,
"A messenger within the grave",,,,,8.8.8.8,a_messenger_within_the_grave,
"A mi, tan pequenuelo, Me mira el Santo Dios",,,,,,a_mi_tan_pequenuelo_me_mira_el_santo_dio,
"A mighier army's marching on","The modern Jericho","Blow, blow, blow",,"J. C. Boardman",,a_mighier_armys_marching_on,
"A might wind sweeps through the ages",,,,"Erich Stange",,a_might_wind_sweeps_through_the_ages,
"A mighty cloud of witnesses",,"Looking to Jesus as onward we go",,,,a_mighty_cloud_of_witnesses,
"A mighty fortress is our God","A Mighty Fortress Is Our God",,English,"Martin Luther; Frederick Henry Hedge",8.7.8.7.6.6.6.6.7,a_mighty_fortress_is_our_god,
"A mighty fortress is our God","A Mighty Fortress Is Our God",,English,"Omer Westendorf; Martin Luther; Frederick Henry Hedge",8.7.8.7.6.6.6.6.7,a_mighty_fortress_is_our_god_westendorf,
"A mighty Fortress is our God",,,,"Martin Luther",,a_mighty_fortress_is_our_god_a_trusty_sh,"Tr. Composite, 1866"
"A mighty fortress is our Lord, A sure defense",,,,"Martin Luther",,a_mighty_fortress_is_our_lord_a_sure_def,
"A mighty host from coast to coast",,"The blazing cross upraised",,"Jessie Brown Pounds",,a_mighty_host_from_coast_to_coast,
"A mighty hymn of victory was sung",,,,"James Callaway Midyett",,a_mighty_hymn_of_victory_was_sung,
"A mighty hymn of victory was sung outside","Hymn of victory",,,"James Callaway Midyett",,a_mighty_hymn_of_victory_was_sung_outsid,
"A mighty power to us is given",,,,"Ada R. Habershon",,a_mighty_power_to_us_is_given,
"A mighty Redeemer is Jesus our Lord","He came to save me",,,"Bert B. Bosworth",,a_mighty_redeemer_is_jesus_our_lord,
"A mighty sound from heaven",,,English,"George B. Timms, b. 1910",7.6.7.6.8.8.7.8.7,a_mighty_sound_from_heaven,
"A mighty stronghold is our God",,,,"Martin Luther",,a_mighty_stronghold_is_our_god,
"A mighty throng with battle song","The soldiers of the Cross",,,,,a_mighty_throng_with_battle_song,
"A mighty work is to be done",,"There is a glorious work to do",,"Georgie l. Heath",,a_mighty_work_is_to_be_done,
"A milepost in life we are passing each day",,,,"S. P. Creasinger",,a_milepost_in_life_we_are_passing_each_d,
"A milk-white hind, immortal and unchanged",,,,Dryden,,a_milkwhite_hind_immortal_and_unchanged,
"A million little diamonds",,,,,,a_million_little_diamonds,
"A million souls for Jesus",,,,"Robert Harkness",,a_million_souls_for_jesus,
"A mind at perfect peace with God",,,,"Horatius Bonar",,a_mind_at_perfect_peace_with_god,
"A mingled sound from Calvary I hear",,,,"Emma Pitt",,a_mingled_sound_from_calvary_i_hear,
"A minute, how soon it has flown",,,,,,a_minute_how_soon_it_has_flown,
"A miracle of saving grace",,"They're all blotted out",,"Mrs. C. H. Morris",,a_miracle_of_saving_grace,
"A mit te szolsz, megall az Istenem",,,,,,a_mit_te_szolsz_megall_az_istenem,
"A mixture of joy and trouble",,,,,,a_mixture_of_joy_and_trouble,
"A mocking bird was singing",,"He didn't know how deep the feeling",,"J. B. Coats",,a_mocking_bird_was_singing,
"A mocking bird was singing as we stood beside",,"He didn't know how deep the feeling",,"J. B. Coats",,a_mocking_bird_was_singing_as_we_stood_b,
"[A Modern Affirmation]","A Modern Affirmation",,English,,,a_modern_affirmation,
"A moment alone with Jesus","A moment with Jesus","He gives me sweet peace and comfort",,"Vallye Armstrong",,a_moment_alone_with_jesus,
"A moment I pray, to tell you today","He's wonderful",,,"W. Elmo Mercer",,a_moment_i_pray_to_tell_you_today,
"A moment in the morning take your Bible",,,,,,a_moment_in_the_morning_take_your_bible,
"A moment more, and I may be caught up in glory","In a moment",,,"A. C. Gaebelein",,a_moment_more_and_i_may_be_caught_up_in_,
"À mon Dieu, je me confie","À mon Dieu, je me confie",,French,"Suzanne Bidgrain",8.8.7.7,a_mon_dieu_je_me_confie,
"A moral man came to the Savior of men",,"Ye must be born again",,"Baylus Benjamin McKinney",,a_moral_man_came_to_the_savior_of_men,
"A morn of guilt, an hour of doom",,,,,,a_morn_of_guilt_an_hour_of_doom,
"A morning concert, grand",,,,,,a_morning_concert_grand,
"A morning glory bud, entangled fast","Unto the perfect day",,,"W. B. Allen",,a_morning_glory_bud_entangled_fast,
"A morning song to Thee we raise",,,,,,a_morning_song_to_thee_we_raise,
"A morning thought to guide my steps",,,,"Vep B. Ellis",,a_morning_thought_to_guide_my_steps,
"A morning without clouds",,,,"Sam Gullberg",,a_morning_without_clouds,
"A most beautiful star burst","Beautiful star","Like a radiant gem",,"D. S. Anderson",,a_most_beautiful_star_burst,
"A mother bird is singing sweet","Be good as you can be","Be good, be good",,"Lizzie DeArmond",,a_mother_bird_is_singing_sweet,
"A mother came when stars were paling",,,,,,a_mother_came_when_stars_were_paling,
"A mother dear is weeping","Somewhere tonight","O wandering one",,"Robert M. Offord",,a_mother_dear_is_weeping,
"A mother in Isr'l",,,,,,a_mother_in_isrl,
"A mother is lonely tonight",,"O ye, who are men with the power",,"P. Douglas Bird",,a_mother_is_lonely_tonight,
"A mother lined a basket","A Mother Lined a Basket",,English,"Mary Nelson Keithahn","7.6.7.6 D",a_mother_lined_a_basket,"Time Now to Gather"
"A mother may forgetful be",,,,"Anne Steele",,a_mother_may_forgetful_be,
"A mother old and gray","When the boys come home","I want to join the shouting",,"J. B. Coats",,a_mother_old_and_gray,
"A mother sits at home today",,"Will my children all come home",,"E. M. Bartlett",,a_mother_sits_at_home_today,
"A mother's labor bears her child",,,,,,a_mothers_labor_bears_her_child,
"A mother's love is not surpassed",,"That mother, sweet mother, that mother so dear",,"John A. McClung",,a_mothers_love_is_not_surpassed,
"A mother's prayer has oft been heard",,"O will you come",,"William L. Wray",,a_mothers_prayer_has_oft_been_heard,
"A mother's voice is calling",,"Where is my child today",,"F. G. Burroughs",,a_mothers_voice_is_calling,
"A mother's yearning heart of tenderness",,,,,,a_mothers_yearning_heart_of_tenderness,
"A Mountain Fastness is our God",,,English,"Martin Luther",Irregular,a_mountain_fastness_is_our_god,
"A mourning class, a vacant seat",,,,,,a_mourning_class_a_vacant_seat,
"A movement new is sweeping","A stainless banner","We'll have a stainless",,"William Edie Marks",,a_movement_new_is_sweeping,
"A multitude comes from the east and the west","A Multitude Comes from the East and the West",,English,"Magnus Brostrup Landstad, 1802-80; Peter O. Strömme, 1856-1921",11.9.11.9.9,there_many_shall_come_from_the_east_and_,
"A multitude drew near the Lord","A child's offering","See what a childish offering did",,"A. Sanford",,a_multitude_drew_near_the_lord,
"A multitude of angels throng","He comes, the Lord of glory","Sing out rejoicing, ye sons of men",,,,a_multitude_of_angels_throng,
"A mute companion at my side",,,,"Thomas W. Higginson",,a_mute_companion_at_my_side,
"A myriad host in the summer-land",,,,"L. Waisbrooker",,a_myriad_host_in_the_summerland,
"A mystery doth the gospel show",,,,,,a_mystery_doth_the_gospel_show,
"A na zemi budiz lidem",,,,,,a_na_zemi_budiz_lidem,
"A nagy Isten tegedet Mindig meghallgasson",,,,,,a_nagy_isten_tegedet_mindig_meghallgasso,
"A nagy kiraly jon: Hozsanna",,,,,,a_nagy_kiraly_jon_hozsanna,
"A nagy kiraly jon: Hozsanna! Zeng e kialtas elotte",,,,,,a_nagy_kiraly_jon_hozsanna_zeng_e_kialta,
"A nagy munkat bevegezte",,,,,,a_nagy_munkat_bevegezte,
"A name above all names","There is no other name","O wonder working name",,"Harry Dixon Loes",,a_name_above_all_names,
"A name above all names, by angel hosts adored","There is no other name",,,"Harry Dixon Loes",,a_name_above_all_names_by_angel_hosts_ad,
"A nameless man, amid a crowd",,,,"Charles Mackay",,a_nameless_man_amid_a_crowd,
"A nap immar elenyeszett",,,,,,a_nap_immar_elenyeszett,
"A nap immar elenyeszett, Az eg besotetedik",,,,,,a_nap_immar_elenyeszett_az_eg_besotetedi,
"A nation God delights to bless",,,,,,a_nation_god_delights_to_bless,
"A nation newly born",,,,"Joseph Smith",,a_nation_newly_born,
"A nave it had, and a chancel",,,,,,a_nave_it_had_and_a_chancel,
"A-near the oxen, grave and mild",,"Sleep, little child, shining",,,,anear_the_oxen_grave_and_mild,
"A needy sinner at Thy feet",,"O come to my heart, Lord Jesus",,Strong,,a_needy_sinner_at_thy_feet,
"A neighbor you've been so kind and true",,"I hope you'll be my closest neighbor",,"Gerald Cox",,a_neighbor_youve_been_so_kind_and_true,
"A new and blessed era","The new era",,,"R. Tower",,a_new_and_blessed_era,
"A new and lustrous beauty",,,,"Mrs. M. Warner",,a_new_and_lustrous_beauty,
"A new command I give to you","Serving You","In a spirit of thankfulness",English,"Michel Guimont, b. 1950",,a_new_command_i_give_to_you_love,
"[A New Commandment]","A New Commandment",,English,"Gladys Teran De Prado",,a_new_commandment,"<i>Cantos de Alabanza y Adoracion / Songs of Praise and Worship</i> (Editorial Mundo Hispano, 1997)"
"A new commandment give I unto you",,"Love one another",,"John W. Peterson",,a_new_commandment_give_i_unto_you,
"A new commandment I do give",,,,,,a_new_commandment_i_do_give,
"A new commandment I give unto you","A New Commandment",,English,,,a_new_commandment_i_give_unto_you,
"A new created world","A New Created World",,,,,a_new_created_world,
"A new day dawns in beauty fair",,"Lord, keep my eyes",,"Reba Wright Lauer",,a_new_day_dawns_in_beauty_fair,
"A new heart, Lord, create in me",,,,,8.8.8.8,a_new_heart_lord_create_in_me,
"A new inspiration suffuses my soul",,,,,,a_new_inspiration_suffuses_my_soul,
"A new Jerusalem we seek",,,,"Timothy T. Lew",,a_new_jerusalem_we_seek,
"A new life now would you",,"Look unto me all ye ends",,"Arthur D. Kennedy",,a_new_life_now_would_you,
"A new made world appeared so gay",,,,,,a_new_made_world_appeared_so_gay,
"A new religion shakes the earth",,,,"Thomas Lake Harris",,a_new_religion_shakes_the_earth,
"A new shrine stands in beauty reared",,,,"Leonard Marshall",,a_new_shrine_stands_in_beauty_reared,
"A new song I to thee will sing",,,,,,a_new_song_i_to_thee_will_sing,
"A new song sing unto the Lord",,,,,,a_new_song_sing_unto_the_lord,
"A new song to our God proclaim, from age to age rejoice!","Psalm 33",,,,,a_new_song_to_our_god_proclaim_from_age_,
"A new year comes, 'tis at our door",,,,"Frederick Stansbery",,a_new_year_comes_tis_at_our_door,
"A newspaper reporter writes the news each day",,"I've got news",,"Lee Roy Abernathy",,a_newspaper_reporter_writes_the_news_eac,
"A night on the deep",,"It is I, be not afraid",,"Orlando S. Grinnell",,a_night_on_the_deep,
"A nightingale made","The nightingale's mistake",,,"L. M. Bateman",,a_nightingale_made,
"A noble deed, a noble thought",,,,,,a_noble_deed_a_noble_thought,
"A noble friend good autumn is",,,,,,a_noble_friend_good_autumn_is,
"A noble life, a simple faith An open heart and",,,,"A. S. Isaacs",,a_noble_life_a_simple_faith_an_open_hear,
"A nobler Spring revives",,,,,,a_nobler_spring_revives,
"A nosegay, who'll buy",,,,,,a_nosegay_wholl_buy,
"A notre Père qui aimait (To the blest Father who)",,,,,,a_notre_pere_qui_aimait,
"A nuestri Padre Dios Demos en alta voz",,,,,,a_nuestri_padre_dios_demos_en_alta_voz,
"A nuestro Padre Dios Alcemos nuestra voz",,,,"Estrella de Belen",,a_nuestro_padre_dios_alcemos_nuestra_voz,
"A numerous multitude of bones",,,,,,a_numerous_multitude_of_bones,
"A nyelv csoda alkotasa",,,,,,a_nyelv_csoda_alkotasa,
"A oes, genych chwi delynau",,"Yr Jesu, yr Jesu, unwm yn y cydgan",,"Gwilym ap Lleision",,a_oes_genych_chwi_delynau,
"A palace is the sinner's heart",,,,,,a_palace_is_the_sinners_heart,
"A pallid dawn is stealing",,,,"Flora L. Best Harris",,a_pallid_dawn_is_stealing,
"A palm parade is coming down the street","A Palm Parade",,,"John H. Tietjen, 1928-204",10.10.10.10.10,a_palm_parade_is_coming_down_the_street,
"A parade began at Calvary","This Could Be the Dawning of that Day","O this could be the dawning",,"Gloria Gaither; William J. Gaither",,a_parade_began_at_calvary,
"A pardon is waiting, dear soul","Pardon is waiting for thee","Accept the mercy of God today",,"Elisha A. Hoffman",,a_pardon_is_waiting_dear_soul,
"A parting hymn we sing","A Parting Hymn We Sing",,English,"Aaron R. Wolfe",6.6.8.6,a_parting_hymn_we_sing,
"[A Party For John]","A Party For John",,,"John C. Ylvisaker",,a_party_for_john,"<i>Borning Cry, vol.1</i> (New Generation Publishers, Inc., 2000)"
"A pathway opens from the tomb","Easter day",,,,,a_pathway_opens_from_the_tomb,
"A patre unigenitus, Through a maiden is come",,"Make we joy in this feast",,"Percy Dearmer",,a_patre_unigenitus_through_a_maiden_is_c,
"A peace deep and lasting",,"I owe it to Jesus",,"William C. Martin",,a_peace_deep_and_lasting,
"A peace Jesus gave me",,"Holy peace, holy joy",,"Elisha A. Hoffman",,a_peace_jesus_gave_me,
"A peace on earth he brings",,,,,,a_peace_on_earth_he_brings,
"A peace sweet and holy sweeps over my soul","When the hand of God reaches down",,,"Glenn E. Wagoner",,a_peace_sweet_and_holy_sweeps_over_my_so,
"A peace the world can never know",,"Blessed peace, perfect peace",,"Gustav A. Collin",,a_peace_the_world_can_never_know,
"A peal of thunder calls the brave","The watch on the Rhine",,,"Max Schneckenberger",,a_peal_of_thunder_calls_the_brave,
"A penny I have, 't is all my own",,,,,,a_penny_i_have_t_is_all_my_own,
"A penny is a little thing",,,,"James Montgomery",,a_penny_is_a_little_thing,
"A perfect day is coming by and by","When morning dawns","When morning dawns, farewell to every sorrow",,"Alfred H. Ackley",,a_perfect_day_is_coming_by_and_by,
"A Pharisee came to the Savior by night",,"Ye must be born again",,"William Thomas Dale",,a_pharisee_came_to_the_savior_by_night,
"A picture bright in tints of gold",,"O home, sweet home, in yon blest clime",,"Charles J. Butler",,a_picture_bright_in_tints_of_gold,
"A picture made of mother dear","Mother's helping hands",,,"J. Porter Wilhite",,a_picture_made_of_mother_dear,
"A picture memory brings",,,,"John Greenleaf Whittier",,a_picture_memory_brings,
"A pierced hand is knocking at thy door","Behold, I stand and knock",,,Burroughs,,a_pierced_hand_is_knocking_at_thy_door,
"A pilgrim and a stranger",,,,,,a_pilgrim_and_a_stranger,
"A pilgrim and a stranger here","Happy in the Lord","We'll cross the river of Jordan",,"William Hunter",,a_pilgrim_and_a_stranger_here,
"A pilgrim and a stranger, I journey here below",,,,"Paul Gerhardt",,a_pilgrim_and_a_stranger_i_journey_here,
"A pilgrim and a stranger, I journey on my way","The bright and morning star","That bright, bright star",,"Lily W. Grafton",,a_pilgrim_and_a_stranger_i_journey_on_my,
"A pilgrim band, a throng","Open the gates to the children","Swing wide, ye gates",,"George O. Webster",,a_pilgrim_band_a_throng,
"A pilgrim here I am",,,,,,a_pilgrim_here_i_am,
"A pilgrim here, I journey on",,"Will you meet me over there",,"W. O. Townsend",,a_pilgrim_here_i_journey_on,
"A pilgrim here I wander","A pilgrim here I wander",,"German; English","Catherine Winkworth; Gerhardt",,a_pilgrim_here_i_wander,
"A pilgrim I journey o'er life's rugged way","Heaven my home","Home, home, sweet, sweet home",,,,a_pilgrim_i_journey_oer_lifes_rugged_way,
"A pilgrim I to Canaan flee","A Glance.",,English,"Joseph Morris",8.8.6.8.8.6,a_pilgrim_i_to_canaan_flee,
"A pilgrim I'm walking life's pathway","The brighter the road appears","But the nearer I get to the end of my journey",,"Johnson Oatman",,a_pilgrim_im_walking_lifes_pathway,
"A pilgrim in a weary land","Glory land","He keeps me all the way",,"M. L. Piper",,a_pilgrim_in_a_weary_land,
"A pilgrim in life's dreary","The prodigal's return","Home, home, sweet, sweet home",,"Laura E. Newell",,a_pilgrim_in_lifes_dreary,
"A pilgrim in this desert world",,,,,,a_pilgrim_in_this_desert_world,
"A pilgrim of earth, a stranger am I","I'm on my way home",,,"Newton W. Allphin",,a_pilgrim_of_earth_a_stranger_am_i,
"A pilgrim on earthland",,"Never alone, never alone",,"Laura E. Newell",,a_pilgrim_on_earthland,
"A pilgrim on the upward way","Happy in his love","Happy, happy, happy, casting fear away",,"Thoro Harris",,a_pilgrim_on_the_upward_way,
"A pilgrim through this lonely world",,,,"Edward Denny",,a_pilgrim_through_this_lonely_world,
"A pilgrim through this sinful world",,,,"Sir Edward Denny",,a_pilgrim_through_this_sinful_world,
"A pilgrim through this weary world",,,,"Sir Edward Denny",,a_pilgrim_through_this_weary_world,
"A pilgrim to the Holy Land","The pilgrim song","I sing glad songs of joy and praise",,"A. K. Bond",,a_pilgrim_to_the_holy_land,
"A pilgrim traveling homeward",,"Brighter as the days go by",,"Julia H. Johnston",,a_pilgrim_traveling_homeward,
"A pilgrim was seen on the way",,,,,,a_pilgrim_was_seen_on_the_way,
"A pilgrim worn and weary",,"My King is coming back",,"Francis A. Blackmer",,a_pilgrim_worn_and_weary,
"A pilgrim's journey, long I take",,,,,,a_pilgrims_journey_long_i_take,
"A pillar of light is moving before us",,,,,,a_pillar_of_light_is_moving_before_us,
"A pious friend one day of Rabia asked","The sayings of Rabia",,,,,a_pious_friend_one_day_of_rabia_asked,
"A place in the house of the mansions of God","My inheritance","As now through the vale of the shadow I go",,"L. M. Bateman",,a_place_in_the_house_of_the_mansions_of_,
"A place is prepared up in heaven","My Savior will welcome me","My home, my sweet home, is near",,"A. L. Burnett",,a_place_is_prepared_up_in_heaven,
"A place there is for each to fill","The great world task","Go ye, go ye",,"Anna B. Russell",,a_place_there_is_for_each_to_fill,
"A place where wicked deeds abound",,,,,,a_place_where_wicked_deeds_abound,
"A place where wickedness abound",,,,,,a_place_where_wickedness_abound,
"A plague of those musty old tubbers",,,,,,a_plague_of_those_musty_old_tubbers,
"A plaintive plea comes o'er the sea",,,,"Clara McAlister Brooks",,a_plaintive_plea_comes_oer_the_sea,
"A plaything of man's hate and pride",,,,,,a_plaything_of_mans_hate_and_pride,
"A pleasant home is mine",,,,,,a_pleasant_home_is_mine,
"A pleasing sound falls on my ear",,,,"S. Hoyt",,a_pleasing_sound_falls_on_my_ear,
"A pledge, a pledge to water","The pledge","We'll never taste",,"S. A. Gamble",,a_pledge_a_pledge_to_water,
"A pledge I have made to be true",,,,,,a_pledge_i_have_made_to_be_true,
"A Pledge we make ",,,,,,a_pledge_we_make,
"A ponizenym srdcom k Tebe prichadzam",,,,,,a_ponizenym_srdcom_k_tebe_prichadzam,
"A pool of water pure as dew","The lily",,,"Addie C. Barrett",,a_pool_of_water_pure_as_dew,
"A poor afflicted child , I kneel",,,,,,a_poor_afflicted_child_i_kneel,
"A poor and wretched sinner","He took me in","Jesus took me in",,"Albert Allen Ketchum",,a_poor_and_wretched_sinner,
"A poor, blind child, I wander here","Come, Lord Jesus",,,"John Wesley",,a_poor_blind_child_i_wander_here,
"A poor boy went by with his raiment all torn","The beggar boy",,,,,a_poor_boy_went_by_with_his_raiment_all_,
"A poor, fallen drunkard is dying","Will you give your boy","Shall it be your boy",,"Elisha A. Hoffman",,a_poor_fallen_drunkard_is_dying,
"A poor humble sinner on earth here I am","The wonderful Counselor is pleading for me",,,"William Herbert Brewster",,a_poor_humble_sinner_on_earth_here_i_am,
"A poor lost sinner once was I",,"Saved, saved, saved",,"Charles Edward Pollock",,a_poor_lost_sinner_once_was_i,
"A poor wayfaring man of grief",,,,"James Montgomery",,a_poor_wayfaring_man_of_grief,
"A potent monarch, 'tis declared",,,,,,a_potent_monarch_tis_declared,
"A prayer on the wings of an angel",,"My mother is praying for me",,"Fanny J. Crosby",,a_prayer_on_the_wings_of_an_angel,
"A precious friend in Jesus",,"I need Him every day",,"Lizzie DeArmond",,a_precious_friend_in_jesus,
"A precious gift on man bestowed",,,,,,a_precious_gift_on_man_bestowed,
"A precious one from us is gone",,"He is waiting for our coming",,"Jesse Powell",,a_precious_one_from_us_is_gone,
"A precious Redeemer in Jesus I find",,"Precious, He is precious to me",,"Alfred H. Ackley",,a_precious_redeemer_in_jesus_i_find,
"A precious truth to us is giv'n","I Shall Not Die","I shall not die&#8212;on Jesus&#8217; breast",,"U. P.","8.8.8.8 D",a_precious_truth_to_us_is_given,"Timeless Truths (http://library.timelesstruths.org/music/I_Shall_Not_Die); Faith Publishing House, <i>Evening Light Songs</i>, 1949, edited 1987 (501)"
"[A Presence on the Sea]","A Presence on the Sea",,,,"6.6.6.6 with refrain",a_presence_on_the_sea,"<i>Carpenter, Why Leave the Bench</i> (Selah Publishing, 1996)"
"A present and perfect salvation I have","The past is all under the blood","He saves me just now, hallelujah",,"Mrs. C. H. Morris",,a_present_and_perfect_salvation_i_have,
