firstLine,textTitle,refrainFirstLine,languages,authors,meter,textAuthNumber,textSources
"A bird that has roamed far away from its nest",,"Homesick for Thee when temptations molest",,"R. F. R. Bell",,a_bird_that_has_roamed_far_away_from_its,
"A birthday, a birthday",,,,"Harvey C. Camp",,a_birthday_a_birthday,
"A birthday child I am today","Birthday child",,,"Jessie L. Gaynor",,a_birthday_child_i_am_today,
"A birthday greeting to you, dear",,,,,,a_birthday_greeting_to_you,
"A birtheday song we gaily sing","Birthday greeting",,,,,a_birtheday_song_we_gaily_sing,
"A bitter cry rang through the sky",,"Safe until the morning",,"Ada R. Habershon",,a_bitter_cry_rang_through_the_sky,
"A bitter cup we drink indeed",,,,"William Allen",,a_bitter_cup_we_drink_indeed,
"A blessed change has taken place","In touch with Jesus","I'm now in touch with God's great Son",,"James Rowe",,a_blessed_change_has_taken_place,
"A blessed day will surely","That blessed day","O blessed day",,"Jennie Wilson",,a_blessed_day_will_surely,
"A blessed fellowship my soul has found",,"When I'm with Him",,"Alfred H. Ackley",,a_blessed_fellowship_my_soul_has_found,
"A blessed peace surrounds me",,"O peace that passeth knowledge",,"Flora Kirkland",,a_blessed_peace_surrounds_me,
"A blessed thought comes to my soul","Homeland of the soul","Homeland, homeland of the soul",,"J. H.  Hall",,a_blessed_thought_comes_to_my_soul,
"A blessing from thy gracious hand",,,,,,a_blessing_from_thy_gracious_hand,
"A blessing on our pastor's head","A blessing on our pastor's head",,,"James Montgomery",8.8.8.8,a_blessing_on_our_pastors_head,
"A blest conversion and a strange",,,,"George Wither",,a_blest_conversion_and_a_strange,
"A blind man heard the noisy throng",,"Lord, that I may receive my sight",,"William C. Martin",,a_blind_man_heard_the_noisy_throng,
"[A Blind Man Sat Beside the Road]","A Blind Man Sat Beside the Road",,English,"Herman G Stuempfle",,a_blind_man_sat_beside_the_road,"<i>Awake Our Hearts to Praise</i> (GIA Publications, 2000)"
"A blind man sat beside the way",,"Child of the night, receive thy sight",,"W. C. Martin",,a_blind_man_sat_beside_the_way,
"A blooming paradise of joy",,,,,,a_blooming_paradise_of_joy,
"A bluebird over the treetops flew",,,,"Louise M. Oglevee",,a_bluebird_over_the_treetops_flew,
"A bluebird sits in the apple tree","The bluebird's song","Tra, la, la",,"L. W. Callin",,a_bluebird_sits_in_the_apple_tree,
"A boat has left the distant","'Tis I, be not afraid",,,,,a_boat_has_left_the_distant,
"A bond of sweet union, how blest to behold",,,,,,a_bond_of_sweet_union_how_blest_to_behol,
"A boy dreamed of life full of pleasure","The prodigal","The world has many pleasures",,"Mamie E. Caskie",,a_boy_dreamed_of_life_full_of_pleasure,
"A Boy is born in Bethlehem","A Boy Is Born in Bethlehem",,"Latin; English",,8.4.8.8.8,a_boy_is_born_in_bethlehem,"<i>New Oxford Book of Carols, </i>1993 (tr.); Latin, 13th cent."
"A boy once caught a tomtit gay",,,,,,a_boy_once_caught_a_tomtit_gay,
"A boy stood by his mother's bed","Mother, will you watch for me","O mother, will you watch for me",,"W. F. Allen",,a_boy_stood_by_his_mothers_bed,
"A boy was born in Bethlehem",,,"German; English",,,a_boy_was_born_in_bethlehem,
"[A Branch Connected to the Vine]","A Branch Connected to the Vine",,,"Constance M Cherry",,a_branch_connected_to_the_vine,"<i>Proclaim New Hope</i> (Hope Publishing Co, 2001)"
"A branch so fair has blossomed",,,,"F. W. Herzberger",,a_branch_so_fair_has_blossomed,
"A brand from the burning",,"Jesus, my Jesus, my own",,"James L. Nicholson",,a_brand_from_the_burning,
"A brave, loyal army of soldiers","The army of Jesus","This brave Christian army",,"Harriet E. Jones",,a_brave_loyal_army_of_soldiers,
"A breath of morning now is on the air","Come, bright Eden land","Then come, come, come, come, come",,,,a_breath_of_morning_now_is_on_the_air,
"A breath of spring, the birds want to sing",,,,"James Thiem",,a_breath_of_spring_the_birds_want_to_sin,
"A bright and glorious hope is ours",,,,,,a_bright_and_glorious_hope_is_ours,
"A bright constellation illumines the sky",,"I love thee, I love thee, O land of the free",,"Johnson Oatman",,a_bright_constellation_illumines_the_sky,
"A bright unfading crown doth grace",,,,,,a_bright_unfading_crown_doth_grace,
"A brighter, blissful day is just ahead","A happy day is coming","O what a happy day",,"Rupert Cravens",,a_brighter_blissful_day_is_just_ahead,
"A brighter dawn is breaking",,,,"Percy Dearmer (1867-1936)",,a_brighter_dawn_is_breaking,
"A brighter day is breaking","Christian freedom song","Tramp, tramp",,"Robert Lowry",,a_brighter_day_is_breaking,
"A brighter day is coming",,"Behold, the day is breaking",,"Loula K. Rogers",,a_brighter_day_is_coming,
"A brighter day is drawing near","The dark shall be made light","The dark shall be made light",,,,a_brighter_day_is_drawing_near,
"A brighter day  will soon be here",,"And the day will come when Columbia shall be free",,"Thomas Jarratt",,a_brighter_day_will_soon_be_here,
"A broken, contrite heart, O Lord",,,,"Franklin E. Belden",,a_broken_contrite_heart_o_lord,
"A broken heart, a contrite spirit",,,,,,a_broken_heart_contrite_spirit,
"A broken heart, my God, my King",,,,Watts,,a_broken_heart_my_god_my_king,
"A broken heart, O Lord!",,,,,,a_broken_heart_o_lord_thou_never_wilt_de,
"[A Broken Spirit]","A Broken Spirit",,,"Martin J Nystrom; Don Harris",,a_broken_spirit,"<i>Songbook 8 (Hosanna!)</i> (Integrity Music, Inc., 1994)"
"A broken spirit is to God",,,,,,a_broken_spirit_is_to_god,
"A brother, Lord, we would ordain",,,,,,a_brother_lord_we_would_ordain,
"A brother of all the world am I",,,,"George Edward Day",,a_brother_of_all_the_world_am_i,
"A bugle note of triumph",,"Pray on, and work together",,"Lanta Wilson Smith",,a_bugle_note_of_triumph,
"A building of beauty life may be","The building of life","Now as we build, His life is our foundation",,"Valeria R. Lehman",,a_building_of_beauty_life_may_be,
"A burden was laid on my spirit","Leaning on Jesus alone",,,"Flora L. Best Harris",,a_burden_was_laid_on_my_spirit,
"A burdened heart that bleeds",,,,,,a_burdened_heart_that_bleeds,
"[A Bush Bursts into Flame]","A Bush Bursts into Flame",,,"Andrew Donaldson",,a_bush_bursts_into_flame,"<i>Book of Praise</i>"
"A business which requires a screen",,"Simply because you found it there",,"A. T. Allis",,a_business_which_requires_a_screen,
"A butterfly, an Easter egg","A butterfly, an Easter egg",,,,,a_butterfly_an_easter_egg,
"A call comes ringing from the King","He never leads us wrong","The Lord of all is ever wise and just",,"John M. Henson",,a_call_comes_ringing_from_the_king,
"A call comes ringing from the throne","The King's call","Go forth, go forth, with armor on",,"Harriet E. Jones",,a_call_comes_ringing_from_the_throne,
"A call for loyal soldiers","As a Volunteer","A volunteer for Jesus",English,"W. S. Brown",,a_call_for_loyal_soldiers,
"A call for me across the sea","Come home",,,"Noah K. Davis",,a_call_for_me_across_the_sea,
"A call from Jesus comes to me","O Savior, bless Thou me","I hear thy call, dear Lord",,"Elisha A. Hoffman",,a_call_from_jesus_comes_to_me,
"A call from the mountain","Anniversary of Independence",,,,,a_call_from_the_mountain,
"A call is heard throughout the land","Battle hymn of Maryland",,,"Mary H. German",,a_call_is_heard_throughout_the_land,
"A call is sounding o'er the way",,"The last command of Christ",,"Mattie B. Shannon",,a_call_is_sounding_oer_the_way,
"A call rings out for service",,,,"Elizabeth M. Shields",,a_call_rings_out_for_service,
"A call rings out to all","The call","Go ye into all the world",,"Charles Hutchinson Gabriel",,a_call_rings_out_to_all,
"A call rings through the land","The Lord needs you","Like trumpet tones resounding",,"George O. Webster",,a_call_rings_through_the_land,
"A call to arms from heaven to earth is sounding",,"Hark, steadily onward",,"Richard Slater",,a_call_to_arms_from_heaven_to_earth_is_s,
"A call to loyal workers is sounding o'er the land","The loyal call","Awake, loyal worker",,"L. B. Kenyon",,a_call_to_loyal_workers_is_sounding_oer_,
"A call to the colors is ringing loud and clear",,"Awake, awake, ye followers of the Lamb",,"Thomas O. Chisholm",,a_call_to_the_colors_is_ringing_loud_and,
"A calm and gentle quiet reigns tonight",,,,"David H. Smith; J. L. Morgan",,a_calm_and_gentle_quiet_reigns_tonight,
"A candle in the night",,,,"C. F. Richardson",,a_candle_in_the_night,
"A candle is burning","A Candle Is Burning",,,"Sandra Dean","6.5.6.5 D",a_candle_is_burning,
"A candle is so very small","The candle",,,"Lillien E. Landman",,a_candle_is_so_very_small,
"A captive here, and far from home",,,,,,a_captive_here_and_far_from_home,
"A captive once to sin and hell",,,,"William Staughton",,a_captive_once_to_sin_and_hell,
"A captive once was I, and in fetters lay","Glory to the Lamb","All glory to the Lamb who was slain for me",,"James Rowe",,a_captive_once_was_i_and_in_fetters_lay,
"A captive was I, till the Lord set me free","Glory to Jesus","O glory to Jesus, salvation is free",,"Robert J. Lord",,a_captive_was_i_till_the_lord_set_me_fre,
"A careful providence shall stand",,,,,,a_careful_providence_shall_stand,
"A carol of gladness I sing","I'm saved",,,"B. B. Bateman",,a_carol_of_gladness_i_sing,
"A ceia do Senhor Jesus queremos celebrar","A Ceis do Senhor Jesus",,"English; Portuguese","Thomas Cotterill; Werner Kaschel",,a_ceia_do_senhor_jesus_queremos_celebrar-1,
"A celui qui nous a sauves","Actions de graces, adoration",,,"Benedict Pictet",,a_celui_qui_nous_a_sauves,
"[A Centurion From Capernaum]","A Centurion From Capernaum",,,"John C. Ylvisaker",,a_centurion_from_capernaum,"<i>Borning Cry, vol.1</i> (New Generation Publishers, Inc., 2000)"
"A century of promise","Seventy-fifth anniversary hymn","A century for Jesus",,"Ida Scott Taylor",,a_century_of_promise,
"A certain beggar, poor and blind",,,,,,a_certain_beggar_poor_and_blind,
"A certain man asked Jesus","Love thy neighbor","O, love thy neighbor",,"Margaret Carson",,a_certain_man_asked_jesus,
"A certain man held a feast",,,,,,a_certain_man_held_a_feast,
"A certain man long time ago",,"Don't pass by",,,,a_certain_man_long_time_ago,
"A certain man of whom we read","Something more than gold","O yes, my friend, there's something more",,,,a_certain_man_of_whom_we_read,
"A certain man travelled","My neighbor",,,"Lois Lenski",,a_certain_man_travelled,
"[A Certain Place]","A Certain Place",,English,"John Core",,a_certain_place,"<i>Shores of Thought and Feeling</i> (Wayne Leupold, 2004)"
"A certain poor widow in Zion one day","Give, give, every one give",,,"Eliza E. Hewitt",,a_certain_poor_widow_in_zion_one_day,
"A certain traveler on his way","The Good Samaritan","Don't pass your neighbor by, my friend",English,"Mary Lu Walker",,a_certain_traveler_on_his_way,
"A chain of bright gold from the treasure above","Chain of protection",,,,,a_chain_of_bright_gold_from_the_treasure,
"A challenge of celestial art","Raph'l's Saint Cecilia at Bologna",,,"Julia Ward Howe",,a_challenge_of_celestial_art,
"A charge the Savior gave",,"Then let us watch and pray",,,,a_charge_the_savior_gave,
"A charge to keep I have",,,,,,a_charge_to_keep_i_have,
"A charge to keep we have",,,,"Laura Hubbard Jaccard",,a_charge_to_keep_we_have,
"A cheerful gift, a cheerful",,,,"George Edward Martin",,a_cheerful_gift_a_cheerful,
"A cheerful word, a kindly smile",,,,"C. Austin Miles",,a_cheerful_word_a_kindly_smile,
"A cheering, chanting, dizzy crowd","A Cheering, Chanting, Dizzy Crowd",,English,"Thomas H. Troeger",,a_cheering_chanting_dizzy_crowd,
"A cheering ray of hope has gleamed","The converted sailor","Then glory, glory, let us sing",,,,a_cheering_ray_of_hope_has_gleamed,
"A child, a youth, a man","A child, a youth, a man",,,"James Montgomery",6.6.8.6,a_child_a_youth_a_man,
"A child if God has a new heart","Three new things","Old things have passed away",,"Harry Dixon Loes",,a_child_if_god_has_a_new_heart,
"A child is born, a Son given us","Lord, Today","Lord, today we have seen your glory",English,"Mike Balhoff, b. 1946",,a_child_is_born_a_son_given_us,
"A child is born in Bethlehem, alleluia",,"Let grateful hearts now sing",,"Irvin  M. Udulutsch",,a_child_is_born_in_bethlehem_alleluia,
"A child is born in Bethlehem, alleluia",,"Come, join the angel throng",English,"Ruth Fox Hume, 1922-1980","8.8 with alleluias and refrain",a_child_is_born_in_bethlehem_hume,"Latin, 145h cent."
"A child is born in Bethlehem (alleluia, alleluia)",,"Alleluia, alleluia",,,,a_child_is_born_in_bethlehem_alleluia_al,
"A child is born in Bethlehem (now heart and voice)",,"Now heart and voice accord",,,,a_child_is_born_in_bethlehem_now_heart_a,
"A child is born in Bethlehem, The joy of all",,"Let every heart be gay",,"Justine B. Ward",,a_child_is_born_in_bethlehem_the_joy_of_,
"A child is born in Bethlehem (Tillotson)","Our Christmas gift","God so loved the world",,"Edith Sanford Tillotson",,a_child_is_born_in_bethlehem_tillotson,
"A child is born in Bethlehem (Unknown)",,,,,,a_child_is_born_in_bethlehem_unknown,
"A child is born in Bethlehem (Yoder)",,,,,,a_child_is_born_in_bethlehem_yoder,
"A child is born, the birth proclaim","A Child is Born, the Birth Proclaim",,English,"James Montgomery","8.8.8.8 D",a_child_is_born_the_birth_proclaim,
"A child of God is made",,,,,,a_child_of_god_is_made,
"A child of God shall be",,,,"Lois Lenski",,a_child_of_god_shall_be,
"A child of God, there is for thee","Joy and glory too",,,"Mary M. Bodie",,a_child_of_god_there_is_for_thee,
"A child of heaven to mankind",,,,,,a_child_of_heaven_to_mankind,
"A child of Jehovah, a subject of grace",,,,,,a_child_of_jehovah_a_subject_of_grace,
"A child of man, a child of God","A child of man, a child of God",,,"James Montgomery",8.6.8.6,a_child_of_man_a_child_of_god,
"A child of the King! O calling divine!","A Child of the King","A child of the King! be joyful and sing",,"Miss Julia H. Johnston",,a_child_of_the_king_o_calling_divine,
"A child this day is born",,"Glad tidings to all men",,,,a_child_this_day_is_born,
"A child was born in Bethlehem",,,,,,a_child_was_born_in_bethlehem,
"A child was born today",,,,"Michael Gilligan",,a_child_was_born_today,
"A child was sick in Africa",,"All around the world",,"F. Ashby",,a_child_was_sick_in_africa,
"A child whose dainty golden curls","For Jesus' sake","When dewdrops tremble on the rose",,"Laura E. Newell",,a_child_whose_dainty_golden_curls,
"A child with sin and sorrow",,,,"Thomas Hastings",,a_child_with_sin_and_sorrow,
"A children's temple here we build","A children's temple here we build",,,"James Montgomery",8.8.8.8,a_childrens_temple_here_we_build,
"A choir in the dawn, hear them sing",,,,"Thomas Belt",,a_choir_in_the_dawn_hear_them_sing,
"A Christian band from far and near","The Endeavor band","This blest Endeavor band",,"L. F. Lindsay",,a_christian_band_from_far_and_near,
"A Christian man lay dying","Sing me a gospel song tonight",,,"J. Bava",,a_christian_man_lay_dying,
"A Christian must by faith be filled",,,,"M. D. Battles",,a_christian_must_by_faith_be_filled,
"A Christian sergeant, sent to list",,,,,,a_christian_sergeant_sent_to_list,
"A Christian's heart is Christ's abode",,,,,,a_christians_heart_is_christs_abode,
"A church was established on earth here below",,,,,,a_church_was_established_on_earth_here_b,
"A church without apostles",,,,"T. W. Smith",,a_church_without_apostles,
"A city all fit doth Jesus prepare","Not made by hands","We know, we know, in heaven another building",,"Thoro Harris",,a_city_all_fit_doth_jesus_prepare,
"A city appears to our view",,,,,,a_city_appears_to_our_view,
"A city awaits us we soon shall behold","Beautiful homeland",,,"Laura E. Newell",,a_city_awaits_us_we_soon_shall_behold,
"A city bright and fair",,,,,,a_city_bright_and_fair,
"A city bright up in heaven is waiting","The city where comes no strife","Life's river",,"A. A. Warsham",,a_city_bright_up_in_heaven_is_waiting,
"A city divine, foursquare we are","I'll meet them","My loved ones",,"J. W. Smalts",,a_city_divine_foursquare_we_are,
"A city, glorious as the sun",,,,,,a_city_glorious_as_the_sun,
"A city lies beyond the blue",,,,"Laura E. Newell",,a_city_lies_beyond_the_blue,
"A city now we have obtained",,,,"George Wither",,a_city_now_we_have_obtained,
"A city of exceeding strength",,,,,,a_city_of_exceeding_strength,
"A city of splendor so lovely","Wonderful city of God","O, wonderful city of God",,"J. E. Marsh",,a_city_of_splendor_so_lovely,
"[A City Radiant as a Bride]","A City Radiant as a Bride",,,"Timothy Dudley-Smith",,a_city_radiant_as_a_bride,"<i>A House of Praise</i> (Hope Publishing Company,, 2003)"
"A closer walk with Jesus",,,,"William M. Runyan",,a_closer_walk_with_jesus,
"A cloud flits o'er the youthful brow","The voice from the cloud",,,"Caroline Gilman",,a_cloud_flits_oer_the_youthful_brow,
"A cloud from the sea is rising",,"We'll wait for the blessing that surely will come",,"Fanny J. Crosby",,a_cloud_from_the_sea_is_rising,
"A cloud of witnesses surround",,"Encompasseed about with so great a cloud",,"Eliza E. Hewitt",,a_cloud_of_witnesses_surround,
"A cloud received him out of sight",,,,,,a_cloud_received_him_out_of_sight,
"A comet dangling in the air",,,,"Jeremy Taylor",,a_comet_dangling_in_the_air,
"A common bush afire for God,","Burning bush","O Spirit burn thou on",,"Caroline L. Goodenough",,a_common_bush_afire_for_god,
"[A Communion Hymn]","A Communion Hymn",,,"Nolan Williams",,a_communion_hymn,"<i>African American Heritage Hymnal</i> (G.I.A. Publications, Inc., 2001)"
"A compromise of right is a triumph",,"Till the people understand",,"A. A. Hopkins",,a_compromise_of_right_is_a_triumph,
"A conflict irrepressible",,,,,,a_conflict_irrepressible,
"A conflict is raging of right against wrong","A call to conflict","The song of the victor",,"George O. Webster",,a_conflict_is_raging_of_right_against_wr,
"A conflict now is raging",,"Can He count on you",,"George O. Webster",,a_conflict_now_is_raging,
"A conflict rages now, through all the land","On with the King",,,"J. Franklin Combs",,a_conflict_rages_now_through_all_the_lan,
"A conqueror am I",,,,,,a_conqueror_am_i,
"A conscious fortitude sustains",,,,"Abner Kneeland",,a_conscious_fortitude_sustains,
"A contrite heart and broken spirit",,,,"Abraham Fleming",,a_contrite_heart_and_broken_spirit,
"A contrite sinner at the mercy seat",,"He saves me now",,"G. Murray Klepfer",,a_contrite_sinner_at_the_mercy_seat,
"A convert and conversion strange",,,,"George Wither",,a_convert_and_conversion_strange,
"A costly ransom Christ hath made",,,,"Fred S. Shepard",,a_costly_ransom_christ_hath_made,
"A country I've found, where true joys abound",,"I'll drink when I am dry",,"John Gambold",,a_country_ive_found_where_true_joys_abou,
"A crimson stream is flowing",,"Calvary's stream is flowing",,"Elisha A. Hoffman",,a_crimson_stream_is_flowing,
"A crimson stream of precious blood","The cleansing blood","The blood, the blood",,"E. A. Revere",,a_crimson_stream_of_precious_blood,
"A cristo doy mi canto",,"Ensalce nuestro canto, To sacrosanta historia",,"Ellen M. H. Gates",,a_cristo_doy_mi_canto,
"A Cristo proclamad, Triunfante Salvador",,,,"Jose L. Cabrera",,a_cristo_proclamad_triunfante_salvador,
"A cross it was, the narrow bed unholy",,,,,,a_cross_it_was_the_narrow_bed_unholy,
