hymnalID,hymnalTitle,editors,publisher,publicationPlace,publicationDate,denominations,tags
CSH21833,"A Choice Selection of Hymns. 2nd ed.","Henry Kurtz","Henry Kurtz","Osnaburg, Stark Co., Oh.",1833,"Church of the Brethren, Dunkers",
CSH61843,"A Choice Selection of Hymns. 6th ed.","Philip Boyle","Philip Boyle","Uniontown, Md.",1843,"Church of the Brethren, Dunkers",
CSHS1829,"A Choice Selection of Hymns and Spiritual Songs","Reuben Peaslee; James Gale","James Gale","Haverhill, Mass.",1829,,
CSHS1813,"A Choice Selection of Hymns and Spiritual Songs: designed for the use of  the pious","Jonathan Pounder","Jonathan Pounder",Philadelphia,1814,,
CSHS1836,"A Choice Selection of Hymns and Spiritual Songs, Designed to Aid in the Devotions of Prayer, Conference, and Camp-Meetings","N. C. Goddard","N. C. Goddard","Windsor, Vt.",1836,,
CSHS1877,"A Choice Selection of Hymns and Spiritual Songs for the use of the Baptist Church and all lovers of song","Elder E. D. Thomas; Arrowood Bros.","Arrowood Brothers","Wayne, W.V.",1877,"Baptist hymnals (general)",
CSH1829,"A Choice Selection of Hymns and Spiritual Songs. Stereotype ed.",,,"New York, N.Y.",1829,,
CSPH1819,"A Choice Selection of Psalms, Hymns and Spiritual Songs for the use of  Christians","John Mackenzie; David Watson","David Watson","Woodstock, Vt.",1819,"Christian Church, General Convention",
C1894,"A Chord","E. M. Stephenson; Chord Pub. Co.","Chord Pub. Co.","Jackson, MI",1894,,
CHBU1861,"A Church Hymn Book: for the use of congregations of the United Church of England and Ireland","Henry Rowsell","Henry Rowsell",Toronto,1861,"United Church of England and Ireland, Province of Canada",
Thring,"A Church of England Hymn Book","Godfrey Thring",,,1879,,
CCHH1874,"A Collection of Choral Hymns for the ... Hanson Place Methodist Episcopal Congregation","Emory J. Haynes; Jewett, St. John & Co.","Jewett, St. John & Co.","New York, N.Y.",1874,"Methodist Episcopal Church (North)",
CDHV1814,"A Collection of Divine Hymns from Various Authors","George Elliot; J. Tenny","J. Tenny","Sangerfield, N.Y.",1814,"Free Will Baptists",
CDHS1816,"A Collection of Divine Hymns or Spiritual Songs for the Use of Religious Assemblies, and Private Christians","Seth Richards","Seth Richards","Middletown, Conn.",1816,,
CoEH1793,"A Collection of Evangelical Hymns","John Stanford; Thomas & James Swords","Thomas & James Swords","New York, N.Y.",1793,"Baptist hymnals (general)",
CEHD1797,"A Collection of Evangelical Hymns; made from Different Authors and Collections for the English Lutheran Church in New York","George Strebeck; John Tiebout","John Tiebout","New York, N.Y.",1797,"Lutheran hymnals (general)",
CEHA1881,"A Collection of Evergreen Hymns, for All the People. New ed.","Sylvanus Landrum; M. P. Lowrey; Rogers & Co.","Rogers & Co.","Memphis, Tenn.",1881,,
CFOH1899,"A Collection of Familiar and Original Hymns and Tunes","Ursula N. Gestefeld; Ursula Gestefeld, Central Music Hall","Ursula Gestefeld, Central Music Hall","Chicago, Ill.",1899,"Divine Science",
CFOH1891,"A Collection of Familiar and Original Hymns with New Meanings. 2nd ed.","Hannah More Kohaus; Ursula N. Gestefeld","Ursula N. Gestefeld","New York, N.Y.",1891,"Divine Science",
CGTP1888,"A Collection of Gospel, Temperance, and Prohibition Songs,                               What's the News","J. G. Dailey","The Authors","Brockwayville, Penn.",1888,,Temperance
CH1859,"A Collection of Hymns",,"[Protestant Episcopal Church]","[New York]",1859,"Episcopal Church",
CHAU1830,"A Collection of Hymns Adapted to the Use of the Methodist Episcopal Church","Methodist Episcopal Church in the U.S.","Methodist Episcopal Church in the U.S.","New York, N.Y.",1830,"Methodist hymnals (general)",
CHAM1836,"A Collection of Hymns Adapted to the use of the Methodist Episcopal Church Including the Whole Collection of the Rev. J. Wesley",,,"New York, N.Y.",1836,"Methodist hymnals (general)",
CHLU1817,"A Collection of Hymns and a Liturgy for the Use of Evangelical Lutheran Churches: to which are added prayers for families and individuals","G. & D. Billmeyer","G. & D. Billmeyer",Philadelphia,1817,"Evangelical Lutheran Synod of the State of New York",
CHLE1827,"A Collection of Hymns and a Liturgy: for the use of Evangelical Lutheran Churches, to which are added prayers for families and individuals (New and Enl. Stereotype Ed.)","Henry Ludwig","Henry Ludwig (Printer)","New York",1834,"Evangelical Lutheran Ministerium of the State of New York and Adjacent States ",
CHAA1892,"A Collection of Hymns and Anthems Adapted to Public Worship","Henry Clay Blinn; Shakers",Shakers,"Canterbury, N.H.",1892,Shakers,
CHPU1807,"A Collection of Hymns and Psalms for the Use of Singing School and         Musical Societies","J. J. Husband",,"Lancaster, Penn.",1807,,
CHSS1882,"A Collection of Hymns and Sacred Songs. 19th ed.","Otterbein Press","Otterbein Press","Dayton, Oh.",1882,"Old German Baptist Brethren",
CHSS1801,"A Collection of Hymns and Spiritual Songs. 2nd ed.","Richard Allen; T. L. Plowman","T. L. Plowman","Philadelphia, Penn.",1801,"African Methodist Episcopal Zion Church",
CHSS1816,"A Collection of Hymns and Spiritual Songs for the Use of the Pious of      All Denominations","James Wilson, Printer","James Wilson, Printer","Steubenville, Oh.",1816,,
CHSS1834,"A Collection of Hymns and Spiritual Songs, Generally Used at Camp and Prayer Meetings","L. Garrett; Western Methodist Office","Western Methodist Office","Nashville, Tenn.",1834,"Methodist hymnals (general)",
CHDU1847,"A Collection of Hymns, Designed for the Use of the Church of Christ","John Reist; A. W. Wilgus","A. W. Wilgus","Buffalo, N.Y.",1847,"Reformed Mennonite Church",
CHCC1873,"A Collection of Hymns: designed for the use of the Church of Christ","John Reist; Inquirer Printing & Publishing Co.; Reformed Mennonite Church","Inquirer Printing & Publishing Co.","Lancaster, Penn.",1873,"Reformed Mennonite Church",
CHPP1879,"A Collection of Hymns for Public and Private Devotion","Johann Baer's Soehne","Johann Baer's Soehne","Lancaster, Penn.",1879,"Church of the Brethren, Dunkers",
CHPP1796,"A Collection of Hymns for Public and Private Worship approved by the       Presbytery of Charleston","George Buist",M'Iver,"Charleston, S.C.",1796,"Presbyterian hymnals (general)",
CHPS1847,"A Collection of Hymns for Public, Social and Domestic Worship","E. Stevenson; F. A. Owen; Methodist Episcopal Church, South","Methodist Episcopal Church, South","Nashville, Tenn.",1847,"Methodist Episcopal Church, South, 1845- . Souther",
CHPS1853,"A Collection of Hymns for Public, Social and Domestic Worship","John Early","John Early","Richmond, Va.",1853,"Methodist Episcopal Church, South, 1845- . Souther",
CHPS1848,"A Collection of Hymns for Public, Social, and Domestic Worship","J. Early","J. Early","Richmond, Va.",1848,"Methodist Episcopal Church, South, 1845- . Souther",
CHPS1866,"A Collection of Hymns for Public, Social, and Domestic Worship","A. H. Redford","A. H. Redford",Nashville,1875,"Methodist Episcopal Church, South",
CHSW1783,"A Collection of Hymns for Social Worship","A.  Law; William Law","William Law","Cheshire, Conn.",1783,,
CHCC1843,"A Collection of Hymns, for the Christian Church and Home","James Flint; James Munroe and Company","James Munroe and Company",Boston,1843,"Unitarian churches",
CHSR1860,"A Collection of Hymns for the Sanctuary. Rev.ed. with a Supplement","G. E. Ellis; J. Monroe & Co.","J. Monroe & Co.","Boston, Mass.",1860,"Unitarian churches",
CoH41810,"A Collection of Hymns for the use of Christians","Elias Smith; Manning & Loring; Abner Jones","Manning & Loring",Boston,1804,"Christian Connection",
CHUC1811,"A Collection of Hymns for the Use of Christians. (4th ed.)","Elias Smith; Herald Printing Office and Bookstore","Herald Printing Office and Bookstore","Portland, Me.",1811,"New England Christians",
CHUA1839,"A Collection of Hymns for the Use of the African Methodist Episcopal      Church in America","Jacob D. Richardson; Timothy Eatto; J. M. Marsh","J. M. Marsh","New York, N.Y.",1839,"African Methodist Episcopal Church",
CHUM1836,"A Collection of Hymns for the Use of the Methodist Episcopal Church: principally from the collection of  Rev. John Wesley, M. A., late fellow of Lincoln College, Oxford; with... (Rev. & corr.)","B. Waugh & T. Mason","B. Waugh & T. Mason","New York",1832,"Methodist Episcopal Church",
CHUM1845,"A Collection of Hymns: for the use of the Methodist Episcopal Church, principally from the collection of the Rev. John Wesley, A. M., late fellow of Lincoln College..(Rev. and corr. with a supplement)","G. Lane & C. B. Tippett","G. Lane & C. B. Tippett","New York",1845,"Methodist Episcopal Church",
CHUM1821,"A Collection of Hymns for the Use of the Methodist Episcopal Church: Principally from the Collection of the Rev. John Wesley. M. A.","N. Bangs and T. Mason; John Wesley; William M'Kendree; Enoch George; Robert R. Roberts; Methodist Episcopal Church","N. Bangs and T. Mason","New York",1821,"Methodist hymnals (general)",
CHME1844,"A Collection of Hymns for the use of the Methodist Episcopal Church. Rev. with a Supplement","G. Lane & C. B. Tippett","G. Lane & C. B. Tippett","New York, N.Y.",1844,"Methodist Episcopal Church (North)",
CHUP1814,"A Collection of hymns, for the use of the people called Methodists","Wesley, John, 1703-1791","From the Diamond Press, R.W. Pomeroy, Print.",Baltimore,1814,"Methodist Church",
CHUP1874,"A Collection of Hymns, for the Use of the People Called Methodists, with a Supplement","John Wesley, M.A. ; John Mason","Methodist Book Room",,1874,"Methodist churches of Canada",
CHUP1819,"A Collection of Hymns for the Use of the Protestant Church of the United Brethren. (New and Rev. ed.)","Conrad Zentler","Conrad Zentler",Philadelphia,1819,"Moravian Church",
CHUP1832,"A Collection of Hymns, for the Use of the Protestant Church of the United Brethren. New and  Revised ed.","I. Ashmead & Co.","I. Ashmead & Co. (Printer)",Philadelphia,1832,"Moravian Church",
CHUP1813,"A Collection of Hymns for the Use of the Protestant Church of the United Brethren. Rev. ed.","Conrad Zentler","Conrad Zentler","Philadelphia, Penn.",1813,"Moravian Church",
CHUU1837,"A Collection of Hymns for the Use of the United Brethren in Christ","United Brethren in Christ Conference Office","United Brethren in Christ Conference Office","Circleville, Oh.",1837,"United Brethren in Christ",
CHUU1858,"A Collection of Hymns, for the use of the United Brethren in Christ: taken from the most approved authors, and adapted to public and private worship","Church of the United Brethren in Christ (1800-1889)","Vonnieda & Sowers, Agents","Dayton, Oh.",1858,"United Brethren in Christ",
CHWM1843,"A Collection of Hymns for the use of the Wesleyan Methodist Connection of America","O. Scott","O. Scott","Boston, Mass.",1843,"Wesleyan Methodist Church",
CHWM1848,"A Collection of Hymns, for the use of the Wesleyan Methodist Connection of America.","C. Prindle; O. Scott","O. Scott","New York",1846,"Wesleyan Methodist Church",
CHVA1816,"A Collection of Hymns from Various Authors. New ed.","John Mead Ray; J. Burkitt","J. Burkitt","Sudbury, Mass.",1816,,
CHIU1835,"A Collection of Hymns, intended for the use of the citizens of Zion, whose privilege it is to sing the high praises of God, while passing through the wilderness, to their glorious inheritance above.","Thomas Reed",,"New York",1835,,
CHMP1803,"A Collection of Hymns, More Particularly Designed for the Use of the  West Society in Boston. (2nd ed. with Additions)","John & Thomas Fleet","John & Thomas Fleet",Boston,1803,"Unitarian Church",
CHOS1809,"A Collection of Hymns, Original and Select, for the Use of Small Assemblies and Private Christians","Nathaniel Prime; Alden Spooner","Alden Spooner","Sag Harbor,Me.",1809,,
CHSS1791,"A Collection of Hymns, Selected from Sundry Poets, Together with a Number of New Poems, Never Before Published","Edward Clark Saunders; John Byrne","John Byrne","Windham, Conn.",1791,,
CHSS1814,"A Collection of Hymns & Spiritual Songs, for Public and Family Worship","Elisha Battle; Minerva Press by A. Lucas","Minerva Press by A. Lucas","Raleigh, N.C.",1814,,
CHSP1859,"A Collection of Hymns: Supplementary to the Psalms and Hymns of Dr. Watts","W. C. Dana; Daniel Dana; McCarter & Dawson","Daniel Dana, Jr. / McCarter & Dawson","New York",1859,"Presbyterian Church in the U.S.A.",
CMHA1847,"A Collection of Millennial Hymns, Adapted to the Present Order of the Church","United Society","United Society","Canterbury, N.H.",1847,Shakers,
CoPH1737,"A Collection of Psalms and Hymns","J. Wesley; L. Timothy","L. Timothy","Charles-Town, S.C.",1737,"Methodist hymnals (general)",
CPHC1830,"A Collection of Psalms and Hymns for Christian Worship","F. W. P. Greenwood; Carter and Hendee","Carter and Hendee","Boston, Mass.",1830,"Unitarian churches",
CPHC1833,"A Collection of Psalms and Hymns for Christian Worship (10th ed.)","Carter, Hendee & Co.; F. W. P. Greenwood","Carter, Hendee & Co.",Boston,1833,,
CPHC1835,"A Collection of Psalms and Hymns for Christian Worship. 16th ed.","Francis W. P. Greenwood; Carter, Hendee & Co.","Carter, Hendee & Co.","Boston, Mass.",1835,"Unitarian churches",
CPHC1831,"A Collection of Psalms and Hymns for Christian Worship. (3rd ed.)","F. W. P. Greenwood; Carter, Hendee & Babcock","Carter, Hendee & Babcock",Boston,1831,"Unitarian churches",
CPHC1846,"A Collection of Psalms and Hymns for Christian Worship. (45th ed.)","F. W. P. Greenwood; Charles J. Hendee, and Jenks, Palmer & Co.","Charles J. Hendee, and Jenks, Palmer & Co.",Boston,1848,"Unitarian churches",
CPHC1832,"A Collection of Psalms and Hymns for Christian Worship (6th ed.)","Carter and Hendee; F. W. P. Greenwood","Carter and Hendee",Boston,1832,,
CPHP1789,"A Collection of Psalms and Hymns for Publick Worship","William Bentley; Dabney & Cushing","Dabney & Cushing","Salem, Mass.",1789,"Unitarian Churches",
CPHP1799,"A Collection of Psalms and Hymns for Publick Worship","James Freeman; Manning & Loring","Manning & Loring",Boston,1799,"Unitarian churches",
CPHP1805,"A Collection of Psalms and Hymns for Publick Worship",,"Dabney and Cushing","Salem, MA",1805,,
CPHP1813,"A Collection of Psalms and Hymns for Publick Worship (2nd ed.)","James Freeman; Manning and Loring","Manning and Loring",Boston,1813,"Unitarian churches",
CPHS1823,"A Collection of Psalms and Hymns for Social and Private Worship","West Church (Boston, Mass); John B. Russell","John B. Russell (Printer)","Boston, Mass.",1823,"Unitarian churches","Has Music"
CPHS1820,"A Collection of Psalms and Hymns, for Social and Private Worship","Henry Devereaux Sewall; C. S. Van Winkle","C. S. Van Winkle (Printer)","New York",1820,,
CPHS1822,"A Collection of Psalms and hymns, for social and private worship","Sewall, Henry D. (Henry Devereux), 1786-1845","Printed by Abraham Paul","New York",1822,,"No Hymns"
CPHW1822,"A Collection of Psalms and hymns, for social and private worship","Sewall, Henry D. (Henry Devereux), 1786-1845","Printed by Abraham Paul","New York",1822,,"No Hymns"
CPHS1827,"A Collection of Psalms and hymns, for social and private worship","Sewall, Henry D. (Henry Devereux), 1786-1845","David Felt","New York",1827,,"No Hymns"
CPHS1845,"A Collection of Psalms and Hymns, for Social and Private Worship (Rev. ed.  with supplement)","Henry Devereux Sewall; C. S. Francis","C. S. Francis & Co.","New York",1845,,
CPH1845,"A Collection of Psalms and Hymns for the Sanctuary","George E. Ellis; James Munroe and Company","James Munroe and Company",Boston,1845,"Unitarian churches",
CPHU1842,"A Collection of Psalms and hymns for the use of Universalist societies and families","Hosea Ballou, 2d.","Benjamin B. Mussey",Boston,1842,"Universalist Church of America","Has Music"
CPHU1837,"A Collection of Psalms and Hymns for the Use of Universalist Societies and Families 16ed.  ","Hosea Ballou; Benjamin B. Mussey","Benjamin B. Mussey",Boston,1845,"Universalist Church of America",
CPHF1811,"A Collection of Psalms and Hymns: from various authors, chiefly designed for public worship (4th ed.)","John Fawcett","Printed by B. Scott","Carlisle [England]",1811,,"Has Music"
CPHF1846,"A Collection of Psalms and hymns: from Watts, Doddridge, and others","Eddowes, Ralph, 1751-1833","R. and R. Beresford, Printers",Philadelphia,1846,,
CPHS1928,"A Collection of Psalms and Hymns Suited to the Various Occasions of Public Worship","Old Order Mennonite Brethren; Ruebush Kieffer","Ruebush Kieffer","Dayton, Va.",1928,"Old Order (Wisler) Mennonite Church",
CPHS1884,"A Collection of Psalms and Hymns: suited to the various occasions of public worship and private devotion","Mennonite Pub. Co.","Mennonite Pub. Co.","Elkhart, Ind.",1884,"Mennonite hymnals (general)",
CPHS1831,"A Collection of Psalms, Hymns, and Spiritual Songs","Luke Barker; G. F. Bunce","G. F. Bunce","New York, N.Y.",1831,,
CPHS1867,"A Collection of Psalms, Hymns and Spiritual Songs; suited to the various kinds of Christian worship; and especially designed for and adapted to the Fraternity of the Brethren...","James Quinter; James Quinter","James Quinter","Covington, Oh.",1867,"Church of the Brethren, Dunkers",
CPHS1875,"A Collection of Psalms, Hymns, and Spiritual Songs: suited to the various occasions of public worship and private devotion, of the church of Christ (6th ed.)","John F. Funk; Joseph Funk's Sons","Joseph Funk's Sons  /John F. Funk & Bro.","Singer's Glen, Rockingham Co., Va. / Elkhart, Ind",1872,"Mennonite and Anabaptist",
CPHS1851,"A Collection of Psalms, Hymns, and  Spiritual Songs Suited to the Various Occasions of Public Worship. 2nd ed.","Joseph Funk & Sons","Joseph Funk & Sons","Mountain Valley, Va.",1851,"Mennonite hymnals (general)",
CPHS1864,"A Collection of Psalms, Hymns, and Spiritual Songs: suited to the various occasions of public worship and private devotion of the church of Christ: with an appendix of  German hymns","John Baer's Sons","John Baer's Sons","Lancaster, Penn.",1869,"Mennonite hymnals (general)",
CPHS1839,"A Collection of Psalms, hymns, and spiritual songs: with the music of Mason's Sacred harp and Missouri harmony","Scott, Walter, 1796-1861","Stereotyped by Glezen and Shepard",Cincinnati,1839,"Christian Churches and Churches of Christ",
CPHA1844,"A Collection of Psalms, Hymns, Anthems,  &c. to Which is Added the Rosary of the Blessed Virgin","Robert Coddington","Robert Coddington","New York, N.Y.",1844,"Roman Catholic Church",
CRHP1883,"A Collection of Revival Hymns and Plantation Melodies","Marshall W. Taylor; Marshall W. Taylor & W. Echols","Marshall W. Taylor & W. Echols","Cincinnati, Oh.",1883,,
CSSH1863,"A Collection of Sabbath School Hymns, compiled by a Sabbath School Teacher","Raleigh Register Steam-Power Press","Raleigh Register Steam-Power Press","Raleigh, N.C.",1863,,
CoSH1838,"A Collection of Sacred Hymns","David W. Rogers; C. Vinten","C. Vinten","New York, N.Y.",1838,"Latter-Day Saints hymnals. Mormons (general)",
CSHA1849,"A Collection of Sacred Hymns, Adapted  to the Faith and Views of the Church of Jesus Christ of Latter Day Saints","Gospel Press","Gospel Press","Voree, Wisc.",1849,"Church of Jesus Christ of Latter-Day Saints",
CSHA1841,"A Collection of Sacred Hymns, Adapted to the Faith and Views of the Church of Jesus Christ of Latter Day Saints","John Hardy; Dow & Jackson's Press","Dow & Jackson's Press","Boston, Mass.",1841,"Church of Jesus Christ of Latter-Day Saints",
CSHC1839,"A Collection of Sacred Hymns for the Church of Christ of the Latter-Day    Saints","Benjamin C. Elsworth",,"Boston, Mass.",1839,"Church of Jesus Christ of Latter-Day Saints",
CSHC1841,"A Collection of Sacred Hymns, for the Church of Jesus Christ of Latter    Day Saints","E. Robfinsonfd","E. Robfinsonfd","Nauvoo, Ill.",1841,"Church of Jesus Christ of Latter-Day Saints",
CSHC1845,"A Collection of Sacred Hymns for the Church of Jesus Christ of Latter-Day  Saints","Sidney Rigdon; E. Robinson","E. Robinson","Pittsburgh, Penn.",1845,"Church of Jesus Christ of Latter-Day Saints",
CSHC1835,"A Collection of Sacred Hymns, for the Church of The Latter Day Saints. lst ed.","Emma Smith; F. G. Williams & Co.","F. G. Williams & Co.","Kirtland, Oh.",1835,"Church of Jesus Christ of Latter-Day Saints",
CSHL1844,"A Collection of Sacred Hymns for the use of the Latter-Day Saints","J. C. Little; G. B. Gardner; Blake & Bailey","Blake & Bailey","Bellows Falls",1844,"Latter-Day Saints hymnals. Mormons (general)","Has Music"
CoSS1859,"A Collection of Sacred Song: being an eclectic compilation for the use of churches, families, and boarding-schools...","Charles Jerome Hopkins; Daniel Dana, Jr.","Daniel Dana, Jr.","New York",1859,"(Protestant) Episcopal Church","Has Music"
CSS21861,"A Collection of Sacred Song: being an eclectic compilation for the use of churches, families and schools... (2nd ed.)","Charles Jerome Hopkins; S. T. Gordon","S. T. Gordon","New York",1861,"(Protestant) Episcopal Church","Has Music"
CoSS1883,"A Collection of Sacred Songs","M. Beam; J. P. Babington","J. P. Babington","Shelby, N.C.",1883,"Southern Baptist Convention, 1845-",
CSHV1876,"A Collection of Spiritual Hymns: adapted to the Various Kinds of Christian Worship, and especially designed for the use of the Brethren in Christ. 2nd ed.","Abraham M. Engle; Samuel Zook; Inquirer Printing Co.; Jacob M. Engle","Inquirer Printing and Publishing Co.","Lancaster, Penn.",1876,"Brethren in Christ Church",
CSSH1801,"A Collection of Spiritual Songs and Hymns","Richard Allen; John Ormrod","John Ormrod","Philadelphia, Penn.",1801,"African Methodist Episcopal Zion Church",
CCSS1875,"A Companion to the Canadian Sunday School Harp: being a selection of hymns set to music, for Sunday schools and the social circle","Samuel Rose","Samuel Rose","Toronto, Ont.",1899,,
CGCM1847,"A Compilation of Genuine Church Music. 4th ed.","Joseph Funk; J. Funk & Sons","J. Funk & Sons","Mountain Valley, Va.",1847,,
CLVH1787,"A Compilation of the Litanies and Vespers Hymns and Anthems","John Aitken",,"Philadelphia, Penn.",1787,"Roman Catholic Church",
FS1881,"A Festival Service","J. C. Zimmerman; Lutheran Publication Society","Lutheran Publication Society","Philadelphia, Penn.",1881,"Lutheran hymnals (general)",
FSPH1851,"A Few Specimens of Psalms, Hymns and Spiritual Songs: which are deemed suitable for French schools and congregations in America","King & Baird; W. L. M'Calla","King & Baird (Printers)",Philadelphia,1851,"Reformed, Congregationalist, and Presbyterian",
FBHW1922,"A First Book in Hymns and Worship","Edith Lovell Thomas; Abingdon Press","Abingdon Press","New York",1922,,"Has Music"
FSCS1884,"A First Series of Church Songs","Rev. H. Fleetwood-Sheppard, M.A.; Rev. S. Baring-Gould, M.A.; James Pott & Co.","James Pott & Co.","New York, N.Y.",1884,,"Has Music"
GSNM1807,"A General Selection of the Newest and Most Admired Hymns and Spiritual Songs Now in Use","Stith Mead; Seaton Grantland","Seaton Grantland","Richmond, Va.",1807,"Methodist hymnals (general)",
GSNM1811,"A General Selection of the Newest and Most Admired Hymns and Spiritual Songs Now in Use. 2nd ed.","Stith Mead; Jacob Haas","Jacob Haas","Lynchburg, Va.",1811,"Methodist hymnals (general)",
HBOF1883,"A Handy Book of Old and Familiar Hymns","Lucy Pauline Wright Hobart; Anson D. F. Randolph","Anson D. F. Randolph","New York, N.Y.",1883,,
HSGH1940,"A Hundred Songs of God and His Kingdom","Cephas Guillet; Clermont Press","Clermont Press","Dobbs Ferry, N.Y.",1940,,
HPBU1795,"A Hymn and Prayer-Book: for the use of such Lutheran churches as Use the English language","John C. Kunze, D. D.; Hurtin & Commardinger","Hurtin & Commardinger","New York, N.Y.",1795,Lutheran,
HSBS1893,"A Hymnal and Service Book for Sunday Schools, Day Schools, Guilds, Brotherhoods, etc.","Rev. Charles L. Hutchins; Parish Choir","Parish Choir",Boston,1893,"(Protestant) Episcopal Church","Has Music"
HVSP1878,"A Hymnal and Vesperal for the Seasons and Principal Festivals of the       Ecclesiastical Year","Kelly, Piet & Co.","Kelly, Piet & Co.","Baltimore, Md.",1878,"Roman Catholic Church",
H4F1942,"A Hymnal for Friends","Friends' General Conference","Friends' General Conference","Philadelphia, Penn.",1942,"Religious Society of Friends, General Conference",
H4F1955,"A Hymnal for Friends","Friends' General Conference","Friends' General Conference","Philadelphia, Penn.",1955,"Religious Society of Friends, General Conference",
H4JY1927,"A Hymnal for Joyous Youth","Fillmore Music House","Fillmore Music House","Cincinnati, Oh.",1927,,
JHSS1926,"A Junior Hymnal with Song Stories and Worship Programs","J. E. Sturgis; Standard Pub. Co.","Standard Pub. Co.","Cincinnati, Oh.",1926,,
LSCP1835,"A Little Selection of Choice Poetry New and Old, Doctrinal and Devotional","Richard McNemar",,"Watervliet, Oh.",1835,Shakers,
LHCS1850,"A Liturgy and Hymns for Church Sunday Schools","Church of England Sunday School Institute","Church of England Sunday School Institute","London, England",1850,,
L4NC1878,"A Liturgy for the New Church",Lippincott,Lippincott,"Philadelphia, Penn.",1878,"Churches of the New Jerusalem. General Convention ",
LNC31878,"A Liturgy for the New Church. 3rd ed.",Lippincott,Lippincott,"Philadelphia, Penn.",1878,"Churches of the New Jerusalem. General Convention ",
MDHH1869,"A Manual of Devotion and Hymns for the House of Refuge, City of New York","Carlton & Lanahan","Carlton & Lanahan","New York",1869,,
M4J1913,"A Messenger for Jesus","W. F. Allen; Florida Song Book Co.","Florida Song Book Co.","Titusville, Fla.",1913,,
NBCS1801,"A New and Beautiful Collection of Select Hymns and Spiritual Songs","Josiah Goddard; Thomas & Thomas","Thomas & Thomas","Walpole, N.H.",1801,,
NCSH1877,"A New and Choice Selection of Hymns and Spiritual Songs for the Use of the Regular Baptist Church. 10th ed.","E. D. Thomas",,,1877,"Regular Baptists",
NCSH1846,"A New and Choice Selection of Hymns for Social Worship and Pravate Devotion","Moses Spencer; A. B. F. Hildreth","A. B. F. Hildreth","Bradford, Vt.",1846,,
NCSP1827,"A New and Choice Selection of Psalms and Hymns and Spiritual Songs","Nicholas I. Vedder; U. P. James","U. P. James","Cincinnati, Oh.",1827,,
NBHU1879,"A New Book of Hymns for the Use of the Methodist Episcopal and Other       Churches","E. Jones","E. Jones","New York, N.Y.",1879,"Methodist Episcopal Church (North)",
NCHS1793,"A New Collection of Hymns and Spiritual Songs. 3rd ed.","John Peak; Alden Spooner","Alden Spooner","Windsor, Vt.",1793,,
